scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.91,,1,10,0.1,0.7,1,8,2,1,266,266,0.6807744961776396,0.32418698763032566,0.774024903656969,0.4903820484889104,0.2628916486885622,0.5454065767529735,0.051196404528803294,0.07232323423557337,0.5952946118977974,0.8585445374121152,0.0942201907846438,9.605263157894736,6.142857142857143,-3.462406015037594,37.76168608665466
2,model.1.conv.weight,shattered_glass,gaussian,0.1,,1,10,0.1,0.7,1,10,2,1,266,266,0.9740153948006968,0.9328612161748279,0.9844160305055624,0.9645883071403464,0.01991940970998205,0.02931300792112397,0.004567554551084564,0.00533415909531661,0.9721926575161636,0.974203518029559,0.0006397195715731257,9.605263157894736,9.563909774436091,-0.041353383458646614,37.24859118461609
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.9,,1,10,0.1,0.7,1,14,2,1,266,266,0.9009917303179547,0.7387269623901561,0.9374857720387864,0.8461466601506462,0.07741923577756184,0.1286546154179693,0.01706482598371218,0.02624091763818781,0.8706006396870068,0.9087616796979144,0.016652115222469354,9.605263157894736,9.056390977443609,-0.5488721804511278,37.409032583236694
4,model.2.cv2.weight,shattered_glass,gaussian,0.96,,1,10,0.1,0.7,1,17,2,1,266,266,0.8320213518240464,0.5973002900668063,0.889008960718643,0.7426952258428087,0.13273131496162555,0.2315360263644926,0.03133698439321914,0.0392239855956138,0.7670287531907041,0.8753588298717004,0.026330781419921914,9.605263157894736,8.300751879699249,-1.3045112781954886,37.29595947265625
5,model.2.cv3.weight,shattered_glass,gaussian,0.95,,1,10,0.1,0.7,1,14,2,1,266,266,0.8377579387467377,0.6188991067591447,0.8907678212481992,0.7584958576486718,0.1327362497695464,0.2262820043971177,0.027463537554296025,0.040442572667740394,0.7778580458586394,0.8864509510479673,0.030215898436145566,9.605263157894736,8.240601503759398,-1.3646616541353382,36.53760647773743
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.46,,1,10,0.1,0.7,1,12,2,1,266,266,0.8927865264031335,0.7482819662832337,0.9327586588690494,0.8534487424618392,0.08845584730549577,0.13471130368241765,0.01725520302142551,0.022938695445152715,0.8559368952399226,0.9090481860851621,0.010368244685066832,9.605263157894736,9.112781954887218,-0.4924812030075188,34.095885038375854
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,1.0,,1,10,0.1,0.7,1,12,2,1,266,266,0.9136481893704654,0.7767149508433268,0.9450963749107623,0.87185700575275,0.07119639776664453,0.11147563457910029,0.015158836520500105,0.01987774383435519,0.8594021975254662,0.9196564345745256,0.02048040436227447,9.605263157894736,8.665413533834586,-0.9398496240601504,33.99288463592529
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,1.0,,1,10,0.1,0.7,1,3,2,1,266,266,0.9254539764997552,0.8018102176152695,0.9537691734771006,0.8879226746901858,0.05570079588998828,0.0959946875658924,0.013096120133225081,0.01770246409448021,0.882946843641343,0.9294066415771141,0.016991141251584026,9.605263157894736,8.962406015037594,-0.6428571428571429,37.22688937187195
9,model.3.conv.weight,shattered_glass,gaussian,0.36,,1,10,0.1,0.7,1,7,2,1,266,266,0.9721718765401776,0.9163691831113151,0.9833231653114202,0.9555734740487807,0.021509697396356837,0.03748976808298267,0.004725529586803974,0.006752798243967279,0.9598936645731264,0.9589259821506099,0.0031749430116107613,9.605263157894736,9.545112781954888,-0.06015037593984962,38.21414923667908
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.03,,1,10,0.1,0.7,1,17,2,1,266,266,0.9977549139578277,0.9944752422892261,0.998683079194452,0.9971791824999627,0.0014727007275341958,0.0024465825645767474,0.00031799546268852796,0.00040960882278830586,0.9965857626522447,0.9959311788875773,-3.542906335228515e-06,9.605263157894736,9.6203007518797,0.015037593984962405,37.5933313369751
11,model.4.cv2.weight,shattered_glass,gaussian,0.35,,1,10,0.1,0.7,1,18,2,1,266,266,0.9749580934605151,0.9158500760995104,0.9850783554232121,0.9553105931410496,0.019086665806111156,0.03962384605607762,0.0038860586939496954,0.005877757763181599,0.9660325439411314,0.9673549820164615,0.0014889388995138998,9.605263157894736,9.575187969924812,-0.03007518796992481,38.276098012924194
12,model.4.cv3.weight,shattered_glass,gaussian,0.95,,1,10,0.1,0.7,1,9,2,1,266,266,0.9204366047386128,0.7804993090683309,0.9511242753027027,0.8747617342960889,0.06282203833305011,0.1268108615607794,0.012987272690580075,0.021900161785024203,0.9016476675063934,0.9255485225745504,0.010631723281371231,9.605263157894736,9.353383458646617,-0.2518796992481203,36.982067346572876
13,model.4.cv4.conv.weight,shattered_glass,gaussian,0.12,,1,10,0.1,0.7,1,13,2,1,266,266,0.9848344881070564,0.9484587015494239,0.9910104183620406,0.9730898119328547,0.01143348878044314,0.02266621365895223,0.0024195469167756648,0.003265645069510571,0.9763397322459452,0.9787268697941803,0.0006692868287546997,9.605263157894736,9.526315789473685,-0.07894736842105263,37.41474223136902
14,model.4.m.0.cv1.conv.weight,shattered_glass,gaussian,0.39,,1,10,0.1,0.7,1,9,2,1,266,266,0.9774649631713125,0.9335776448447607,0.9865188582866574,0.9650178838309132,0.017473616254057023,0.03258047560867604,0.0036303374993833515,0.0050097190795749215,0.9626658676371775,0.9621067626733517,0.0017223778001813211,9.605263157894736,9.597744360902256,-0.007518796992481203,37.24941110610962
15,model.4.m.0.cv2.conv.weight,shattered_glass,gaussian,0.72,,1,10,0.1,0.7,1,14,2,1,266,266,0.9707172258293053,0.9169608469010884,0.9824896579352649,0.9559016524993618,0.022154679890541033,0.0361125709797719,0.004558098541742395,0.005590232091932468,0.956528145709982,0.9551725884577589,0.004536483319546529,9.605263157894736,9.586466165413533,-0.018796992481203006,37.65224480628967
16,model.4.m.1.cv1.conv.weight,shattered_glass,gaussian,0.07,,1,10,0.1,0.7,1,9,2,1,266,266,0.9951755392748417,0.9884902580830561,0.9971671855833185,0.9941065194125965,0.0035425181402015545,0.005293436059924758,0.0007408014783739309,0.000815488103216915,0.993548196790678,0.9933386108856037,-2.689228453810701e-05,9.605263157894736,9.571428571428571,-0.03383458646616541,37.15711975097656
17,model.4.m.1.cv2.conv.weight,shattered_glass,gaussian,0.24,,1,10,0.1,0.7,1,19,2,1,266,266,0.9917488600353872,0.9737599654716719,0.9951231649162234,0.9864599523502852,0.005757120339297513,0.010669380903619389,0.0012521718904686615,0.001836462340222998,0.9890893013023997,0.9852729046802059,0.00022414295313942194,9.605263157894736,9.642857142857142,0.03759398496240601,37.78515839576721
18,model.4.m.2.cv1.conv.weight,shattered_glass,gaussian,0.52,,1,10,0.1,0.7,1,11,2,1,266,266,0.9755029111339133,0.9217878868078441,0.985379919833563,0.9585679254344645,0.017815701633991394,0.03412851212219406,0.004000083442003217,0.005254622058357483,0.9620734443523323,0.9626647976895197,0.0028189347087244788,9.605263157894736,9.56766917293233,-0.03759398496240601,37.211527585983276
