scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.79,,1,10,0.1,0.7,1,9,2,40,100,61,0.9637917656988582,0.9347249027347475,0.9785215297602454,0.9655209448292241,0.029944387404755343,0.026353863983196644,0.0062326895517453166,0.0049330559265220305,0.9636570624275541,0.9709298253396729,0.0002626354823331488,8.737704918032787,8.59016393442623,-0.14754098360655737,25.615865230560303
2,model.1.conv.weight,single,gaussian,0.64,,1,10,0.1,0.7,1,8,2,40,100,61,0.9884169988295803,0.9788723637595498,0.9931971745377959,0.9890880007415139,0.008448252353153546,0.00821428304824533,0.0018722625586630923,0.0015226295714348122,0.9912112932604736,0.9891671571078557,0.00026646365326517355,8.737704918032787,8.754098360655737,0.01639344262295082,24.187944889068604
3,model.2.cv1.conv.weight,single,gaussian,0.64,,1,10,0.1,0.7,1,9,2,40,100,61,0.976769575253688,0.9703305099983173,0.9863382429908971,0.9846373018653922,0.02138109633532859,0.013238423077297827,0.004005986609860359,0.002245754081665539,0.9875351879450239,0.9847016273624803,0.0008264941762498049,8.737704918032787,8.770491803278688,0.03278688524590164,24.478339433670044
4,model.2.cv2.weight,single,gaussian,0.94,,1,10,0.1,0.7,1,1,2,40,100,61,0.9580687310621527,0.9440072512766362,0.9750295057242077,0.9705407532108132,0.04087298554114503,0.02560688322106525,0.007735997139461328,0.004390597459661274,0.9711210465308826,0.9675126139866892,0.0018530856591392447,8.737704918032787,8.754098360655737,0.01639344262295082,22.793750524520874
5,model.2.cv3.weight,single,gaussian,0.37,,1,10,0.1,0.7,1,15,2,40,100,61,0.97311036924392,0.9639403532781954,0.9842118785462562,0.9812693720643044,0.024098430652500898,0.016713803422351448,0.0046726063448774835,0.0023554139536981784,0.9856350389137274,0.9806129641849427,0.0013501607390449815,8.737704918032787,8.704918032786885,-0.03278688524590164,23.328838348388672
6,model.2.cv4.conv.weight,single,gaussian,0.53,,1,10,0.1,0.7,1,9,2,40,100,61,0.9668399960408594,0.9648366640324845,0.9804459039416747,0.9816435433273917,0.030922684908400416,0.016896533311374865,0.00564539590763792,0.0026491866297074828,0.9796365292266932,0.9796991379857852,-0.001006052289892624,8.737704918032787,8.770491803278688,0.03278688524590164,24.51054549217224
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.06,,1,10,0.1,0.7,1,12,2,40,100,61,0.9961310591815329,0.9959474100398364,0.9977657617960763,0.9979321258461298,0.002977126733642198,0.0019284393358348923,0.0005486611279163423,0.00024710060373238813,1.0,0.9981956116638181,0.00013140623018406762,8.737704918032787,8.770491803278688,0.03278688524590164,22.48263692855835
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.08,,1,10,0.1,0.7,1,9,2,40,100,61,0.9987412501993574,0.9987197000539534,0.9992737934764211,0.9993478706855727,0.0008240014495797585,0.0006401595814005124,0.00016446201620362472,8.277017580033689e-05,1.0,0.9995212798302116,-1.8165712368072927e-05,8.737704918032787,8.754098360655737,0.01639344262295082,22.709389448165894
9,model.3.conv.weight,single,gaussian,0.55,,1,10,0.1,0.7,1,17,2,40,100,61,0.9978802666881005,0.9969305355493587,0.9987651601453176,0.9984347846153402,0.0014718572940532098,0.001353967600977364,0.00031575362333817735,0.0002160301707767319,1.0,0.9987070621796724,5.530630981310493e-05,8.737704918032787,8.737704918032787,0.0,24.051837921142578
10,model.4.cv1.conv.weight,single,gaussian,0.86,,1,10,0.1,0.7,1,10,2,40,100,61,0.990898007056909,0.9886378528310116,0.9947174541597655,0.994179305853494,0.007555146845794588,0.005343167999177295,0.0014457333577207142,0.0007696139476330896,0.9950488491472098,0.991130421304935,6.872934742655528e-05,8.737704918032787,8.80327868852459,0.06557377049180328,25.328744888305664
11,model.4.cv2.weight,single,gaussian,0.94,,1,10,0.1,0.7,1,14,2,40,100,61,0.9876667214595215,0.9836087282176929,0.9928085670713005,0.9915805762048783,0.010636316090067472,0.006281730687117041,0.0021027852559498393,0.001189691608088219,0.9928506375227687,0.9890465749016003,0.0004173031235104707,8.737704918032787,8.737704918032787,0.0,25.969021558761597
12,model.4.cv3.weight,single,gaussian,0.34,,1,10,0.1,0.7,1,19,2,40,100,61,0.9934099173080256,0.9913219488403063,0.9961798451115507,0.9955619500753516,0.005217728086085626,0.0037864712483601714,0.001021683762538415,0.0005249135946700289,0.9950488491472098,0.9959921970882403,7.292833410562476e-05,8.737704918032787,8.721311475409836,-0.01639344262295082,26.90403652191162
13,model.4.cv4.conv.weight,single,gaussian,0.84,,1,10,0.1,0.7,1,11,2,40,100,61,0.9913350260268678,0.9824314752407994,0.9949525700861988,0.9909705588009646,0.006463950484535825,0.00659801680281302,0.001318389747276427,0.0011639119781958948,0.9900521609538002,0.99102293524418,0.0004600723177357449,8.737704918032787,8.737704918032787,0.0,24.179702520370483
14,model.4.m.0.cv1.conv.weight,single,gaussian,0.82,,1,10,0.1,0.7,1,11,2,40,100,61,0.9906585287335854,0.9857537339155507,0.9945686401422636,0.9926836110878537,0.0071277023815490255,0.006053752617298932,0.0014828590408794134,0.0007798981164690181,0.9886073853286967,0.9898231739203811,0.0001119063956127612,8.737704918032787,8.704918032786885,-0.03278688524590164,23.43914031982422
15,model.4.m.0.cv2.conv.weight,single,gaussian,0.27,,1,10,0.1,0.7,1,14,2,40,100,61,0.9989618178916406,0.9986268785163886,0.9994014760089155,0.9993005203852496,0.0006785014467356451,0.000699212880958063,0.0001407698218958522,8.669226028343017e-05,1.0,0.9992696260846813,0.0001896305916039935,8.737704918032787,8.737704918032787,0.0,25.679015159606934
16,model.4.m.1.cv1.conv.weight,single,gaussian,0.68,,1,10,0.1,0.7,1,10,2,40,100,61,0.991132570975273,0.9869078015475602,0.9948283944120939,0.9932811143190711,0.007264775058256862,0.006754584657067795,0.0014075228471048212,0.0007150000306336089,0.9961293260473588,0.9925899588156946,0.0005521075634166708,8.737704918032787,8.737704918032787,0.0,23.351771116256714
17,model.4.m.1.cv2.conv.weight,single,gaussian,0.45,,1,10,0.1,0.7,1,5,2,40,100,61,0.9989730705773426,0.9985383904103792,0.9994064726111312,0.9992554488705713,0.000611141321971088,0.0005471912127798873,0.00012208406947560691,9.732335418788847e-05,1.0,0.9992384313023773,-2.931417831734887e-05,8.737704918032787,8.754098360655737,0.01639344262295082,23.30021834373474
18,model.4.m.2.cv1.conv.weight,single,gaussian,0.28,,1,10,0.1,0.7,1,19,2,40,100,61,0.9974708828382313,0.9960424482640151,0.9985392344025319,0.9979805698301824,0.0016122826155376552,0.00164117713095503,0.0003093507245556325,0.0002187882999282156,1.0,0.9971196608708097,2.5874347727008795e-05,8.737704918032787,8.770491803278688,0.03278688524590164,24.96975016593933
19,model.4.m.2.cv2.conv.weight,single,gaussian,0.32,,1,10,0.1,0.7,1,6,2,40,100,61,0.9991924401546162,0.9988265457234492,0.9995344673335134,0.9994023919441369,0.000517677609421668,0.00046459193575266566,0.00010282762701332316,7.230147944324781e-05,1.0,0.9993702603168878,0.0002157024262289732,8.737704918032787,8.754098360655737,0.01639344262295082,26.132885456085205
20,model.5.conv.weight,single,gaussian,0.18,,1,10,0.1,0.7,1,13,2,40,100,61,0.9997491751285331,0.9997863036306156,0.9998557529782249,0.9998912530457192,0.0001732234754802735,0.00013155559631766975,3.373235468382178e-05,2.5264538006238647e-05,1.0,0.9998848615046131,3.1767628969413093e-06,8.737704918032787,8.737704918032787,0.0,23.492329359054565
21,model.6.cv1.conv.weight,single,gaussian,0.73,,1,10,0.1,0.7,1,19,2,40,100,61,0.9979411393445612,0.9974542297927717,0.998807154929295,0.9987020714845073,0.0012855338825898373,0.0011607449546807399,0.0002645099513601505,0.00023669867040605484,1.0,0.998529975609257,0.00019957804017596776,8.737704918032787,8.737704918032787,0.0,23.617655277252197
22,model.6.cv2.weight,single,gaussian,0.87,,1,10,0.1,0.7,1,19,2,40,100,61,0.9979219722851514,0.9980076052704848,0.9987907127153777,0.9989843373720362,0.0013389676270383604,0.0006500392346703285,0.0003381448473929753,0.0001664171101670041,1.0,0.9986247445170213,2.8542833471445983e-05,8.737704918032787,8.737704918032787,0.0,25.822463750839233
23,model.6.cv3.weight,single,gaussian,0.44,,1,10,0.1,0.7,1,6,2,40,100,61,0.9979243571957359,0.997641089073688,0.9987951757977583,0.9987976011645233,0.0013295320973761647,0.0009169608470700612,0.00030505086781372373,0.00021154325796813258,1.0,0.9985771819786649,6.766951355490165e-05,8.737704918032787,8.754098360655737,0.01639344262295082,24.7751145362854
24,model.6.cv4.conv.weight,single,gaussian,0.42,,1,10,0.1,0.7,1,20,2,40,100,61,0.9989767030400744,0.9984592910759342,0.9994021788683466,0.9992148850826265,0.0005792132745277021,0.0005738553244744173,0.0001380344429163823,0.00012519086844385585,1.0,0.998870853460384,0.0002610495279325015,8.737704918032787,8.737704918032787,0.0,26.067729949951172
25,model.6.m.0.cv1.conv.weight,single,gaussian,0.86,,1,10,0.1,0.7,1,7,2,40,100,61,0.9960282920557154,0.9962743384597065,0.9977119181028148,0.9980990000607303,0.0029444978758504502,0.0016688874446185214,0.0005417911788351226,0.00031217359950214796,1.0,0.9979773225561284,-2.643507253953643e-05,8.737704918032787,8.737704918032787,0.0,24.524222135543823
26,model.6.m.0.cv2.conv.weight,single,gaussian,0.96,,1,10,0.1,0.7,1,18,2,40,100,61,0.9987986506757183,0.9986751125392044,0.9993042055039584,0.999324994010992,0.0007407860692438538,0.0006571987928988111,0.0001588230195164994,0.00011782542045530786,1.0,0.9990811602285434,-3.004115409482027e-07,8.737704918032787,8.737704918032787,0.0,23.313093185424805
27,model.6.m.1.cv1.conv.weight,single,gaussian,0.81,,1,10,0.1,0.7,1,8,2,40,100,61,0.9951807164911769,0.9952369329450135,0.9972175661606651,0.9975686440918362,0.003691944656131066,0.0023398051725514258,0.0007054967067629969,0.0003978737721874441,1.0,0.9973056279329218,7.943954118983407e-05,8.737704918032787,8.754098360655737,0.01639344262295082,24.070668697357178
28,model.6.m.1.cv2.conv.weight,single,gaussian,0.16,,1,10,0.1,0.7,1,14,2,40,100,61,0.9997497591161107,0.999812561033986,0.9998558422640451,0.9999045653380588,0.00017065716022570396,9.391185222772202e-05,3.653057333093783e-05,1.935755945033939e-05,1.0,0.9997941943426911,0.00019012756741382768,8.737704918032787,8.737704918032787,0.0,26.722654581069946
