scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.46,,1,10,0.1,0.7,1,1,2,1,266,266,0.8885467072798551,0.6521342843849716,0.9299414252091315,0.7837838583398048,0.0906556427630602,0.18696941843105977,0.019683962970605342,0.029849175844395563,0.8052583079541924,0.9050135914449438,0.025252578851303657,9.605263157894736,8.360902255639099,-1.244360902255639,36.820083141326904
2,model.1.conv.weight,bullet_wake,gaussian,0.82,,1,10,0.1,0.7,1,8,2,1,266,266,0.7298677838378618,0.4066861403201895,0.8049560027634179,0.5797747979016395,0.19647917284840774,0.45988844204992807,0.056425176291407836,0.07273961177841295,0.7851443419285722,0.8595792317255401,0.024735571121058373,9.605263157894736,8.736842105263158,-0.868421052631579,34.988439321517944
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.75,,1,10,0.1,0.7,1,20,2,1,266,266,0.9263254065767061,0.7865915528451586,0.9540933747166545,0.8776487939731662,0.0556593191445597,0.10476932863282097,0.014195012954337786,0.019773953430297638,0.898114435030739,0.9212415669003035,0.011529752405358269,9.605263157894736,9.25187969924812,-0.3533834586466165,33.00539970397949
4,model.2.cv2.weight,bullet_wake,gaussian,0.29,,1,10,0.1,0.7,1,15,2,1,266,266,0.9523535906907761,0.8757520968277988,0.9710846186080975,0.9324278207679024,0.038117085329112954,0.05392148060591181,0.008311776903792823,0.009733615187812765,0.9327356181061167,0.9449643546599743,0.002609463961540636,9.605263157894736,9.481203007518797,-0.12406015037593984,35.874791622161865
5,model.2.cv3.weight,bullet_wake,gaussian,0.29,,1,10,0.1,0.7,1,17,2,1,266,266,0.9547111510166489,0.8822259760994445,0.9725154920576247,0.9361472907451124,0.03441343565053343,0.0535872837116601,0.008173025560289322,0.010469983165673914,0.9454037959578127,0.9500638004912337,0.005360355355312221,9.605263157894736,9.447368421052632,-0.15789473684210525,34.310505867004395
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.93,,1,10,0.1,0.7,1,9,2,1,266,266,0.7517619576047938,0.5297788944668302,0.8303003299009754,0.6904634813916715,0.2122137972742982,0.3128057345298249,0.03787057364583681,0.049180650194092373,0.6713135768290102,0.8675886325557917,0.047744685281117506,9.605263157894736,7.447368421052632,-2.1578947368421053,34.195295572280884
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.09,,1,10,0.1,0.7,1,2,2,1,266,266,0.9901176351238861,0.9748002218310959,0.9941434118943463,0.9869965545342462,0.007421290951308974,0.010997175131068218,0.001703562431212585,0.0019863345620008896,0.989467817940315,0.9899043307797235,9.673087602359195e-05,9.605263157894736,9.586466165413533,-0.018796992481203006,35.54923415184021
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.14,,1,10,0.1,0.7,1,20,2,1,266,266,0.9878114969144159,0.9709181164448006,0.9927764623182401,0.9849722564993199,0.009533905673461417,0.013804439667518984,0.002171425795256364,0.0024105244567835206,0.9884108932882182,0.9882315373919828,0.00011140588881893387,9.605263157894736,9.593984962406015,-0.011278195488721804,35.21847343444824
9,model.3.conv.weight,bullet_wake,gaussian,0.76,,1,10,0.1,0.7,1,8,2,1,266,266,0.9375467437023396,0.832424271388351,0.9617409895296211,0.9070500001752931,0.05097685366566639,0.08438762295712983,0.010673166738814778,0.013864254997519561,0.9017782595542785,0.9257700267087353,0.013465452163378322,9.605263157894736,9.161654135338345,-0.44360902255639095,36.138680934906006
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.84,,1,10,0.1,0.7,1,12,2,1,266,266,0.9509456090064489,0.8656641252903663,0.970147575076426,0.9267191192438834,0.03827217251697031,0.06568226442109196,0.00804639294247091,0.010632147339639653,0.9207851710572328,0.9257323100086708,0.007178241867679365,9.605263157894736,9.533834586466165,-0.07142857142857142,35.27588701248169
