scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.28,,1,10,0.1,0.7,1,6,2,1,266,266,0.990723414700038,0.9731005371123271,0.9945122803458057,0.9860737728082173,0.006698186758726059,0.010952067089305711,0.0016412707692933677,0.0020578199463249045,0.9891410926605821,0.9891139756311619,-1.8361870387637614e-05,9.605263157894736,9.593984962406015,-0.011278195488721804,36.137935638427734
2,model.1.conv.weight,column,gaussian,0.36,,1,10,0.1,0.7,1,1,2,1,266,266,0.9929500474545407,0.980978583595261,0.9958262607928632,0.9901758374758708,0.004922077494797823,0.008282908488098662,0.001184371695639426,0.0015672488815700785,0.9925660322177933,0.992649234831146,0.00011002375461054289,9.605263157894736,9.605263157894736,0.0,35.06314992904663
3,model.2.cv1.conv.weight,column,gaussian,0.92,,1,10,0.1,0.7,1,3,2,1,266,266,0.9834168702155263,0.9584418997675144,0.990136263205734,0.9782404454843253,0.012781231518550117,0.018474040583150043,0.0030856865889568575,0.0035208959402203586,0.9779225773017818,0.981039195094869,0.000598339372058373,9.605263157894736,9.56015037593985,-0.045112781954887216,36.40175819396973
4,model.2.cv2.weight,column,gaussian,0.8,,1,10,0.1,0.7,1,6,2,1,266,266,0.9743033858804685,0.9480414573636324,0.9843390146090076,0.972575051996164,0.021373972039078953,0.023848551235767682,0.0043062766805712525,0.004423189763471642,0.9742963685064001,0.9731761522584401,-2.7522613544769042e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,35.975037574768066
5,model.2.cv3.weight,column,gaussian,0.1,,1,10,0.1,0.7,1,9,2,1,266,266,0.9958543157162655,0.9902492522428036,0.9975511741429508,0.9950030878815195,0.00287073105132122,0.004002623057553197,0.0006852539547438522,0.0007939601009254629,0.9967139239646164,0.9959293734792083,7.938572100058407e-05,9.605263157894736,9.62781954887218,0.022556390977443608,33.143304109573364
6,model.2.cv4.conv.weight,column,gaussian,0.75,,1,10,0.1,0.7,1,15,2,1,266,266,0.9776212507591135,0.9416580373367228,0.9866067833889548,0.9691742730011882,0.01736723078070793,0.027618514603372116,0.0037978904026834486,0.0043524282918990555,0.964102581672823,0.969140895980971,0.0016234589981872145,9.605263157894736,9.548872180451127,-0.05639097744360902,35.897836446762085
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,13,2,1,266,266,0.9888930525869108,0.9747666812256927,0.9933874238019655,0.9869419422724885,0.009291295632961116,0.010852425079866782,0.0019514618112216249,0.0019980882140926805,0.9909072932519708,0.9888003705851168,0.00026706417182730685,9.605263157894736,9.612781954887218,0.007518796992481203,34.82353925704956
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,3,2,1,266,266,0.9970163002632428,0.9936092015935433,0.9982409742090305,0.9967337980022436,0.0021295317975999154,0.0029837383371991997,0.0004704069446197897,0.0005363068697347226,0.9977339181286551,0.9968292070864299,-9.211790666819955e-06,9.605263157894736,9.6203007518797,0.015037593984962405,35.414129972457886
9,model.3.conv.weight,column,gaussian,0.24,,1,10,0.1,0.7,1,16,2,1,266,266,0.9988571098562743,0.9971634334797118,0.9993277507138365,0.998553374151456,0.0007505897544509302,0.0012425253696047576,0.00016386012153409905,0.00022429327341270256,0.9985385613155695,0.9984552168734838,4.1083366015799056e-05,9.605263157894736,9.605263157894736,0.0,35.4096417427063
10,model.4.cv1.conv.weight,column,gaussian,0.39,,1,10,0.1,0.7,1,5,2,1,266,266,0.9973541261579495,0.9926984853843105,0.998439988856693,0.9962663181261124,0.0016819617273030928,0.0029423263671948304,0.00038596921841733815,0.0005337974236460658,0.9958142179897226,0.9953477251834486,-4.5801114092839e-05,9.605263157894736,9.601503759398497,-0.0037593984962406013,34.66744661331177
11,model.4.cv2.weight,column,gaussian,0.61,,1,10,0.1,0.7,1,12,2,1,266,266,0.9943185405097686,0.9835724448227434,0.9966467002771687,0.9915600721490945,0.004121115811967461,0.007191549759122342,0.0009094084442632163,0.0011509434250340678,0.9956525845104199,0.9930217856892415,4.9713931834252375e-05,9.605263157894736,9.6203007518797,0.015037593984962405,33.26370811462402
12,model.4.cv3.weight,column,gaussian,0.88,,1,10,0.1,0.7,1,2,2,1,266,266,0.9897869227132046,0.9699782748234312,0.993954020871654,0.9844691158141758,0.007631108739645242,0.014027715152674407,0.0016961993240527677,0.0022174595994963776,0.9866277818716482,0.9846543091069268,0.00013404559918278212,9.605263157894736,9.582706766917294,-0.022556390977443608,36.03336715698242
13,model.4.cv4.conv.weight,column,gaussian,0.5,,1,10,0.1,0.7,1,5,2,1,266,266,0.9925886142171698,0.9782846394910379,0.9956400421549392,0.9888140999541607,0.005636566369951809,0.009692273571600008,0.001105840678974676,0.00154241412510405,0.9889004987120341,0.9904898599254244,0.00015262230353056038,9.605263157894736,9.571428571428571,-0.03383458646616541,33.89619421958923
14,model.4.m.0.cv1.conv.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,18,2,1,266,266,0.995769523509998,0.9899970046395354,0.9975093372486197,0.9948774305056198,0.0030831322483599517,0.004675877223110871,0.0006395820268502902,0.0007428622656503187,0.994772924279256,0.9934159647804591,7.868294236218213e-05,9.605263157894736,9.590225563909774,-0.015037593984962405,35.08217644691467
15,model.4.m.0.cv2.conv.weight,column,gaussian,0.34,,1,10,0.1,0.7,1,3,2,1,266,266,0.9992098930804542,0.9979423368602812,0.9995355186239006,0.9989510680173314,0.0004818759635267968,0.0009306599011338377,0.00011047428829109643,0.00014704879467794565,0.9998021369212504,0.9988128642555696,-5.2533163487114956e-06,9.605263157894736,9.6203007518797,0.015037593984962405,32.70933485031128
16,model.4.m.1.cv1.conv.weight,column,gaussian,0.72,,1,10,0.1,0.7,1,16,2,1,266,266,0.9937457698879537,0.9830032983705995,0.9963105289608533,0.9912650011518973,0.004428609772186234,0.008364719398497344,0.000991978092112506,0.0013323646404584347,0.9921097907940013,0.9907428878514658,0.00017423154984519304,9.605263157894736,9.6203007518797,0.015037593984962405,35.177762031555176
17,model.4.m.1.cv2.conv.weight,column,gaussian,0.94,,1,10,0.1,0.7,1,12,2,1,266,266,0.9981148895685593,0.994899188765019,0.9988922627698331,0.997395509768358,0.0011611620132115457,0.002014217758486899,0.0002548715307366657,0.00036219158781108663,0.9982313392978214,0.9969497236090044,4.4544851593494926e-05,9.605263157894736,9.6203007518797,0.015037593984962405,35.12903642654419
18,model.4.m.2.cv1.conv.weight,column,gaussian,0.86,,1,10,0.1,0.7,1,1,2,1,266,266,0.9931770903433133,0.9799549424128301,0.9959754600804883,0.9896800468706001,0.004770094376841665,0.00902134175632618,0.0011000297292003383,0.0013824991695962961,0.9900885252240613,0.9891505777159159,0.0002544527950020149,9.605263157894736,9.609022556390977,0.0037593984962406013,35.52717304229736
19,model.4.m.2.cv2.conv.weight,column,gaussian,0.36,,1,10,0.1,0.7,1,14,2,1,266,266,0.9992662265671045,0.998039689886087,0.9995697990030729,0.9990006998326878,0.00044758048767384374,0.000814036581816362,0.00010459522234744404,0.0001456634082575152,0.9994888537132304,0.9990436954604353,6.237548719720684e-05,9.605263157894736,9.612781954887218,0.007518796992481203,33.810734272003174
20,model.5.conv.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,20,2,1,266,266,0.9997656242341415,0.9995899016275132,0.9998626512500691,0.9997911659058994,0.00014794596296841052,0.00023017041077010906,3.3354366941669344e-05,4.543587889502246e-05,1.0,0.999786325684581,2.444595036896754e-06,9.605263157894736,9.612781954887218,0.007518796992481203,32.9631552696228
21,model.6.cv1.conv.weight,column,gaussian,0.11,,1,10,0.1,0.7,1,2,2,1,266,266,0.9995160716360413,0.999161246820684,0.999716211147756,0.9995727918035702,0.00031735314410983554,0.0004715259139496599,7.129723148229322e-05,9.248042701497836e-05,0.9998021369212504,0.9996130745273077,1.0674376018289957e-05,9.605263157894736,9.612781954887218,0.007518796992481203,32.86258935928345
22,model.6.cv2.weight,column,gaussian,0.65,,1,10,0.1,0.7,1,11,2,1,266,266,0.99855163792936,0.9968870528105405,0.9991459791580476,0.9984123269167712,0.0008594738710157698,0.0012858498497671793,0.00020360189078147842,0.0002572984959654169,0.9986116607307745,0.9974895264738914,6.666905000750676e-06,9.605263157894736,9.605263157894736,0.0,35.07008647918701
23,model.6.cv3.weight,column,gaussian,0.67,,1,10,0.1,0.7,1,2,2,1,266,266,0.9964468268055602,0.9930187640516814,0.9979047381706126,0.9964328360249912,0.0024599178053371492,0.003065937376016194,0.0005768033541806509,0.0006014189295366909,0.9973301832274922,0.9955464420332645,0.00010543877687985617,9.605263157894736,9.62781954887218,0.022556390977443608,33.41967725753784
24,model.6.cv4.conv.weight,column,gaussian,0.27,,1,10,0.1,0.7,1,17,2,1,266,266,0.9986682796967259,0.99734994747578,0.9992169329792095,0.9986486963189407,0.000820281931615382,0.0010823126740903935,0.00018814335349718103,0.00023067671394667608,0.9981840566328101,0.9981702127210476,-2.0674048968940243e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,33.73898196220398
25,model.6.m.0.cv1.conv.weight,column,gaussian,0.89,,1,10,0.1,0.7,1,15,2,1,266,266,0.9957125571021264,0.9913293629772864,0.9974816421116169,0.9955612494326036,0.003201969599902934,0.00429732019470312,0.0006502794905444408,0.0008510718029285084,0.9976642163622771,0.9947382614698296,3.169987358182733e-05,9.605263157894736,9.62781954887218,0.022556390977443608,33.20929670333862
26,model.6.m.0.cv2.conv.weight,column,gaussian,0.67,,1,10,0.1,0.7,1,1,2,1,266,266,0.9989715988661272,0.9980866285733639,0.9993951647450766,0.9990248272999667,0.0006656142414338554,0.0008920777645463077,0.00014778800305383202,0.00018942080325403063,0.9990711427692035,0.9991213855238107,4.7022839601448626e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,35.6367712020874
27,model.6.m.1.cv1.conv.weight,column,gaussian,0.1,,1,10,0.1,0.7,1,8,2,1,266,266,0.9993182685030249,0.9988637477905102,0.9996021229147842,0.9994211201013066,0.0004559307013292838,0.0005628403905360599,9.800834647451309e-05,0.00011603960891159177,0.999604273842501,0.9993969553937615,-1.761864777151603e-05,9.605263157894736,9.612781954887218,0.007518796992481203,35.53779077529907
28,model.6.m.1.cv2.conv.weight,column,gaussian,0.72,,1,10,0.1,0.7,1,1,2,1,266,266,0.9991569382253281,0.9983018086757574,0.9995033885685617,0.9991344223601554,0.0005161946410840691,0.0007640271787867816,0.00011991337550746543,0.00017757497134975714,0.9983981941639242,0.9988723466016803,4.931684122246369e-06,9.605263157894736,9.597744360902256,-0.007518796992481203,34.68059849739075
29,model.6.m.2.cv1.conv.weight,column,gaussian,0.87,,1,10,0.1,0.7,1,14,2,1,266,266,0.9954111565732854,0.9906273045013783,0.9972875490359597,0.9952050639040624,0.0033272806577604223,0.004765486014235828,0.0007813680461602697,0.0008229023399607138,0.9969037579840903,0.9948949556554877,-3.682864132082532e-05,9.605263157894736,9.639097744360901,0.03383458646616541,36.4594841003418
30,model.6.m.2.cv2.conv.weight,column,gaussian,0.4,,1,10,0.1,0.7,1,20,2,1,266,266,0.999608053067934,0.9991464045353348,0.9997693013861219,0.9995651633686058,0.0002212553970029552,0.00036312616331016077,5.200063983198498e-05,7.22579021329169e-05,0.9994261970716265,0.9993382222786964,-4.124491473981192e-05,9.605263157894736,9.612781954887218,0.007518796992481203,35.30829071998596
31,model.7.conv.weight,column,gaussian,0.87,,1,10,0.1,0.7,1,7,2,1,266,266,0.9994549934517035,0.9989710198700332,0.9996787861899957,0.9994757820942847,0.0003142263195137622,0.0004756202296587106,8.342536034637201e-05,0.00011098079896226549,0.9998021369212504,0.9989631037603091,1.2172885701761619e-05,9.605263157894736,9.61654135338346,0.011278195488721804,36.40868330001831
32,model.8.cv1.conv.weight,column,gaussian,0.33,,1,10,0.1,0.7,1,20,2,1,266,266,0.9990654452083727,0.9982540745136222,0.9994497193427984,0.9991101064764178,0.0005360334790092802,0.0007326230324042121,0.0001395138052701926,0.00017354720886559273,0.9991129138636065,0.9987557027511892,-4.521341361102301e-05,9.605263157894736,9.612781954887218,0.007518796992481203,36.10945010185242
33,model.8.cv2.conv.weight,column,gaussian,0.46,,1,10,0.1,0.7,1,13,2,1,266,266,0.9979503534631947,0.9962388349593256,0.9987934717557924,0.9980809078061593,0.0012891809940938337,0.0015883154925726607,0.0003205296013785554,0.0003518720600597351,0.9984973398408302,0.9971288146339209,-3.5589141495268802e-06,9.605263157894736,9.609022556390977,0.0037593984962406013,34.008325815200806
34,model.9.cv1.conv.weight,column,gaussian,0.62,,1,10,0.1,0.7,1,14,2,1,266,266,0.9983845463315636,0.9973246068557932,0.9990479977234077,0.9986354813821947,0.0009661840074531818,0.0011949821689598568,0.00024690231959565703,0.0002875603581483003,0.999000477383936,0.9985173804526281,-6.923428106881928e-06,9.605263157894736,9.62406015037594,0.018796992481203006,35.30298113822937
35,model.9.cv2.weight,column,gaussian,0.54,,1,10,0.1,0.7,1,6,2,1,266,266,0.9993258649891348,0.997972731098804,0.9996030969038086,0.9989665341984749,0.00035958736491620915,0.0007875217460181812,8.521688962941327e-05,0.0001317766911757821,0.9981765975088096,0.9984803278153611,-5.220929341673122e-06,9.605263157894736,9.612781954887218,0.007518796992481203,33.31442713737488
36,model.9.cv3.weight,column,gaussian,0.31,,1,10,0.1,0.7,1,10,2,1,266,266,0.999662761749423,0.9992476555193825,0.9998007714099124,0.9996166632619363,0.0001850660251130424,0.00030969523137394054,4.5074289250850535e-05,6.530043102356794e-05,1.0,0.9996494649097404,-4.796298586136104e-06,9.605263157894736,9.612781954887218,0.007518796992481203,36.04539728164673
37,model.9.cv4.conv.weight,column,gaussian,0.8,,1,10,0.1,0.7,1,11,2,1,266,266,0.9993567094736198,0.9979319590223196,0.9996193867637452,0.9989455820470899,0.00034079356736614505,0.0008855885754429888,8.33912767440994e-05,0.00015668332528791037,0.9996867167919798,0.9989234978954379,5.318581585306779e-05,9.605263157894736,9.62406015037594,0.018796992481203006,34.79177260398865
38,model.9.m.0.cv1.conv.weight,column,gaussian,0.58,,1,10,0.1,0.7,1,6,2,1,266,266,0.9986975763149541,0.9977197306701192,0.9992305204811325,0.9988373584037911,0.0007159933460818641,0.000888374971831151,0.0001861177611250956,0.0002039847524990662,0.9990711427692035,0.9985256328186981,-1.8494755121999373e-05,9.605263157894736,9.612781954887218,0.007518796992481203,35.02263140678406
39,model.9.m.0.cv2.conv.weight,column,gaussian,0.13,,1,10,0.1,0.7,1,17,2,1,266,266,0.9999329467110517,0.9998841021231037,0.999960514518567,0.9999409759682437,3.985034111723961e-05,7.248373533496356e-05,1.053192149993556e-05,1.7014884199720166e-05,1.0,0.9999293949666807,4.5417425529543604e-05,9.605263157894736,9.605263157894736,0.0,34.93595004081726
40,model.10.conv.weight,column,gaussian,0.29,,1,10,0.1,0.7,1,18,2,1,266,266,0.9997756267740469,0.9992845638440708,0.9998684131582432,0.9996355439308791,0.00012243614231551952,0.0003008786412922229,2.5483262577404704e-05,5.701064046419431e-05,1.0,0.9996865345241923,4.214944992256007e-05,9.605263157894736,9.61654135338346,0.011278195488721804,35.020702838897705
41,model.13.cv1.conv.weight,column,gaussian,0.97,,1,10,0.1,0.7,1,11,2,1,266,266,0.9988185340072686,0.9963339040355818,0.9993029620335537,0.9981293307687712,0.0006313734091195717,0.0012963716056443213,0.00012820977721499183,0.00020774772748582534,0.9987004849786806,0.9971463987355667,-3.038353824791619e-06,9.605263157894736,9.609022556390977,0.0037593984962406013,36.52571225166321
42,model.13.cv2.weight,column,gaussian,0.65,,1,10,0.1,0.7,1,8,2,1,266,266,0.9994888755758595,0.997554851571506,0.999698605812252,0.9987533991112227,0.0002095249711856585,0.0009638525410717039,4.69627388997572e-05,0.0001629209477012738,0.9992063492063492,0.9989855016001277,-3.926335385942867e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,35.66653895378113
43,model.13.cv3.weight,column,gaussian,0.12,,1,10,0.1,0.7,1,18,2,1,266,266,0.9996848370852701,0.9988702303374108,0.9998140197429991,0.9994243553950073,0.00015234616958448294,0.00046227390953904886,3.45200645569028e-05,7.38305491315888e-05,0.999604273842501,0.9993088337617275,7.29664146985389e-06,9.605263157894736,9.597744360902256,-0.007518796992481203,34.17475390434265
44,model.13.cv4.conv.weight,column,gaussian,0.06,,1,10,0.1,0.7,1,20,2,1,266,266,0.9998628210993488,0.9994198986475752,0.9999196289111384,0.9997045292832948,7.179120764852506e-05,0.0002815572334790356,1.4638861620430324e-05,4.3963925178390366e-05,1.0,0.9997880373854187,4.434488205871943e-05,9.605263157894736,9.605263157894736,0.0,35.549495697021484
45,model.13.m.0.cv1.conv.weight,column,gaussian,0.96,,1,10,0.1,0.7,1,2,2,1,266,266,0.9973350794258025,0.990189384300477,0.9984237841609751,0.9949758947883113,0.001144522910052495,0.003293819555341432,0.00026339076108771624,0.0005508534652264739,0.9947354441715346,0.9946467591875227,0.00010903803205742683,9.605263157894736,9.601503759398497,-0.0037593984962406013,35.54405093193054
46,model.13.m.0.cv2.conv.weight,column,gaussian,0.06,,1,10,0.1,0.7,1,20,2,1,266,266,0.9999483726511085,0.9998061540277781,0.9999696346939949,0.9999012965420396,2.8327733342692163e-05,0.00011078128701040667,6.457160730956028e-06,1.922187598926442e-05,0.9998021369212504,0.9998957898796886,4.4253643767352426e-05,9.605263157894736,9.601503759398497,-0.0037593984962406013,36.22725224494934
