scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.28,,1,10,0.1,0.7,1,14,2,1,266,266,0.9871247588952924,0.9578954244389625,0.9923429219349613,0.9780352528214528,0.009031612569390631,0.016553074299076483,0.002218547308799965,0.0033684137583594566,0.9836443285641941,0.9821629064503046,0.0006221447096201009,9.605263157894736,9.62781954887218,0.022556390977443608,37.05158066749573
2,model.1.conv.weight,row,gaussian,0.59,,1,10,0.1,0.7,1,8,2,1,266,266,0.9779351748719989,0.9355098856939349,0.9866873185846556,0.965809674994409,0.016224561768285642,0.03101532271920385,0.003994875450637581,0.005867801596882083,0.9774572407981589,0.9753714709490975,0.0010858041499993876,9.605263157894736,9.605263157894736,0.0,39.45934462547302
3,model.2.cv1.conv.weight,row,gaussian,0.42,,1,10,0.1,0.7,1,7,2,1,266,266,0.9895815313505472,0.9712295703726833,0.993826472957061,0.9851096331070084,0.007792146029338848,0.013137324120466134,0.001861717744174474,0.002312050483371661,0.9873406185337328,0.9876818972310626,0.0002721024503408114,9.605263157894736,9.62781954887218,0.022556390977443608,38.32048416137695
4,model.2.cv2.weight,row,gaussian,0.04,,1,10,0.1,0.7,1,7,2,1,266,266,0.9983592586248374,0.9961577050566149,0.9990337379046583,0.9980390005729123,0.001043735095847795,0.0016848458617578748,0.00024375143097502778,0.0003242901368553474,0.9982670492019523,0.9982373578230477,-3.42364561827705e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,38.62345361709595
5,model.2.cv3.weight,row,gaussian,0.96,,1,10,0.1,0.7,1,10,2,1,266,266,0.96713057874806,0.9183052665670474,0.9801284238053383,0.9562372194753308,0.027346683662504714,0.03714697132215576,0.006054675317975836,0.0068800479850560994,0.9589479239706783,0.9662237029147228,0.0028241768420615154,9.605263157894736,9.462406015037594,-0.14285714285714285,38.032280683517456
6,model.2.cv4.conv.weight,row,gaussian,1.0,,1,10,0.1,0.7,1,18,2,1,266,266,0.9657228651644412,0.9213240918780619,0.9792845805782637,0.9579376571583814,0.029031057435367606,0.03778152210914698,0.006018880899869337,0.006629043239037878,0.9541817087300862,0.9632468815772306,0.0027182048082575404,9.605263157894736,9.466165413533835,-0.13909774436090225,34.1577033996582
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.79,,1,10,0.1,0.7,1,19,2,1,266,266,0.9821424403216233,0.9597432626722948,0.9893407219778674,0.978992230349938,0.014610855892609713,0.018707906837548662,0.0033135629641743783,0.003190180159468677,0.983045903388701,0.9829146257687028,0.0011633883136326836,9.605263157894736,9.575187969924812,-0.03007518796992481,34.47739577293396
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.65,,1,10,0.1,0.7,1,15,2,1,266,266,0.9882341323351359,0.9699207148038015,0.9930325547588909,0.9844371789763314,0.008905866864641008,0.01457856882466523,0.0021092290905877407,0.002495312461621084,0.9885727647896226,0.9882261799542384,0.00020322932919083795,9.605263157894736,9.601503759398497,-0.0037593984962406013,38.89039373397827
9,model.3.conv.weight,row,gaussian,0.88,,1,10,0.1,0.7,1,20,2,1,266,266,0.9917826427562306,0.9773872392488346,0.995152274912811,0.9883509896139703,0.006219896108870604,0.009718520367540857,0.001303280823262125,0.0015357647816586619,0.9890718740763262,0.9884864594912682,0.0003699632435115408,9.605263157894736,9.597744360902256,-0.007518796992481203,35.19214105606079
10,model.4.cv1.conv.weight,row,gaussian,0.28,,1,10,0.1,0.7,1,8,2,1,266,266,0.99663329228354,0.9922925004959053,0.9980230674368031,0.9960596951274749,0.0024058997309498085,0.003487007457598529,0.0005092767326238058,0.0005308036147768354,0.9959165768277364,0.9949367601963995,-4.429660773366395e-05,9.605263157894736,9.612781954887218,0.007518796992481203,36.08340263366699
11,model.4.cv2.weight,row,gaussian,0.24,,1,10,0.1,0.7,1,9,2,1,266,266,0.9970597622531988,0.9906639350676856,0.9982677978362496,0.9952219662254156,0.0019951938870468896,0.003832806999559821,0.00042367544819305747,0.0006414805521333146,0.9977404350475185,0.9961390488023968,5.5196500709905346e-05,9.605263157894736,9.639097744360901,0.03383458646616541,37.79221177101135
12,model.4.cv3.weight,row,gaussian,0.55,,1,10,0.1,0.7,1,14,2,1,266,266,0.9932451804662548,0.9808831260980004,0.9960111769964441,0.9901623754679465,0.005001059150712202,0.00783446101421279,0.0010744036139335128,0.0012781450408563147,0.991681117381058,0.9909091718661112,0.0001288559702472462,9.605263157894736,9.609022556390977,0.0037593984962406013,37.83598828315735
13,model.4.cv4.conv.weight,row,gaussian,0.47,,1,10,0.1,0.7,1,12,2,1,266,266,0.9937520793649385,0.9784763874270724,0.9963110724437646,0.988912645435439,0.0042880348958513545,0.009408774858862426,0.0009146726693301505,0.0013806340996087429,0.9938935125025352,0.9910117245176069,-0.00020011732877559253,9.605263157894736,9.62781954887218,0.022556390977443608,37.30552291870117
14,model.4.m.0.cv1.conv.weight,row,gaussian,0.68,,1,10,0.1,0.7,1,17,2,1,266,266,0.9927907526859004,0.9826449019213802,0.9957634327014734,0.9910751455437603,0.005514135991548726,0.008179349347142225,0.0011313394273434441,0.0012749057165151905,0.9867154344029095,0.9900068331460959,-2.396692930416001e-05,9.605263157894736,9.537593984962406,-0.06766917293233082,36.65037202835083
15,model.4.m.0.cv2.conv.weight,row,gaussian,0.2,,1,10,0.1,0.7,1,13,2,1,266,266,0.9986660486214032,0.9963904460568882,0.999217363565368,0.9981586086055837,0.0008314507975028774,0.0016500045285811624,0.00017634591664462325,0.00025222500424884587,0.9977642625149552,0.9976606218535636,2.1365949914014597e-05,9.605263157894736,9.601503759398497,-0.0037593984962406013,38.2831015586853
16,model.4.m.1.cv1.conv.weight,row,gaussian,0.94,,1,10,0.1,0.7,1,3,2,1,266,266,0.9918247122611143,0.9781963430099124,0.995161358086981,0.9887622949652655,0.005947604429908036,0.009540637928520546,0.0013095775531471883,0.0016186319351828799,0.9889283895763912,0.9875039251359709,2.9156342636393572e-05,9.605263157894736,9.61654135338346,0.011278195488721804,34.12959337234497
17,model.4.m.1.cv2.conv.weight,row,gaussian,0.77,,1,10,0.1,0.7,1,7,2,1,266,266,0.995569422498981,0.9874603350235395,0.9973913985668037,0.9935710859389122,0.002921581917074762,0.005151347013164117,0.0006419666820010801,0.0008733324326135405,0.9949714915410405,0.9928942638383158,0.00015323944220677966,9.605263157894736,9.6203007518797,0.015037593984962405,35.79183578491211
18,model.4.m.2.cv1.conv.weight,row,gaussian,0.39,,1,10,0.1,0.7,1,10,2,1,266,266,0.9972044202420342,0.9914875387254215,0.9983553605269273,0.9956423671886775,0.0017856597722243953,0.0032778859596488507,0.00041015073797750796,0.0005958788367687785,0.9933422642959643,0.9955135428485821,-3.750314498788596e-05,9.605263157894736,9.575187969924812,-0.03007518796992481,37.295554876327515
19,model.4.m.2.cv2.conv.weight,row,gaussian,0.16,,1,10,0.1,0.7,1,4,2,1,266,266,0.9991293799732245,0.9973901707330994,0.9994886713258518,0.9986693687956839,0.0005174697059431823,0.0010274392340271436,0.00011547112356084282,0.00016934199448933817,0.999290990634481,0.998811597294811,-1.1068333441008536e-05,9.605263157894736,9.612781954887218,0.007518796992481203,37.20900082588196
20,model.5.conv.weight,row,gaussian,0.24,,1,10,0.1,0.7,1,17,2,1,266,266,0.9991964311080095,0.9985860328994249,0.9995306612814238,0.9992794777839769,0.0004981837117258178,0.0006836011110726211,0.0001119827968412046,0.00013069541213392959,0.999604273842501,0.9989765678987459,-7.601510181405554e-05,9.605263157894736,9.612781954887218,0.007518796992481203,35.10945653915405
21,model.6.cv1.conv.weight,row,gaussian,0.32,,1,10,0.1,0.7,1,12,2,1,266,266,0.9981276605423259,0.9964165217532761,0.9989010134421087,0.998171661805618,0.0012447033046399146,0.001843534918340293,0.00027597798958149867,0.0003624874766761771,0.9984990886306676,0.997964460906026,-1.1097235695605618e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,34.42955136299133
22,model.6.cv2.weight,row,gaussian,0.74,,1,10,0.1,0.7,1,2,2,1,266,266,0.9975930906779873,0.9946922666079043,0.9985850571306356,0.9972894396118553,0.001543639776943465,0.0023624972331448015,0.00034105655363587104,0.00043541485721872115,0.9966884273225785,0.9961628433157305,6.273682938188258e-05,9.605263157894736,9.590225563909774,-0.015037593984962405,38.02896308898926
23,model.6.cv3.weight,row,gaussian,0.25,,1,10,0.1,0.7,1,20,2,1,266,266,0.9986150400005979,0.9971978823960725,0.9991847189330945,0.998570906845937,0.000862950467829759,0.0012040875648953342,0.00021147508240154542,0.0002460746646283115,0.9993322121092203,0.9984267063748146,8.937289051656797e-05,9.605263157894736,9.6203007518797,0.015037593984962405,35.460665702819824
24,model.6.cv4.conv.weight,row,gaussian,0.95,,1,10,0.1,0.7,1,6,2,1,266,266,0.9958591864331058,0.9906941571395734,0.9975537422502744,0.995238338167732,0.0028272434914532905,0.003879180522743049,0.000657156198772272,0.000742414679163767,0.9928278142514391,0.994088715693593,-0.00012576298795211743,9.605263157894736,9.578947368421053,-0.02631578947368421,37.84495425224304
25,model.6.m.0.cv1.conv.weight,row,gaussian,0.78,,1,10,0.1,0.7,1,12,2,1,266,266,0.9961948867823572,0.9930987190197279,0.9977594120438104,0.9964708204549101,0.0027702885374000005,0.0033895702193015706,0.0005929445646137949,0.0006412569042646231,0.9945099491152123,0.9958572870248483,5.886212030186873e-05,9.605263157894736,9.605263157894736,0.0,37.209020376205444
26,model.6.m.0.cv2.conv.weight,row,gaussian,0.08,,1,10,0.1,0.7,1,3,2,1,266,266,0.9995635097398694,0.9992261192417254,0.9997449529981515,0.9996058167915892,0.0002741125904470922,0.00041190165447410723,6.256342955027403e-05,8.489318070216589e-05,0.9998021369212504,0.9993628050760714,1.6509430025170015e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,35.45774269104004
27,model.6.m.1.cv1.conv.weight,row,gaussian,0.25,,1,10,0.1,0.7,1,12,2,1,266,266,0.998611852295367,0.9973344175138857,0.9991847212041266,0.9986409274594894,0.0008947751824488558,0.0012994274414843492,0.00020358785210113266,0.0002572615485023931,0.9994261970716265,0.9983152806269263,5.7803811645120087e-05,9.605263157894736,9.609022556390977,0.0037593984962406013,34.28813982009888
