scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.59,,1,10,0.1,0.7,1,10,2,1,266,266,0.9751768719203542,0.9140311664549063,0.9851188984675517,0.953981656354513,0.01706358215877497,0.03659443163411378,0.004195622433426984,0.0069097154526687405,0.9633614269694601,0.9640255377179408,0.0023556963130822142,9.605263157894736,9.578947368421053,-0.02631578947368421,42.23204588890076
2,model.1.conv.weight,row,gaussian,0.33,,1,10,0.1,0.7,1,10,2,1,266,266,0.9875835441658086,0.9644594563830093,0.9926287443794174,0.981520076880781,0.009412078558861257,0.016535035959823717,0.0021245590266058623,0.003024134513406541,0.984453082093565,0.9864061019237014,0.00026770649455127915,9.605263157894736,9.605263157894736,0.0,43.968831062316895
3,model.2.cv1.conv.weight,row,gaussian,0.1,,1,10,0.1,0.7,1,19,2,1,266,266,0.9969418456394976,0.9927433498211877,0.9981978467382951,0.9962889072066087,0.002120658666629587,0.003252698022047322,0.00048235429410857907,0.0006680900528006741,0.9971735416234824,0.9970190604402734,3.5634981282016127e-06,9.605263157894736,9.6203007518797,0.015037593984962405,39.57545566558838
4,model.2.cv2.weight,row,gaussian,0.43,,1,10,0.1,0.7,1,3,2,1,266,266,0.9844300736106435,0.9611448560204787,0.9907426863912476,0.979788601964487,0.012588367849214023,0.018059887578103045,0.0027397813676915484,0.003226639553709607,0.9797019017784749,0.9793385687173343,0.00024112825803069307,9.605263157894736,9.597744360902256,-0.007518796992481203,37.85329222679138
5,model.2.cv3.weight,row,gaussian,0.52,,1,10,0.1,0.7,1,16,2,1,266,266,0.9816729560925519,0.9536743807397656,0.989087458536432,0.9757280488200465,0.014310512560114952,0.020559715323929993,0.0031938290964958756,0.003790128716139291,0.9767702782641448,0.980012285000818,0.0008781759027610834,9.605263157894736,9.601503759398497,-0.0037593984962406013,43.35426998138428
6,model.2.cv4.conv.weight,row,gaussian,0.34,,1,10,0.1,0.7,1,12,2,1,266,266,0.9892279870029039,0.9725033558217826,0.9936171378455901,0.9857732388289565,0.008393131643113593,0.011628249742846652,0.001804071829464199,0.0019426683906602377,0.9795587472699661,0.9853820096889608,0.0003966283335563666,9.605263157894736,9.541353383458647,-0.06390977443609022,38.13740158081055
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.18,,1,10,0.1,0.7,1,8,2,1,266,266,0.9953058230208994,0.9902447267768618,0.9972418987679913,0.9950025700208027,0.003490267032280094,0.004030486375913324,0.0008071141694151492,0.0007503964334189844,0.995565218868543,0.9963050160742408,6.540309850890628e-05,9.605263157894736,9.586466165413533,-0.018796992481203006,37.576066732406616
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.46,,1,10,0.1,0.7,1,6,2,1,266,266,0.9906237774935853,0.9783890328039273,0.9944501266949236,0.988870330087882,0.007642832196359895,0.010582478779275928,0.0016370755710919012,0.0016406433152592052,0.9914017236336192,0.9907052360243866,-0.00010589846171113353,9.605263157894736,9.61654135338346,0.011278195488721804,38.8962025642395
9,model.3.conv.weight,row,gaussian,0.76,,1,10,0.1,0.7,1,10,2,1,266,266,0.9933951349868518,0.9806607839391503,0.996096656352955,0.9900511106086106,0.004666906484422466,0.008207028812830657,0.001062631347803477,0.001408048475760685,0.9894119527528707,0.9902900081045308,0.000130311733884714,9.605263157894736,9.590225563909774,-0.015037593984962405,41.2083625793457
10,model.4.cv1.conv.weight,row,gaussian,0.46,,1,10,0.1,0.7,1,2,2,1,266,266,0.9954234941873817,0.9871953261514953,0.9972941505728931,0.9934357654828996,0.0031704009820117253,0.005774324322502991,0.0007007833049036719,0.0009560787058322136,0.9927794987846432,0.9915690714540739,0.00018117984495100335,9.605263157894736,9.582706766917294,-0.022556390977443608,40.7604718208313
