scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.73,,1,10,0.1,0.7,1,4,2,1,266,266,0.7609644899686381,0.43522295817824813,0.8354262059837063,0.6028873548804411,0.18912647064407007,0.4163385400685869,0.03905523785453594,0.05563213795791758,0.6814790977830154,0.8755512522541761,0.0639128851617047,9.605263157894736,7.041353383458647,-2.56390977443609,36.200026988983154
2,model.1.conv.weight,shattered_glass,gaussian,0.48,,1,10,0.1,0.7,1,13,2,1,266,266,0.8761755624241008,0.6751675056563502,0.920213345349209,0.8035710264788977,0.08811138708314968,0.1881765634937401,0.023404457863180683,0.029701116831333776,0.8785612979444598,0.9087787183666556,0.01043585235216493,9.605263157894736,9.30451127819549,-0.3007518796992481,36.48516082763672
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.44,,1,10,0.1,0.7,1,4,2,1,266,266,0.9516750968266835,0.8619262328340802,0.9707248799078578,0.9243131243878754,0.038848164906993936,0.06317416944576351,0.008823479424882263,0.011690877992423443,0.9455210886923392,0.9472319733258212,0.0034206574765442664,9.605263157894736,9.526315789473685,-0.07894736842105263,35.223424196243286
4,model.2.cv2.weight,shattered_glass,gaussian,0.28,,1,10,0.1,0.7,1,15,2,1,266,266,0.9477571918379954,0.8709133527225931,0.9679937490600192,0.9297710997249649,0.042352254845084945,0.06546686756846158,0.009548631460735346,0.011497827063992607,0.940953748467599,0.9448629608183661,0.0034535079244835875,9.605263157894736,9.552631578947368,-0.05263157894736842,36.43979811668396
5,model.2.cv3.weight,shattered_glass,gaussian,0.26,,1,10,0.1,0.7,1,8,2,1,266,266,0.9532447987004213,0.8836866639931198,0.9715031130431282,0.9370031082559938,0.03732960126021839,0.05965702600061521,0.008309364014733749,0.011113048357608126,0.9413834480934797,0.954839941627858,0.004529266081092751,9.605263157894736,9.406015037593985,-0.19924812030075187,35.80590057373047
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.55,,1,10,0.1,0.7,1,14,2,1,266,266,0.868090863539159,0.7053591987019705,0.9163993659156513,0.8245723020054023,0.11040803380249412,0.15360072095409003,0.020470441765422388,0.028524438740485887,0.8305229196231373,0.8964376725763267,0.015369609283901842,9.605263157894736,8.853383458646617,-0.7518796992481203,36.5971405506134
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.55,,1,10,0.1,0.7,1,4,2,1,266,266,0.9493456994566686,0.8641353546198985,0.9690484815408025,0.9258136203408603,0.04192817718504635,0.06892872594331105,0.009434633097097444,0.011566366597511325,0.9322672444185108,0.9470478363686802,0.009411746955288314,9.605263157894736,9.334586466165414,-0.2706766917293233,34.09624528884888
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.4,,1,10,0.1,0.7,1,4,2,1,266,266,0.965849031072436,0.9161519228030623,0.9794401980905346,0.955437774909464,0.026828877543790746,0.04107735885238853,0.006380172430930127,0.006968796406157773,0.9702736785814546,0.9670200900674042,0.003515117955859976,9.605263157894736,9.639097744360901,0.03383458646616541,35.51919078826904
9,model.3.conv.weight,shattered_glass,gaussian,0.42,,1,10,0.1,0.7,1,9,2,1,266,266,0.9628553443030903,0.9024885125560125,0.9776327780017403,0.9478393056163565,0.030875993401712275,0.04385139443406553,0.006670504889723915,0.008086190613025589,0.9437881796236565,0.9548930865846981,0.0035365613164760087,9.605263157894736,9.319548872180452,-0.2857142857142857,36.5361762046814
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.6,,1,10,0.1,0.7,1,12,2,1,266,266,0.9611795786052463,0.9015281919703808,0.9764463054016523,0.9473108085482335,0.03167184410844021,0.04512611713366958,0.00652865136495283,0.007604994251013563,0.9419095595737859,0.9433980171648948,0.0045407543292361975,9.605263157894736,9.541353383458647,-0.06390977443609022,36.29907751083374
11,model.4.cv2.weight,shattered_glass,gaussian,0.34,,1,10,0.1,0.7,1,1,2,1,266,266,0.9765036288721448,0.917018120569084,0.9859844739980599,0.9559458031288773,0.017729495795692416,0.03735365438484056,0.00395048132739044,0.005758344444078776,0.9672157122765552,0.9689472630090149,0.0006403937611262977,9.605263157894736,9.511278195488721,-0.09398496240601503,35.579185247421265
12,model.4.cv3.weight,shattered_glass,gaussian,1.0,,1,10,0.1,0.7,1,20,2,1,266,266,0.9019410608854042,0.7643193899612164,0.9386941511769249,0.8647594134424808,0.08256959306818962,0.13995789677254342,0.01622711442847898,0.022969163018290634,0.9096311366270804,0.9191439176286548,0.00967199527298207,9.605263157894736,9.496240601503759,-0.10902255639097744,33.80502939224243
13,model.4.cv4.conv.weight,shattered_glass,gaussian,0.04,,1,10,0.1,0.7,1,10,2,1,266,266,0.9948219052675478,0.9822503435879135,0.9969491312167093,0.9908839153286501,0.003548866256399161,0.007702634611710349,0.0007627733985718228,0.0011372864665332044,0.9936359692938639,0.9929511345238606,0.000164526826630987,9.605263157894736,9.601503759398497,-0.0037593984962406013,35.60815644264221
14,model.4.m.0.cv1.conv.weight,shattered_glass,gaussian,0.36,,1,10,0.1,0.7,1,1,2,1,266,266,0.9782352164814844,0.938874962938103,0.9870110838592424,0.9679219458646947,0.016501409126403944,0.028849493316332242,0.0035747936535435797,0.004633345566333271,0.964949117847812,0.9659557429070978,0.00021506957885390122,9.605263157894736,9.597744360902256,-0.007518796992481203,36.274651527404785
15,model.4.m.0.cv2.conv.weight,shattered_glass,gaussian,0.74,,1,10,0.1,0.7,1,13,2,1,266,266,0.9694710316266011,0.914925654594735,0.9817524717237142,0.954727772841771,0.023318141258881122,0.03623171609674939,0.004718754727949808,0.005796676758038788,0.9579512872696491,0.9542344732548502,0.002748397188507258,9.605263157894736,9.533834586466165,-0.07142857142857142,35.48718786239624
16,model.4.m.1.cv1.conv.weight,shattered_glass,gaussian,0.09,,1,10,0.1,0.7,1,9,2,1,266,266,0.9939299591479512,0.9852303658953756,0.996432129091115,0.9924249847468445,0.004544374323399642,0.006802352811924676,0.0009488798745523195,0.0010549775754625495,0.9922835883832124,0.9914245496372593,-3.828865419258596e-05,9.605263157894736,9.575187969924812,-0.03007518796992481,35.840455770492554
17,model.4.m.1.cv2.conv.weight,shattered_glass,gaussian,0.02,,1,10,0.1,0.7,1,10,2,1,266,266,0.9991551045802757,0.9977586604988896,0.9995041208857414,0.9988574318713598,0.0005191745658018665,0.000889149665870779,0.00011142941100877941,0.00016550475852191958,0.9993844259772238,0.9988153398950248,-2.4879510877821984e-05,9.605263157894736,9.6203007518797,0.015037593984962405,36.67848181724548
18,model.4.m.2.cv1.conv.weight,shattered_glass,gaussian,0.13,,1,10,0.1,0.7,1,19,2,1,266,266,0.9936001100576243,0.9789772506103888,0.9962247082998353,0.9891811592920742,0.004268981530924167,0.009043616092235812,0.0009299684398203413,0.001370383695782108,0.9907005171102914,0.9898376287020184,-2.9660475935963926e-05,9.605263157894736,9.582706766917294,-0.022556390977443608,35.39435648918152
19,model.4.m.2.cv2.conv.weight,shattered_glass,gaussian,0.59,,1,10,0.1,0.7,1,16,2,1,266,266,0.9814371158884029,0.9356144681472174,0.9889376675600677,0.9661159486921236,0.013609664067311358,0.027280851023238097,0.003058307682022419,0.004697284363059143,0.966691022889084,0.9705088705600221,0.0008692910372026596,9.605263157894736,9.552631578947368,-0.05263157894736842,35.89455556869507
20,model.5.conv.weight,shattered_glass,gaussian,0.42,,1,10,0.1,0.7,1,2,2,1,266,266,0.9843600274577781,0.9669362533614939,0.9907267668525546,0.9828934097806163,0.012165945639143121,0.016896031862194856,0.0026208790839589834,0.0030220511917140383,0.9771776592685774,0.9784923333350195,0.0008432334829771423,9.605263157894736,9.56766917293233,-0.03759398496240601,36.865750312805176
21,model.6.cv1.conv.weight,shattered_glass,gaussian,0.46,,1,10,0.1,0.7,1,13,2,1,266,266,0.9772715558287167,0.9545665447350796,0.9864688591300329,0.97633839603403,0.019018614267975447,0.02322993206343106,0.0038351808678639752,0.004447229431891548,0.974560437144529,0.9753719232454349,0.0010349474859633638,9.605263157894736,9.541353383458647,-0.06390977443609022,34.84226393699646
