scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.09,,1,10,0.1,0.7,1,16,2,1,266,266,0.9967268988172355,0.9910905348287307,0.9980700615582472,0.9954379125581214,0.0021210283202873596,0.003611404035540948,0.0005260939832279017,0.0007421339787854375,0.9980222543143004,0.9962812890246101,0.00010823139189104091,9.605263157894736,9.631578947368421,0.02631578947368421,37.59137225151062
2,model.1.conv.weight,column,gaussian,0.28,,1,10,0.1,0.7,1,13,2,1,266,266,0.9940403335041567,0.9850437342911285,0.9964732733467218,0.9922953825858705,0.004277916480258443,0.006383468681570066,0.0009598144302601217,0.0011968465598578162,0.9958560829751965,0.9943132151758449,0.00016175605578224543,9.605263157894736,9.62406015037594,0.018796992481203006,36.70872974395752
3,model.2.cv1.conv.weight,column,gaussian,0.46,,1,10,0.1,0.7,1,1,2,1,266,266,0.991908375159495,0.9785375411639781,0.9952042615310613,0.9889205047676722,0.005809725373669686,0.009212098856948044,0.0013889654439977839,0.0018106800854789148,0.9925140563718917,0.9896147090875222,0.00012953966175244876,9.605263157894736,9.605263157894736,0.0,33.98536038398743
4,model.2.cv2.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,16,2,1,266,266,0.986393689352673,0.9717251144190097,0.9918884745822072,0.98531128893136,0.01070624441684554,0.011933890878397403,0.0022754894967013987,0.002546525961543355,0.9814605337062796,0.9851278038409789,-0.00015584010166124713,9.605263157894736,9.586466165413533,-0.018796992481203006,48.92862129211426
5,model.2.cv3.weight,column,gaussian,0.56,,1,10,0.1,0.7,1,6,2,1,266,266,0.9776220608288562,0.9460356803238759,0.9866223163762413,0.9715987045799226,0.017250678534800168,0.024962702237003708,0.004036280803244815,0.00462935867529285,0.9769013814967517,0.978805008448415,0.001048584536885116,9.605263157894736,9.590225563909774,-0.015037593984962405,36.4091911315918
6,model.2.cv4.conv.weight,column,gaussian,0.76,,1,10,0.1,0.7,1,10,2,1,266,266,0.978950741564378,0.9407719192749953,0.9873927441962607,0.9686540315425034,0.015640100723547653,0.025840916151264152,0.0035710088825990248,0.004431395306742528,0.9651608246434127,0.9697115151477709,0.0013075740363082055,9.605263157894736,9.537593984962406,-0.06766917293233082,42.908347845077515
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.41,,1,10,0.1,0.7,1,3,2,1,266,266,0.989545888009866,0.9755494299046837,0.9937978118234743,0.9873659630884002,0.008205131871365692,0.010724463787131556,0.0018897974346463828,0.001887813528373657,0.9902677072740389,0.9896595763052537,0.00016647689121767286,9.605263157894736,9.582706766917294,-0.022556390977443608,35.109882831573486
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.01,,1,10,0.1,0.7,1,2,2,1,266,266,0.9999179240724548,0.9998394173922266,0.9999521262600863,0.9999182222629324,5.085687737508715e-05,9.506948848958493e-05,1.2208989017282472e-05,2.037958096877679e-05,1.0,0.9999390526308355,7.444265380415741e-07,9.605263157894736,9.605263157894736,0.0,35.44335174560547
9,model.3.conv.weight,column,gaussian,0.25,,1,10,0.1,0.7,1,1,2,1,266,266,0.9988959875054031,0.9970500264302422,0.9993518973084211,0.9984955282844328,0.0006676638435443374,0.0012138107154646702,0.00015236307574391033,0.00022070662117963845,0.9993322121092203,0.998594902425069,6.482763925361981e-05,9.605263157894736,9.601503759398497,-0.0037593984962406013,35.62308216094971
10,model.4.cv1.conv.weight,column,gaussian,0.99,,1,10,0.1,0.7,1,9,2,1,266,266,0.9930429883615275,0.9819981585056691,0.9958969651492333,0.990736846484036,0.005102358643058414,0.007458105947159732,0.0010983023033844209,0.0013147533846313269,0.9878330492002831,0.9876976721588333,0.00012782722153756854,9.605263157894736,9.631578947368421,0.02631578947368421,39.347994565963745
11,model.4.cv2.weight,column,gaussian,0.47,,1,10,0.1,0.7,1,11,2,1,266,266,0.995855291266648,0.9872803843933866,0.9975520357642442,0.9934778413053764,0.0028764678942225174,0.005562347361138214,0.0006538704016799049,0.0008660505859658978,0.9939411745753257,0.9950060098625243,8.529787598129818e-05,9.605263157894736,9.605263157894736,0.0,36.475523471832275
12,model.4.cv3.weight,column,gaussian,0.89,,1,10,0.1,0.7,1,3,2,1,266,266,0.9896747364685751,0.969541951447894,0.9938966206007525,0.9842376103343258,0.007512318423621059,0.014426765620401611,0.001626628007522281,0.0023175895081233785,0.9838225598984404,0.985546831628246,0.00014491929182491002,9.605263157894736,9.582706766917294,-0.022556390977443608,37.53710174560547
13,model.4.cv4.conv.weight,column,gaussian,0.65,,1,10,0.1,0.7,1,10,2,1,266,266,0.9911657081155574,0.9724675734668669,0.9947856540299886,0.985776686086383,0.006676258031754453,0.011641737268672733,0.0013900449884152173,0.0019161805401837135,0.9906188546646599,0.9886018804018428,0.00033317275105379117,9.605263157894736,9.609022556390977,0.0037593984962406013,37.31112742424011
14,model.4.m.0.cv1.conv.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,2,2,1,266,266,0.998531213706697,0.9966704688265206,0.9991413540997619,0.9983015813770336,0.0009287497172945577,0.0014264882171151614,0.00017600044931819885,0.00024009027861718291,0.9995300751879699,0.9983294867283657,-0.00010727908830315481,9.605263157894736,9.6203007518797,0.015037593984962405,36.02672982215881
15,model.4.m.0.cv2.conv.weight,column,gaussian,0.29,,1,10,0.1,0.7,1,10,2,1,266,266,0.9994259081459966,0.9983117671178874,0.9996628194306,0.9991396273112657,0.0003363826446177594,0.0007105483255132197,7.747533712950983e-05,0.00012922901183697624,0.9998021369212504,0.9987754334362255,-3.455481099605385e-05,9.605263157894736,9.61654135338346,0.011278195488721804,53.98759865760803
16,model.4.m.1.cv1.conv.weight,column,gaussian,0.6,,1,10,0.1,0.7,1,11,2,1,266,266,0.9945316791485571,0.9857441955785838,0.9967767870497516,0.9926847332238244,0.003926708031952397,0.0071615641438002135,0.0008321082273535572,0.0011257228935658416,0.9927717684197702,0.9916184419221369,-2.2656280318314227e-05,9.605263157894736,9.582706766917294,-0.022556390977443608,36.492151498794556
