scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.39,,1,10,0.1,0.7,1,14,2,1,400,400,0.9840848764147495,0.9616453152825329,0.9908537427140425,0.979967969034637,0.013506866254303142,0.012872444388145157,0.001750381299147666,0.0028882084389617833,0.9638157894736842,0.9878886723411697,0.0009268434922433807,0.5425,0.5575,0.015,71.77702689170837
2,model.1.conv.weight,single,gaussian,0.62,,1,10,0.1,0.7,1,14,2,1,400,400,0.9902550315222551,0.9722096029344311,0.9945188036222322,0.9855289467785748,0.007918463415988218,0.010440651571589053,0.0008680531466883013,0.0021839451555190734,0.9835526315789473,0.9928769315973287,0.0003187203940176806,0.5425,0.56,0.0175,68.98244261741638
3,model.2.cv1.conv.weight,single,gaussian,0.84,,1,10,0.1,0.7,1,11,2,1,400,400,0.9800855686984465,0.9545449828695405,0.9882970336337251,0.9761630845418385,0.01728254671855507,0.016911369578810856,0.0019630988038595296,0.0033557413540375247,0.9769736842105263,0.98575019770637,-0.0009751489291391101,0.5425,0.5675,0.025,69.65732002258301
4,model.2.cv2.weight,single,gaussian,0.16,,1,10,0.1,0.7,1,9,2,1,400,400,0.9925877316024654,0.9861087932779694,0.995828761272175,0.9928589571895102,0.005709850552750444,0.0057411344918437066,0.0005773366579987682,0.0011455069049103029,0.9846491228070174,0.9965532263185805,-0.0012168500399747431,0.5425,0.5425,0.0,70.3185806274414
5,model.2.cv3.weight,single,gaussian,0.17,,1,10,0.1,0.7,1,17,2,1,400,400,0.9882919878585165,0.9772278683504831,0.993465478474773,0.9882229560490157,0.010335621843195458,0.009138577184369341,0.0011064116068511573,0.001917430838347619,0.982456140350877,0.9943489939566478,-0.0005746097622591403,0.5425,0.5425,0.0,72.16555643081665
6,model.2.cv4.conv.weight,single,gaussian,0.06,,1,10,0.1,0.7,1,12,2,1,400,400,0.9977894619607736,0.9956277624044668,0.9987916334684399,0.9977654268436578,0.0017075601987887876,0.0016508375822012209,0.00018686959141306331,0.00036097589619175127,0.9967105263157895,0.9987594129746421,0.00010664937527556169,0.5425,0.545,0.0025,72.12035274505615
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.45,,1,10,0.1,0.7,1,4,2,1,400,400,0.9865223040208048,0.9680953106127368,0.9924438207645028,0.9833988812170137,0.011633835428056618,0.011790654323297366,0.0013375141351571662,0.002437766182587103,0.9703947368421053,0.9893843809630247,0.0017039162800616067,0.5425,0.5525,0.01,70.63392734527588
8,model.2.m.0.cv2.conv.weight,single,gaussian,1.0,,1,10,0.1,0.7,1,11,2,1,400,400,0.9907319993409893,0.9812482468302651,0.994752342227967,0.990341309302752,0.007838331061989175,0.006976426864723684,0.000751683979954002,0.0013697124317396106,0.9714912280701754,0.9950452269257049,-9.405454599884e-05,0.5425,0.5325,-0.01,71.40221285820007
9,model.3.conv.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,14,2,1,400,400,0.9988534585844636,0.997703986347977,0.9993802446092691,0.9988283168465347,0.0008640422201566383,0.0009113533136731516,9.157625269880263e-05,0.00019330644072936684,0.9967105263157895,0.9989401636677876,-9.62073702299804e-05,0.5425,0.5425,0.0,71.04891848564148
10,model.4.cv1.conv.weight,single,gaussian,0.24,,1,10,0.1,0.7,1,6,2,1,400,400,0.9980447214483502,0.99536155538738,0.9989299062816575,0.9976287798269664,0.0014152983515705938,0.0018148994144719952,0.000176044769098794,0.0003900585353240328,0.993421052631579,0.9979496710982761,0.00016684741958191522,0.5425,0.54,-0.0025,71.71765947341919
