scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.1,,1,10,0.1,0.7,1,2,2,1,400,400,0.9929945155111888,0.983190409301881,0.9961250942589187,0.9913383952550237,0.005766606881371794,0.005868555785961107,0.0006596880035284682,0.0011859343574709867,0.9857456140350876,0.9957213812556704,0.00042115073455007454,0.5425,0.5375,-0.005,57.68781757354736
2,model.1.conv.weight,row,gaussian,0.13,,1,10,0.1,0.7,1,12,2,1,400,400,0.9933832952803198,0.9836072413076576,0.9963012211510587,0.9915617104586261,0.004907802720906522,0.005804872514504647,0.0005206240489907571,0.0011762940267421146,0.9813596491228069,0.9939638442132207,0.0002952131794558631,0.5425,0.5425,0.0,56.868613958358765
3,model.2.cv1.conv.weight,row,gaussian,0.01,,1,10,0.1,0.7,1,13,2,1,400,400,0.9995833586431266,0.9992484725377417,0.9997756936235214,0.9996168636194294,0.00030524774697225534,0.00032121657672400735,3.0344775613353684e-05,6.293745670306687e-05,1.0,0.999816813718593,-2.7319302030822685e-05,0.5425,0.5425,0.0,58.69986867904663
4,model.2.cv2.weight,row,gaussian,0.22,,1,10,0.1,0.7,1,8,2,1,400,400,0.9885153540489963,0.9755126099543684,0.993467249553516,0.9873332333058568,0.011864924869040479,0.010318702346239328,0.0011255120193696708,0.002044718654016201,0.975877192982456,0.9935253877772224,0.0006556396517488692,0.5425,0.5375,-0.005,58.6635422706604
5,model.2.cv3.weight,row,gaussian,0.03,,1,10,0.1,0.7,1,17,2,1,400,400,0.9980051424944644,0.9965560050429064,0.9989237579007809,0.9982414161989094,0.0015421004452879528,0.0013162581501069883,0.00013595502017655752,0.0002585537827538368,0.9967105263157895,0.9990660537426407,-0.0003686510680014627,0.5425,0.5425,0.0,57.017624378204346
6,model.2.cv4.conv.weight,row,gaussian,0.4,,1,10,0.1,0.7,1,7,2,1,400,400,0.9841070785963081,0.9601613414652397,0.990893746694714,0.9791167321885765,0.013482705064039913,0.015967153417225155,0.0018348214636436852,0.0034512029679903663,0.9429824561403509,0.9842567420713432,0.0006550398217216474,0.5425,0.5375,-0.005,58.76759386062622
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.98,,1,10,0.1,0.7,1,18,2,1,400,400,0.9732706528342469,0.9437358633551634,0.9834648534933891,0.9702577301794898,0.027037515165427593,0.021540231085759073,0.0024789746518243108,0.004276019507196382,0.9671052631578947,0.982894131011433,-0.002374855164024565,0.5425,0.565,0.0225,52.00088405609131
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.98,,1,10,0.1,0.7,1,16,2,1,400,400,0.9771191489072154,0.9471807702993309,0.9866834253601533,0.9721967268976184,0.022571283414002333,0.02143681904115313,0.002390576125067521,0.00449706536504515,0.930921052631579,0.982197112701405,0.0011622257445050388,0.5425,0.5425,0.0,52.74637699127197
9,model.3.conv.weight,row,gaussian,0.96,,1,10,0.1,0.7,1,17,2,1,400,400,0.9858038525324776,0.9693677394374793,0.992021181049319,0.9840968888355215,0.013299183380430752,0.011846976119077273,0.001393646484503075,0.0024991767961924337,0.9725877192982455,0.989653510981136,0.000422000504202313,0.5425,0.535,-0.0075,59.23374390602112
10,model.4.cv1.conv.weight,row,gaussian,0.34,,1,10,0.1,0.7,1,17,2,1,400,400,0.9932559647919124,0.9879526515851111,0.9962150897076083,0.9938135150287605,0.005699803847460592,0.0048337189577542595,0.0004759435268283087,0.0009894785044147706,0.993421052631579,0.9957763200723811,2.020994495404394e-05,0.5425,0.545,0.0025,58.34623408317566
11,model.4.cv2.weight,row,gaussian,0.27,,1,10,0.1,0.7,1,15,2,1,400,400,0.9951449192344193,0.9872060449810484,0.9973315370074257,0.9934291066838697,0.003917566844778387,0.004753143645259922,0.000352462724084991,0.0009465118080140944,0.9901315789473685,0.9968380390216183,-0.0003722485722295496,0.5425,0.545,0.0025,55.20180702209473
12,model.4.cv3.weight,row,gaussian,0.9,,1,10,0.1,0.7,1,4,2,1,400,400,0.9847764772374841,0.9636137030526905,0.9913976262348859,0.9810267848744855,0.013603657275018055,0.014178089927745741,0.0013507269685457874,0.002794050983984307,0.9813596491228069,0.9889627537519464,-0.0009956810187556622,0.5425,0.5475,0.005,58.095293045043945
13,model.4.cv4.conv.weight,row,gaussian,0.08,,1,10,0.1,0.7,1,4,2,1,400,400,0.9979296327544479,0.995478782808286,0.9988798137474795,0.9976892929624644,0.001605124883806718,0.0016764661870434484,0.0001343050163691296,0.00033814904397609294,0.9967105263157895,0.9989660550235657,2.4703429325630772e-05,0.5425,0.54,-0.0025,53.869887590408325
14,model.4.m.0.cv1.conv.weight,row,gaussian,0.16,,1,10,0.1,0.7,1,12,2,1,400,400,0.9967110865162943,0.9941610477871543,0.9981964580330591,0.9970133458962206,0.002988694516507368,0.002256493566971884,0.0002300964615329843,0.00048449056945190915,1.0,0.9978370677941202,-3.471312096767261e-05,0.5425,0.5525,0.01,55.90012812614441
15,model.4.m.0.cv2.conv.weight,row,gaussian,0.95,,1,10,0.1,0.7,1,9,2,1,400,400,0.9905338583251141,0.9771813151718487,0.9947136245698331,0.9882105301556081,0.008448815931501015,0.008651499647180028,0.0009454667159363791,0.0018470438544086359,0.9671052631578947,0.9936160158190951,0.0011345155753811997,0.5425,0.5375,-0.005,54.39226746559143
16,model.4.m.1.cv1.conv.weight,row,gaussian,0.44,,1,10,0.1,0.7,1,3,2,1,400,400,0.9938813495231102,0.9855601757202708,0.9966229717263444,0.9925699901156453,0.0047995650450593196,0.005949740810452058,0.000562678236562172,0.0013152054492231162,0.9978070175438596,0.9963803707965111,-0.00028730700151962144,0.5425,0.5475,0.005,54.20747232437134
17,model.4.m.1.cv2.conv.weight,row,gaussian,0.64,,1,10,0.1,0.7,1,17,2,1,400,400,0.9947889351354039,0.9864258763462326,0.9970804821711107,0.993021041409331,0.0037481053591702897,0.005046263773148698,0.0006351558495116672,0.0011499560106990664,0.9769736842105263,0.9964314234919017,4.791526330841914e-05,0.5425,0.5425,0.0,59.21866989135742
18,model.4.m.2.cv1.conv.weight,row,gaussian,0.49,,1,10,0.1,0.7,1,11,2,1,400,400,0.9936751953997682,0.986085808639678,0.996466133609635,0.9928423627263391,0.005100485026991888,0.0054778258081261,0.0006674824877560705,0.0011240644034183215,0.9901315789473685,0.9955943873847032,-0.0001827946002646524,0.5425,0.5475,0.005,57.419965744018555
19,model.4.m.2.cv2.conv.weight,row,gaussian,0.19,,1,10,0.1,0.7,1,3,2,1,400,400,0.9979775806690224,0.9964289889469334,0.9988994147018017,0.9981760855746629,0.0015477463684640492,0.0013130924332112699,0.00013199388157958826,0.00027580274564258675,0.9967105263157895,0.9986255063038123,6.782756954954381e-05,0.5425,0.5425,0.0,59.700161933898926
20,model.5.conv.weight,row,gaussian,0.18,,1,10,0.1,0.7,1,16,2,1,400,400,0.9991432769482681,0.9984623716409553,0.9995281533528158,0.9992153158283014,0.0006218115926386261,0.0006627041491467178,9.195070034120658e-05,0.00015724603928146834,1.0,0.9996188948290389,3.2746608842883195e-05,0.5425,0.5425,0.0,53.179336071014404
21,model.6.cv1.conv.weight,row,gaussian,0.65,,1,10,0.1,0.7,1,16,2,1,400,400,0.994427955781988,0.9911656654498902,0.996930220399516,0.9954729432700182,0.0045340132905951035,0.003607737712606326,0.0004473478308280464,0.0008181298363916169,0.9868421052631579,0.997185648533336,0.00026756920443292247,0.5425,0.5375,-0.005,59.97340130805969
22,model.6.cv2.weight,row,gaussian,0.2,,1,10,0.1,0.7,1,5,2,1,400,400,0.9990738539807384,0.9982501736272827,0.9994998254767856,0.9991074197367149,0.0006549642094820001,0.0006626231074514728,6.95517599439403e-05,0.00014638182158004158,0.9967105263157895,0.9991848140039987,-2.2358359082749028e-05,0.5425,0.54,-0.0025,57.79153847694397
23,model.6.cv3.weight,row,gaussian,0.52,,1,10,0.1,0.7,1,13,2,1,400,400,0.9954847242229852,0.9923200475694709,0.997548854583377,0.9960672295928313,0.00367407509229997,0.003119455650670965,0.00035564302457887344,0.0006791978274953454,0.9967105263157895,0.9976228086702656,0.00013373710476515587,0.5425,0.5525,0.01,57.40286993980408
24,model.6.cv4.conv.weight,row,gaussian,0.1,,1,10,0.1,0.7,1,11,2,1,400,400,0.9991711952685921,0.9988420453740909,0.999558349678623,0.9994097038788969,0.0006341007990087463,0.0004522521252407777,5.069855627633275e-05,9.644294348365155e-05,1.0,0.9996215729206279,-2.9958621190305334e-05,0.5425,0.5425,0.0,55.108580350875854
