scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.98,,1,10,0.1,0.7,1,4,2,1,400,400,0.9639308734152445,0.9081997510942651,0.9773403567234589,0.950431357948218,0.04214670314813823,0.03505015633040759,0.0036752154240530742,0.0076823157608256485,0.9177631578947368,0.9713126604720985,-0.0004104453297483892,0.5425,0.57,0.0275,63.80314922332764
2,model.1.conv.weight,column,gaussian,0.75,,1,10,0.1,0.7,1,14,2,1,400,400,0.9820783492958338,0.9559997573879457,0.9895892946722346,0.9767016496877897,0.017304721840443647,0.017699550352424456,0.0018382061504383868,0.0036340968596544356,0.9638157894736842,0.9874067105822736,-0.0007161347547898422,0.5425,0.5475,0.005,64.72855257987976
3,model.2.cv1.conv.weight,column,gaussian,0.78,,1,10,0.1,0.7,1,18,2,1,400,400,0.9802979691381958,0.9609439373501708,0.988204024293784,0.979590370684501,0.018167204494783408,0.016090802165167853,0.001643337511279412,0.003075876658740768,0.9594298245614034,0.9851671594891461,0.0009130881344144409,0.5425,0.5475,0.005,64.45202040672302
4,model.2.cv2.weight,column,gaussian,0.59,,1,10,0.1,0.7,1,17,2,1,400,400,0.9744612163272396,0.9527299312612729,0.9852771803702477,0.9750973224124325,0.02418961563504012,0.02053505230378624,0.0021939949346969525,0.004241621194213364,0.9703947368421053,0.9844044977757664,-0.0002592136793666416,0.5425,0.555,0.0125,64.88769340515137
5,model.2.cv3.weight,column,gaussian,0.36,,1,10,0.1,0.7,1,16,2,1,400,400,0.9798646458664283,0.9589336372340767,0.9881833804221302,0.9785065988880021,0.020105152191397045,0.017369606269095558,0.0016031975615953442,0.003486152133072522,0.9835526315789473,0.9860531126328727,0.0011836927253426166,0.5425,0.5625,0.02,60.2159218788147
6,model.2.cv4.conv.weight,column,gaussian,0.01,,1,10,0.1,0.7,1,18,2,1,400,400,0.9994031860853023,0.9988939887394918,0.9996778251528667,0.9994360363487901,0.0004448105019262781,0.00045567014724074513,4.5356694405391076e-05,9.950512330023705e-05,1.0,0.9997421970688983,-1.5958048926110856e-05,0.5425,0.545,0.0025,65.12081146240234
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.32,,1,10,0.1,0.7,1,13,2,1,400,400,0.9889862293922204,0.9775795031898136,0.9938988979403993,0.9883946592075281,0.009649953578538753,0.008676973787530046,0.0008518079086712167,0.001718296761808889,0.9649122807017543,0.9923829060792922,-0.001029014488061269,0.5425,0.54,-0.0025,64.92456603050232
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.82,,1,10,0.1,0.7,1,17,2,1,400,400,0.9923464170850806,0.9843467952714812,0.9957900734689477,0.9919426766093568,0.006039231702236274,0.006179218223382989,0.0006160598491817365,0.001356347768472047,0.9780701754385964,0.995880292389128,-0.0010693839523527357,0.5425,0.54,-0.0025,62.3079400062561
9,model.3.conv.weight,column,gaussian,0.36,,1,10,0.1,0.7,1,2,2,1,400,400,0.9974450460611092,0.9949442905553468,0.998625199388099,0.9974168617492952,0.0020050373265903675,0.0019402066643551452,0.00015026687236406052,0.00039235102159224935,0.9978070175438596,0.9985700305224512,0.0002909477865486814,0.5425,0.5425,0.0,67.22485184669495
10,model.4.cv1.conv.weight,column,gaussian,0.33,,1,10,0.1,0.7,1,1,2,1,400,400,0.9960333662897111,0.99175524947502,0.9978296208461469,0.9957757841764656,0.0033469007225462575,0.0032237336881338697,0.0003098274893092284,0.0006798643246272643,0.9857456140350878,0.9975850652053692,-7.897530469978066e-05,0.5425,0.535,-0.0075,66.05482625961304
11,model.4.cv2.weight,column,gaussian,0.09,,1,10,0.1,0.7,1,16,2,1,400,400,0.9984806294473549,0.9969570274162675,0.9991763766802083,0.9984464661569098,0.0011504797171072443,0.0011433141317065793,0.00012046513181536024,0.00023808159807866966,0.9967105263157895,0.9993469883083252,0.00013207310908719112,0.5425,0.54,-0.0025,66.2291374206543
12,model.4.cv3.weight,column,gaussian,0.73,,1,10,0.1,0.7,1,3,2,1,400,400,0.9855919900751106,0.9689472211683153,0.9918783434987708,0.9838804854034953,0.013712767036759468,0.012567393329978072,0.0013173173432386692,0.0025488950090687273,0.9758771929824562,0.9926012314642237,0.001451879081873441,0.5425,0.5475,0.005,66.90840888023376
13,model.4.cv4.conv.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,10,2,1,400,400,0.9964941039878584,0.9923939661253867,0.998086643803355,0.9961062646737078,0.002768611727288639,0.0030256340272892344,0.00029748368088089466,0.0005952924361614282,0.993421052631579,0.9980189684909163,0.00024984518817642274,0.5425,0.545,0.0025,65.77571702003479
