scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.19,,1,10,0.1,0.7,1,4,2,1,400,400,0.9413636707353055,0.8572004434601256,0.96217206894169,0.9206958932671516,0.06536275031418297,0.05701939654060777,0.007706416152550983,0.012640929283967801,0.8788377192982455,0.9547008923121861,0.0016122624987647653,0.5425,0.565,0.0225,59.960227727890015
2,model.1.conv.weight,bullet_wake,gaussian,0.02,,1,10,0.1,0.7,1,3,2,1,400,400,0.9920397696621381,0.9834561869237755,0.9955780491040019,0.9914916776898223,0.006809644836174908,0.006471054508515695,0.000649187212838621,0.001263583969512237,0.9671052631578947,0.9947817503939271,-1.8342662711004785e-05,0.5425,0.5375,-0.005,58.711692810058594
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.23,,1,10,0.1,0.7,1,12,2,1,400,400,0.970495607689619,0.9224284583259513,0.9822634287444463,0.9586705099541513,0.028368077226303634,0.02948474388941978,0.002835072563161006,0.006272046729542367,0.9226973684210527,0.9761601267189816,0.0037603209073516146,0.5425,0.56,0.0175,62.226463079452515
4,model.2.cv2.weight,bullet_wake,gaussian,0.37,,1,10,0.1,0.7,1,4,2,1,400,400,0.9266630917799749,0.8280551617686887,0.9531935469805,0.9033508028007364,0.1218888675798978,0.07992540406460673,0.008750225672024419,0.016304565402643016,0.8432017543859649,0.9499140230187199,0.0006017242196508516,0.5425,0.5575,0.015,61.13344669342041
5,model.2.cv3.weight,bullet_wake,gaussian,0.28,,1,10,0.1,0.7,1,1,2,1,400,400,0.9459449189091907,0.865743115234161,0.9639861504407099,0.9259886274990942,0.067259232249839,0.05788613949245505,0.0059217145976238105,0.011950621029824209,0.9183114035087718,0.9533694616679488,-0.0008722914018850212,0.5425,0.5875,0.045,60.71206045150757
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.21,,1,10,0.1,0.7,1,4,2,1,400,400,0.9397759678067638,0.8618809527825698,0.9614586263332358,0.9240454911279002,0.0716123117150616,0.06608050853513293,0.007465874226098092,0.012768467424289656,0.8969298245614034,0.9556928195389278,-0.00037214696615725946,0.5425,0.575,0.0325,61.06469511985779
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.48,,1,10,0.1,0.7,1,16,2,1,400,400,0.9498648878605647,0.8663420769995779,0.9679229461589745,0.9264001327297257,0.06323277577406541,0.056824507666690185,0.006480549972335186,0.0116088634784642,0.8870614035087719,0.9580226346110621,-0.01030863317755661,0.5425,0.61,0.0675,60.55326437950134
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.28,,1,10,0.1,0.7,1,15,2,1,400,400,0.9750709548497801,0.9358707482448494,0.9855388335875404,0.9661121227662097,0.02555190489604095,0.024784828291653734,0.0022919283781117615,0.005820908156301199,0.9506578947368421,0.9764197886790205,0.002163029073735478,0.5425,0.545,0.0025,62.082194566726685
9,model.3.conv.weight,bullet_wake,gaussian,0.7,,1,10,0.1,0.7,1,12,2,1,400,400,0.9352936241047501,0.8166029803076378,0.9591663208725396,0.8963644788172758,0.10634813121852141,0.08054784687684463,0.008194025046401722,0.016851996455041773,0.8223684210526315,0.9340575323428637,0.012729134714161908,0.5425,0.5575,0.015,64.33624744415283
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.83,,1,10,0.1,0.7,1,14,2,1,400,400,0.9356785680760098,0.8393641009124652,0.9588159806799308,0.9102482843419452,0.08225882711027266,0.07073044541507917,0.007975634814358947,0.01552912375378196,0.8623903508771928,0.9494085115351553,-0.0005871075377475725,0.5425,0.59,0.0475,60.461272954940796
