scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.82,,1,10,0.1,0.7,1,10,2,1,400,400,0.7184460980710407,0.46743257931487375,0.7806306705274908,0.6324304506177739,0.5828787897101118,0.3436843201088615,0.046930644223903945,0.06540886346215183,0.5822368421052632,0.8755150901259117,0.01954328676439681,0.5425,0.845,0.3025,55.15935015678406
2,model.1.conv.weight,shattered_glass,gaussian,0.05,,1,10,0.1,0.7,1,4,2,1,400,400,0.9787228214970344,0.9590181862368073,0.9877885938228884,0.9786327302892073,0.02034135666823996,0.01622061573237967,0.0021592334188690315,0.003372494819641404,0.9649122807017543,0.9887658414291322,-0.001558824940282493,0.5425,0.5575,0.015,50.106677770614624
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.35,,1,10,0.1,0.7,1,2,2,1,400,400,0.9510603580943342,0.8844486008505771,0.9697095580237921,0.9371891088529608,0.0920058357346603,0.04749836895073453,0.005763019834211618,0.009466279946113964,0.9106359649122806,0.9619842714595576,0.0008437080584742402,0.5425,0.5625,0.02,54.424920082092285
4,model.2.cv2.weight,shattered_glass,gaussian,0.99,,1,10,0.1,0.7,1,7,2,1,400,400,0.8229825512255867,0.6170142858933799,0.8754949186505111,0.7573763160651035,0.5428356936055808,0.2203669014924793,0.02696602691592687,0.03904313398024979,0.5997807017543859,0.9011148183413271,0.01015261560678482,0.5425,0.5725,0.03,49.88996934890747
5,model.2.cv3.weight,shattered_glass,gaussian,0.69,,1,10,0.1,0.7,1,18,2,1,400,400,0.8730315492984101,0.7095371266958346,0.9129205263668732,0.8249145805612648,0.351408951481121,0.14325325331906838,0.01757273798776818,0.029944728800401884,0.7039473684210527,0.9089363548210113,-0.000250566098312873,0.5425,0.6375,0.095,54.46924877166748
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.89,,1,10,0.1,0.7,1,9,2,1,400,400,0.7619085366067802,0.5271935852796443,0.825603243485636,0.6801817295917822,0.6229505181888713,0.2874162069447085,0.04346225949537203,0.05401037464760921,0.5400219298245613,0.8880199404926234,0.01943605989729825,0.5425,0.59,0.0475,50.72782325744629
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,1.0,,1,10,0.1,0.7,1,15,2,1,400,400,0.9000380018083868,0.7531569625138834,0.933178155805875,0.8555943331210222,0.21605345748202812,0.11587406198163679,0.013801592550210446,0.02390094831394889,0.7587719298245613,0.9278746251233672,0.0020304852456012102,0.5425,0.605,0.0625,49.13309335708618
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.17,,1,10,0.1,0.7,1,13,2,1,400,400,0.9793666103108507,0.9555793549440367,0.9881542671862114,0.9767876694103628,0.019791197530942887,0.01905957301103423,0.0021983842950381765,0.003926569402772113,0.9528508771929823,0.9838809981570493,-0.000314783904693024,0.5425,0.5525,0.01,48.07508397102356
9,model.3.conv.weight,shattered_glass,gaussian,0.7,,1,10,0.1,0.7,1,15,2,1,400,400,0.9331017015928224,0.8191132371414919,0.9577252325021306,0.8979781060428855,0.08303370086610856,0.08267408494055406,0.007714074072440756,0.01674736853395012,0.8163377192982457,0.9464829465517631,0.006650657684375077,0.5425,0.5775,0.035,54.97524046897888
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.68,,1,10,0.1,0.7,1,7,2,1,400,400,0.9412515734139736,0.8582752646947857,0.9612867851849839,0.9217673752003281,0.10079916100716811,0.064872192989424,0.006276040861743827,0.0128763885375058,0.8766447368421053,0.9522707020314997,-0.0015835181094598083,0.5425,0.5875,0.045,54.264443159103394
