scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.65,,1,10,0.1,0.7,1,6,2,1,400,400,0.9753122474058321,0.9378668973238621,0.9856048511694709,0.9670265029350316,0.023376687687920592,0.022874811744149563,0.0028625943207349863,0.004857090589990409,0.9314692982456139,0.9790951443353185,-0.0022228085953328344,0.5425,0.555,0.0125,66.38177466392517
2,model.1.conv.weight,single,gaussian,0.65,,1,10,0.1,0.7,1,20,2,1,400,400,0.9885695658139116,0.9696142061383614,0.9934997839977663,0.9841129523456982,0.010883446212131076,0.01105521315755697,0.0011199822139757562,0.0024515303349690997,0.9868421052631579,0.991307868796995,0.0010607254426210921,0.5425,0.5625,0.02,67.00061082839966
3,model.2.cv1.conv.weight,single,gaussian,0.76,,1,10,0.1,0.7,1,6,2,1,400,400,0.9835658754674819,0.9585500161491347,0.9907148345940879,0.9782980777672513,0.015240164294822188,0.014496386462077048,0.0015351378286616736,0.0030139277307113703,0.9627192982456139,0.9865784923973921,-0.001835507114191313,0.5425,0.565,0.0225,70.28356957435608
4,model.2.cv2.weight,single,gaussian,0.27,,1,10,0.1,0.7,1,6,2,1,400,400,0.989021211578998,0.977283613724192,0.9938946933879845,0.9882614947800404,0.009166536255944786,0.009147146550855523,0.0008646118723061077,0.0019150846103956232,0.9627192982456141,0.992928394762514,0.000305342664187019,0.5425,0.535,-0.0075,69.76586389541626
5,model.2.cv3.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,19,2,1,400,400,0.9825739600507191,0.9624040803141765,0.9901247212696274,0.9803757363880932,0.01694983865252554,0.015346490215257353,0.0012856594067401023,0.003113995934035675,0.9583333333333333,0.9852741800651357,0.0003824959433562048,0.5425,0.5525,0.01,70.48832392692566
6,model.2.cv4.conv.weight,single,gaussian,0.52,,1,10,0.1,0.7,1,6,2,1,400,400,0.9842388416381155,0.9638029408936081,0.9908376532018524,0.9811066448658375,0.013633136580888338,0.014581273162861867,0.0014268412629055345,0.0032001977645444313,0.9495614035087719,0.9873881677316653,-0.00020303293592758014,0.5425,0.5525,0.01,69.13826322555542
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,8,2,1,400,400,0.9889204135505206,0.9781800776528872,0.9938869200890461,0.98872619962753,0.009672909980034781,0.00814273848320886,0.0007599777917841432,0.0016632737617811688,0.9747807017543859,0.9937825190358692,-0.0005011455714702607,0.5425,0.545,0.0025,70.12907576560974
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.44,,1,10,0.1,0.7,1,13,2,1,400,400,0.9958686036619905,0.9916451878713006,0.99774111067588,0.9957209930308566,0.0031583704797474178,0.0030674912055450652,0.00033729263012712035,0.0006361332448257783,0.9967105263157895,0.9973712189678562,0.0002657200552915272,0.5425,0.5425,0.0,68.93094968795776
9,model.3.conv.weight,single,gaussian,0.97,,1,10,0.1,0.7,1,16,2,1,400,400,0.9965280928504238,0.9925504919638384,0.9980958847186991,0.9961842747705432,0.002735234592776528,0.0028749698941553524,0.00028815927715124815,0.0006146314639873848,0.993421052631579,0.9977078268206433,0.00014233232982325975,0.5425,0.55,0.0075,68.42776560783386
10,model.4.cv1.conv.weight,single,gaussian,0.99,,1,10,0.1,0.7,1,5,2,1,400,400,0.9923672920468404,0.9808809746521037,0.9957328482187823,0.9901249976223286,0.006158943787747142,0.007502954614250691,0.0007259718052278571,0.0016151170860112963,0.9846491228070174,0.9952915478621097,-0.0003682573471900906,0.5425,0.5425,0.0,63.659870862960815
11,model.4.cv2.weight,single,gaussian,0.78,,1,10,0.1,0.7,1,5,2,1,400,400,0.993003695564291,0.9795656149722113,0.9960891247347541,0.9894297667289347,0.005656315713894716,0.007576875450460585,0.0007876772392079939,0.0016293237798066774,0.9813596491228069,0.9940110254949993,-0.0003852111432287428,0.5425,0.5375,-0.005,67.60756206512451
12,model.4.cv3.weight,single,gaussian,0.97,,1,10,0.1,0.7,1,2,2,1,400,400,0.9877542916837627,0.9694566841859751,0.9928360282147259,0.9841240544294264,0.010542859498472086,0.011779479181086572,0.0012123222108558337,0.002558487808420694,0.9692982456140351,0.9911422943842225,0.0009363811688135134,0.5425,0.545,0.0025,64.8785035610199
13,model.4.cv4.conv.weight,single,gaussian,0.06,,1,10,0.1,0.7,1,15,2,1,400,400,0.999039571003783,0.9981286399327101,0.999479506691914,0.9990451682070595,0.000774105932491268,0.0007771520071534805,7.656866250182458e-05,0.00016027682955769846,0.9967105263157895,0.9995535472244548,-7.183797526777834e-05,0.5425,0.54,-0.0025,68.12904453277588
14,model.4.m.0.cv1.conv.weight,single,gaussian,0.64,,1,10,0.1,0.7,1,11,2,1,400,400,0.9927078212698746,0.9832221289509688,0.9959505359458808,0.9913502201548596,0.006140376716437639,0.006696832970185978,0.000616413312774931,0.0014129147346923826,0.9649122807017543,0.9954268118739128,0.00021888761056794066,0.5425,0.5275,-0.015,64.52228260040283
15,model.4.m.0.cv2.conv.weight,single,gaussian,0.86,,1,10,0.1,0.7,1,3,2,1,400,400,0.9978388207230762,0.9945547121663801,0.9988134445637266,0.997215144462594,0.0015125604463887981,0.0019698335465971727,0.00020927768050450237,0.0004216351297417599,1.0,0.9985805631272102,-7.054230949857776e-05,0.5425,0.5425,0.0,69.25218224525452
16,model.4.m.1.cv1.conv.weight,single,gaussian,0.99,,1,10,0.1,0.7,1,3,2,1,400,400,0.9914662842036447,0.9769181482598063,0.9952462682671482,0.9880667945968276,0.007109115224739224,0.009343831989837572,0.0008518582184138446,0.0019502537367660428,0.9769736842105263,0.9936139491812283,0.00034625297021655317,0.5425,0.5425,0.0,67.95369577407837
17,model.4.m.1.cv2.conv.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,5,2,1,400,400,0.9991682500049722,0.9983894945331133,0.9995469386710459,0.9991784339440994,0.000600577627489088,0.0006258012522270114,6.735157703468152e-05,0.00013770469181010478,1.0,0.9996186433392659,2.1910817738164938e-05,0.5425,0.5425,0.0,69.3729100227356
18,model.4.m.2.cv1.conv.weight,single,gaussian,0.94,,1,10,0.1,0.7,1,5,2,1,400,400,0.9935038965955221,0.9807696188832463,0.9963719313703356,0.9900818258669178,0.005053274770966462,0.007570971857789444,0.0006999365205022473,0.001524491850275341,0.9813596491228069,0.994032372103797,-0.00019954138331943093,0.5425,0.5475,0.005,66.80128288269043
19,model.4.m.2.cv2.conv.weight,single,gaussian,0.89,,1,10,0.1,0.7,1,2,2,1,400,400,0.9978884615224792,0.9960964528342319,0.9988510259417862,0.99800623130682,0.0015561844719766745,0.0014075629062336302,0.00012849525217190357,0.0002929888695470288,1.0,0.9989887049192921,-2.679856199967233e-05,0.5425,0.5425,0.0,70.5917694568634
20,model.5.conv.weight,single,gaussian,0.78,,1,10,0.1,0.7,1,15,2,1,400,400,0.9993100842659871,0.9989245413625065,0.9996267352761411,0.999451380717829,0.0005303839585841295,0.0004623921723237573,5.436810872972656e-05,0.00010074892020644137,0.9967105263157895,0.9997135444887375,2.606541506553951e-05,0.5425,0.54,-0.0025,69.62303423881531
21,model.6.cv1.conv.weight,single,gaussian,0.59,,1,10,0.1,0.7,1,17,2,1,400,400,0.9980588325093599,0.9968165236097284,0.9989376316183374,0.9983743256785469,0.001486190569896116,0.0013970995081742594,0.00017992586403525203,0.00031069455408568606,1.0,0.9988956315475598,-1.2766847615702125e-05,0.5425,0.545,0.0025,68.63437485694885
22,model.6.cv2.weight,single,gaussian,0.96,,1,10,0.1,0.7,1,6,2,1,400,400,0.9980475450753403,0.9968530015147762,0.9989435381725568,0.9983927653276858,0.0015129257972918842,0.0011277682363989498,0.0001236782497147185,0.00023138253259818374,0.9967105263157895,0.9986009355634451,-5.5263439814249665e-05,0.5425,0.545,0.0025,64.34992551803589
23,model.6.cv3.weight,single,gaussian,0.84,,1,10,0.1,0.7,1,3,2,1,400,400,0.9961728023201715,0.9933769438345007,0.9979047254527206,0.996610003825434,0.0029132417530111344,0.0025241027652416256,0.00036027792630289246,0.000527203465297119,0.9857456140350876,0.9977714438443679,-0.0002819905941586358,0.5425,0.5325,-0.01,67.18541502952576
24,model.6.cv4.conv.weight,single,gaussian,0.45,,1,10,0.1,0.7,1,18,2,1,400,400,0.9986343466901859,0.9978154710398215,0.9992696483487855,0.9988855539882325,0.0009357910336082686,0.0008240886364591207,7.62703238482908e-05,0.00017884063507470454,1.0,0.999201518663189,1.587584745465662e-05,0.5425,0.5425,0.0,63.64645266532898
25,model.6.m.0.cv1.conv.weight,single,gaussian,0.68,,1,10,0.1,0.7,1,19,2,1,400,400,0.9973141196812618,0.995553994753284,0.998543495475403,0.997726737059605,0.0021150834115133423,0.001808414867539009,0.0001733552322113089,0.0003786323279507563,0.9967105263157895,0.9986322018595641,-0.00012617646471450202,0.5425,0.545,0.0025,69.47486758232117
26,model.6.m.0.cv2.conv.weight,single,gaussian,0.35,,1,10,0.1,0.7,1,16,2,1,400,400,0.9995208451149761,0.9992346979021505,0.9997433782668395,0.9996098439720902,0.0003704702507324784,0.0003306194798803333,3.163251003514158e-05,7.69419247798148e-05,0.9967105263157895,0.9998075625156623,6.1104074120521605e-06,0.5425,0.54,-0.0025,70.23401284217834
27,model.6.m.1.cv1.conv.weight,single,gaussian,0.57,,1,10,0.1,0.7,1,15,2,1,400,400,0.9970049760290495,0.9956761086685327,0.9983783562451153,0.9977912540197781,0.0023266965738341287,0.0017537281070529125,0.00021212330898597997,0.00037942358541676963,1.0,0.9988881815878445,6.371381970351204e-05,0.5425,0.545,0.0025,71.28294825553894
28,model.6.m.1.cv2.conv.weight,single,gaussian,0.1,,1,10,0.1,0.7,1,7,2,1,400,400,0.9998607748156312,0.9998316001404005,0.9999262585030746,0.9999141728658317,0.00010681114637508919,9.663488006951448e-05,9.420436988078665e-06,2.1314999768181955e-05,1.0,0.9999524713085407,-3.045914988768714e-07,0.5425,0.5425,0.0,74.59626293182373
29,model.6.m.2.cv1.conv.weight,single,gaussian,0.4,,1,10,0.1,0.7,1,1,2,1,400,400,0.998087963804107,0.9970359089342696,0.9989633443014803,0.998486428971375,0.0014696495474528799,0.0012206120804541503,0.0001433398049120709,0.0002622212919595512,0.993421052631579,0.9991995829500651,0.0001283832907415273,0.5425,0.5375,-0.005,69.02453231811523
30,model.6.m.2.cv2.conv.weight,single,gaussian,0.82,,1,10,0.1,0.7,1,1,2,1,400,400,0.9993129575091908,0.9987333554252242,0.999628165117827,0.9993539697191542,0.0005059857673093832,0.0005318712126347458,5.2061664831976033e-05,0.00011263439744752259,1.0,0.9995351736352108,-1.8440954910035718e-05,0.5425,0.5425,0.0,68.3475227355957
31,model.7.conv.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,15,2,1,400,400,0.9999363590722448,0.9998766119919179,0.9999653272212992,0.9999371387159754,4.5374964045091636e-05,7.733919531700226e-05,6.392823870758932e-06,1.6155425509532594e-05,1.0,0.9999607940318815,-1.119059232766168e-05,0.5425,0.5425,0.0,67.95213961601257
32,model.8.cv1.conv.weight,single,gaussian,0.41,,1,10,0.1,0.7,1,20,2,1,400,400,0.9993094147338423,0.9990879525475822,0.9996320291413744,0.9995351816831733,0.0005382829478641354,0.0003852712514986875,4.868710889477186e-05,7.69733644981801e-05,0.9967105263157895,0.9996797739805883,2.231373729413016e-05,0.5425,0.54,-0.0025,68.85719799995422
33,model.8.cv2.conv.weight,single,gaussian,0.44,,1,10,0.1,0.7,1,2,2,1,400,400,0.9987620240183159,0.998843170595197,0.9993328882442104,0.9994102495382386,0.0009982306978667938,0.0005023259200797568,8.021925968200488e-05,9.513587562289563e-05,1.0,0.999239385585513,-0.0001317633054496949,0.5425,0.5425,0.0,64.82986783981323
34,model.9.cv1.conv.weight,single,gaussian,0.31,,1,10,0.1,0.7,1,3,2,1,400,400,0.999232192395186,0.9993554619722863,0.9995958364000463,0.999671970091115,0.0006511227043801048,0.00031284680514692616,3.621893108345595e-05,5.749755174078623e-05,0.9967105263157895,0.9997348531819227,-2.9173107785091057e-06,0.5425,0.54,-0.0025,69.49901914596558
35,model.9.cv2.weight,single,gaussian,0.76,,1,10,0.1,0.7,1,1,2,1,400,400,0.9995427240840041,0.9986549001148174,0.9997540416592909,0.999314064742076,0.00029445956901253805,0.0005546467620940705,2.6952480711929022e-05,0.00011151036193894227,0.9967105263157895,0.9994987482041642,-0.0001392756310994165,0.5425,0.54,-0.0025,70.34832382202148
