scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.96,,1,10,0.1,0.7,1,1,2,1,400,400,0.9475148816605495,0.8618892530370226,0.9678726348414614,0.9230771779996442,0.06994537703766461,0.05596653285030131,0.006345534419313412,0.012427379941366121,0.9013157894736842,0.9507804443718681,-0.007427117861632451,0.5425,0.5725,0.03,67.63898158073425
2,model.1.conv.weight,row,gaussian,0.92,,1,10,0.1,0.7,1,13,2,1,400,400,0.9607264128315351,0.8915254969471441,0.9762470165334116,0.940704874259519,0.03950220955780531,0.04614024277197328,0.0038338056889571153,0.009064837285147924,0.9155701754385964,0.966385629395364,0.0014561711167785482,0.5425,0.5575,0.015,66.87574553489685
3,model.2.cv1.conv.weight,row,gaussian,0.66,,1,10,0.1,0.7,1,2,2,1,400,400,0.9824596455094499,0.9549752555506372,0.9900145732913325,0.9764227400834649,0.018625963142887114,0.017164416186841627,0.001399409056938976,0.00340850688566135,0.969298245614035,0.9862271246294048,0.0012136030050465458,0.5425,0.5525,0.01,64.1764018535614
4,model.2.cv2.weight,row,gaussian,0.97,,1,10,0.1,0.7,1,6,2,1,400,400,0.9602226619311744,0.9007087951632903,0.9755208239818981,0.9460539138458475,0.05108909061220312,0.046674056416849935,0.004759658642909193,0.009705797479336468,0.8881578947368421,0.9728700494837195,0.0026650983130648027,0.5425,0.52,-0.0225,68.03042125701904
5,model.2.cv3.weight,row,gaussian,0.02,,1,10,0.1,0.7,1,2,2,1,400,400,0.9983601716561441,0.997573453726383,0.9991203339994841,0.9987619661916131,0.001284191361093185,0.001028800993720957,0.00012659914821769414,0.0002095370409284867,0.9967105263157895,0.9994408639572692,4.457888242445494e-05,0.5425,0.545,0.0025,67.65359115600586
6,model.2.cv4.conv.weight,row,gaussian,0.93,,1,10,0.1,0.7,1,9,2,1,400,400,0.9665352641698908,0.9134243357789515,0.9797217636237316,0.9529358627734826,0.029071287891595986,0.037506048949606054,0.0046873534399888865,0.008062073216238334,0.9385964912280701,0.9741870432146014,-0.0024189835840882625,0.5425,0.57,0.0275,67.16027498245239
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.5,,1,10,0.1,0.7,1,6,2,1,400,400,0.9858771441402212,0.9694369813340182,0.9919289212243629,0.9841003160455114,0.012336302687452134,0.011413228131949383,0.0010571986529497907,0.0023265626106127755,0.982456140350877,0.9900530993677022,-0.0022276895153417924,0.5425,0.5575,0.015,67.51605534553528
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.17,,1,10,0.1,0.7,1,14,2,1,400,400,0.9949838659000911,0.9901179279601914,0.9972313691943826,0.9949332358294899,0.00439985790672167,0.0039946652643665015,0.00038912456482024377,0.0008228144384862875,0.9978070175438596,0.9972009378436363,0.0003516569962365585,0.5425,0.55,0.0075,62.303526639938354
9,model.3.conv.weight,row,gaussian,0.14,,1,10,0.1,0.7,1,6,2,1,400,400,0.9974072510854234,0.9952876858497813,0.9986033021284103,0.99759232535637,0.0020025950706713293,0.0017604808235448222,0.0001815953249452829,0.0003562893586808898,1.0,0.9978979963547827,9.981371266277211e-05,0.5425,0.545,0.0025,66.25032806396484
10,model.4.cv1.conv.weight,row,gaussian,0.58,,1,10,0.1,0.7,1,16,2,1,400,400,0.9899252964288554,0.9800235735224925,0.9943863282845484,0.9896927288847419,0.009324415393156586,0.00809464205634161,0.0006951461420921204,0.001662253228857507,0.9868421052631579,0.9930233464598919,0.0003168141144527241,0.5425,0.545,0.0025,67.0500876903534
11,model.4.cv2.weight,row,gaussian,0.05,,1,10,0.1,0.7,1,8,2,1,400,400,0.9989348943198965,0.9976483786730763,0.9994227907154658,0.9988002064093271,0.0007801586613063296,0.0008604577457616981,8.943238790032406e-05,0.0001761179170916744,0.9967105263157895,0.9994032377736611,-5.251641401596237e-05,0.5425,0.54,-0.0025,67.20024704933167
12,model.4.cv3.weight,row,gaussian,0.65,,1,10,0.1,0.7,1,19,2,1,400,400,0.9876796585748144,0.9732470802716869,0.9929589402660749,0.986144810400543,0.010546030466150842,0.010776681789435227,0.0011527353110231092,0.0020682454718748628,0.9813596491228069,0.9922265501869698,0.00021140583303590476,0.5425,0.545,0.0025,61.21017599105835
13,model.4.cv4.conv.weight,row,gaussian,0.48,,1,10,0.1,0.7,1,3,2,1,400,400,0.990146829475863,0.9741176674438473,0.9945355118342997,0.9866009385459964,0.008531270447031674,0.010115736127650989,0.0007801433030518102,0.001926556790236246,0.9879385964912281,0.9911391576196974,0.00014475257717747292,0.5425,0.54,-0.0025,66.18440842628479
14,model.4.m.0.cv1.conv.weight,row,gaussian,0.98,,1,10,0.1,0.7,1,16,2,1,400,400,0.9846180393122336,0.9650131549055477,0.9911011281025712,0.9817424559047293,0.013142757488952439,0.01525136967249037,0.0017060503877479715,0.0031459803194616286,0.975877192982456,0.9877617308497428,0.00015204086899757387,0.5425,0.55,0.0075,60.84888052940369
15,model.4.m.0.cv2.conv.weight,row,gaussian,0.41,,1,10,0.1,0.7,1,10,2,1,400,400,0.9958015009648363,0.989962906003175,0.9976968217615354,0.9948543493621448,0.0032743219618660948,0.003676313651299069,0.0003559952477418036,0.0007988868439685231,0.993421052631579,0.9969514643909124,-9.774094320027768e-05,0.5425,0.545,0.0025,66.00746297836304
16,model.4.m.1.cv1.conv.weight,row,gaussian,0.85,,1,10,0.1,0.7,1,10,2,1,400,400,0.9861766986250938,0.9726042775870919,0.9918866328632098,0.9857801570391745,0.012917037603609724,0.011202224683297218,0.0013644801012466707,0.002449949259710682,0.9890350877192982,0.9933685168885348,0.0009818574446335173,0.5425,0.5475,0.005,64.92437505722046
17,model.4.m.1.cv2.conv.weight,row,gaussian,0.46,,1,10,0.1,0.7,1,13,2,1,400,400,0.9957909560196324,0.9904204149210456,0.9976653298784729,0.9950894855656834,0.0033343911927259683,0.003524414038587492,0.00034017252048044745,0.0008176333294851787,0.9945175438596491,0.9973978973075485,0.0002006510958859795,0.5425,0.545,0.0025,64.04335856437683
18,model.4.m.2.cv1.conv.weight,row,gaussian,0.19,,1,10,0.1,0.7,1,5,2,1,400,400,0.9976400512543739,0.9944382658044045,0.9987027836036424,0.9971547918389128,0.0017393351686471748,0.0022744239414489538,0.00021730937698569687,0.0004724042253168821,1.0,0.9986039385068836,-0.0001843587184945742,0.5425,0.545,0.0025,65.66095471382141
19,model.4.m.2.cv2.conv.weight,row,gaussian,0.08,,1,10,0.1,0.7,1,9,2,1,400,400,0.9993031106958732,0.998455330160408,0.9996256669000297,0.9992120572005477,0.0005085378358998313,0.0005864703723778158,4.568766183668942e-05,0.00012396367840911043,0.9967105263157895,0.9996020267799234,-3.035948203321098e-07,0.5425,0.54,-0.0025,60.78864073753357
20,model.5.conv.weight,row,gaussian,0.51,,1,10,0.1,0.7,1,19,2,1,400,400,0.9976277006550396,0.9958917983439887,0.9987106971342347,0.9979004996547942,0.0018833489624802023,0.0017083982117562981,0.0001872809180290355,0.00037694382277777253,0.993421052631579,0.9987545843775335,0.00032684182454096645,0.5425,0.54,-0.0025,67.4939169883728
21,model.6.cv1.conv.weight,row,gaussian,0.28,,1,10,0.1,0.7,1,2,2,1,400,400,0.9974390114739887,0.9962925042145434,0.9986207399669036,0.998106520862585,0.0018954503670892003,0.0014714592278221939,0.00018445142570551413,0.00032121744757376646,0.9967105263157895,0.9989058308368711,-5.60875459198366e-05,0.5425,0.5425,0.0,67.08082485198975
22,model.6.cv2.weight,row,gaussian,0.35,,1,10,0.1,0.7,1,2,2,1,400,400,0.9976971686702882,0.9969252684334527,0.9987535826305125,0.9984309891999743,0.0019219941836241658,0.0011464757429577154,0.0001370731244277631,0.00024275743948471286,1.0,0.9989703590409799,1.3900920748710632e-05,0.5425,0.5425,0.0,67.115962266922
23,model.6.cv3.weight,row,gaussian,0.23,,1,10,0.1,0.7,1,9,2,1,400,400,0.9979038757931914,0.9966224242795082,0.9988596085890069,0.9982755949787687,0.0015821973721766433,0.0014182340902779795,0.00016543314886960188,0.0002906969873609905,0.9967105263157895,0.9988644963881947,-5.6416923670392264e-05,0.5425,0.545,0.0025,67.30117917060852
24,model.6.cv4.conv.weight,row,gaussian,0.03,,1,10,0.1,0.7,1,5,2,1,400,400,0.9997657124106791,0.9996230093352616,0.9998745907303355,0.9998079205211862,0.0001807437125236339,0.00017177895123617352,1.7213464115501384e-05,4.045875751667696e-05,1.0,0.9998775330094392,-1.257811591290591e-05,0.5425,0.5425,0.0,66.83627223968506
25,model.6.m.0.cv1.conv.weight,row,gaussian,0.45,,1,10,0.1,0.7,1,15,2,1,400,400,0.9960143186051138,0.994987094185307,0.9978354838148374,0.9974375786473538,0.003339256933729559,0.002098972844484057,0.0003039272683656511,0.0004619190442770215,0.9868421052631579,0.9986150018689912,0.00021002119279591981,0.5425,0.5425,0.0,62.38210439682007
26,model.6.m.0.cv2.conv.weight,row,gaussian,0.49,,1,10,0.1,0.7,1,14,2,1,400,400,0.9960772479617952,0.994031145091189,0.9978543682404082,0.9969468234946038,0.003230803051005983,0.002498781903022102,0.00031920738752997703,0.0005846060751637999,1.0,0.9980628022499252,0.00010076245260343219,0.5425,0.545,0.0025,66.1408576965332
