scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.43,,1,10,0.1,0.7,1,20,2,1,400,400,0.982075318684991,0.9563022870806646,0.9894786864930488,0.9770845163608516,0.016214341384636254,0.015223097899081346,0.0015911605447592703,0.0033778756655706986,0.9396929824561402,0.9874262491519422,-0.0010983258999627214,0.5425,0.5425,0.0,59.84494876861572
2,model.1.conv.weight,column,gaussian,0.5,,1,10,0.1,0.7,1,17,2,1,400,400,0.987500611756291,0.9703876405136301,0.9927825554703705,0.9845636259183635,0.013813070963897153,0.011824647552121124,0.0010578903235755708,0.0023071032884981065,0.9660087719298245,0.9913638794848849,-0.0014034085625770109,0.5425,0.5425,0.0,56.28183913230896
3,model.2.cv1.conv.weight,column,gaussian,0.13,,1,10,0.1,0.7,1,4,2,1,400,400,0.9956830838044678,0.9929122867982519,0.9975727038708054,0.9963713690137781,0.0031293781783274578,0.0027076984118226733,0.0004124928640624334,0.0005303913328458632,0.9912280701754386,0.9976355106684199,-0.00012790896978817482,0.5425,0.5375,-0.005,57.66964650154114
4,model.2.cv2.weight,column,gaussian,0.75,,1,10,0.1,0.7,1,10,2,1,400,400,0.9669414299669011,0.9426087559839925,0.9797553648062373,0.9696111068308926,0.03823496836980531,0.02532934548315736,0.0031637147563373068,0.005605214157403908,0.9385964912280701,0.9822240531036298,0.0035772152483191117,0.5425,0.5525,0.01,54.65329170227051
5,model.2.cv3.weight,column,gaussian,0.46,,1,10,0.1,0.7,1,2,2,1,400,400,0.9756409104316611,0.9494373725907167,0.9859903000556539,0.9733887526445838,0.025241387017069385,0.021142494963150328,0.0022992138647654438,0.00437670262321232,0.9495614035087719,0.9828262119344228,-0.0012773426568454451,0.5425,0.5375,-0.005,50.61712837219238
6,model.2.cv4.conv.weight,column,gaussian,0.67,,1,10,0.1,0.7,1,6,2,1,400,400,0.9726273052874173,0.9351584421532267,0.9837225141997841,0.9654163837130182,0.02733269667608543,0.027551412335873483,0.002833014647730533,0.005913945852209367,0.9594298245614034,0.982050555131046,0.0005587287397192628,0.5425,0.5575,0.015,47.03886342048645
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.94,,1,10,0.1,0.7,1,19,2,1,400,400,0.972554733934166,0.9391095173818718,0.9835625108668365,0.9676803730640299,0.03178344967946833,0.025359712182951268,0.002395283390732579,0.00544448356074842,0.9451754385964913,0.9761329319606833,4.0764322762045746e-05,0.5425,0.5575,0.015,47.83177590370178
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.65,,1,10,0.1,0.7,1,16,2,1,400,400,0.9929346246175658,0.9876908142388834,0.9961038662148133,0.9936771840416446,0.006158004670606648,0.004573262863106909,0.0005974076273632609,0.001031359146338412,0.9890350877192982,0.9963618169228237,-0.0003857111983131944,0.5425,0.5375,-0.005,46.80889892578125
9,model.3.conv.weight,column,gaussian,0.99,,1,10,0.1,0.7,1,17,2,1,400,400,0.9922952932684613,0.9860293457554533,0.99571144735384,0.9928203940975109,0.006493370563820191,0.005443363080750451,0.0006544897545438778,0.0011341550848414763,0.9912280701754386,0.9960703546540778,0.0007339351107938248,0.5425,0.5425,0.0,46.367087841033936
10,model.4.cv1.conv.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,9,2,1,400,400,0.9982202393068633,0.9963812952056884,0.999028054730191,0.9981519161964977,0.0014187489850032234,0.0013908063202204663,0.00015212967018935985,0.0002998943752473367,1.0,0.9990529254928492,-6.645645031280686e-05,0.5425,0.5475,0.005,39.55375146865845
