scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.16,,1,10,0.1,0.7,1,5,2,1,400,400,0.9506885017968778,0.8803259317269331,0.9697604978188474,0.9346249578481786,0.05050190535754287,0.04653910017618502,0.005978218526529378,0.010053630175082096,0.8892543859649122,0.9633007671151842,4.763416945934296e-05,0.5425,0.5525,0.01,56.374393701553345
2,model.1.conv.weight,bullet_wake,gaussian,0.47,,1,10,0.1,0.7,1,6,2,1,400,400,0.8694730754474997,0.687342919887455,0.9109121500162999,0.8095339219586709,0.5692170818420225,0.1700516864577367,0.017849334057117548,0.03355113247832154,0.7796052631578947,0.9071514638460646,-0.0025605694437869867,0.5425,0.6525,0.11,57.776164531707764
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.12,,1,10,0.1,0.7,1,1,2,1,400,400,0.9819443062672005,0.9582587077758029,0.9891037082174939,0.9782184304465684,0.017725989418008407,0.014968265252111741,0.0016327037055321035,0.0031704119164736723,0.9572368421052632,0.986853126839206,-0.00018209697225609342,0.5425,0.545,0.0025,56.89407920837402
4,model.2.cv2.weight,bullet_wake,gaussian,0.97,,1,10,0.1,0.7,1,12,2,1,400,400,0.8310490274161214,0.6254002006583284,0.8811289004596776,0.7643848288121764,0.6437030850148285,0.21380336516676374,0.026315475830657714,0.04103573981065743,0.5937499999999999,0.9095967293731749,0.00386605111379472,0.5425,0.5675,0.025,52.37856864929199
5,model.2.cv3.weight,bullet_wake,gaussian,0.2,,1,10,0.1,0.7,1,1,2,1,400,400,0.9576128977249989,0.9000699743888753,0.9721820562636664,0.9460201410416409,0.04658554588025166,0.04199630705857626,0.004386399862730239,0.008550380665034258,0.9369517543859649,0.9640856235538986,-0.0020290402244759476,0.5425,0.5625,0.02,52.37032604217529
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.48,,1,10,0.1,0.7,1,18,2,1,400,400,0.8740991143556087,0.7250961119212063,0.9112619271104974,0.8367865059525303,0.21837483661028373,0.14810417854827446,0.01891039221054768,0.027620410505560668,0.7050438596491228,0.9259366606925168,0.008711176108842516,0.5425,0.5225,-0.02,55.651089906692505
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,1.0,,1,10,0.1,0.7,1,5,2,1,400,400,0.9153242350642415,0.7554603236783615,0.944790597017799,0.8568402070755669,0.13323245274146314,0.1150035936561571,0.010574839672775891,0.024361387263163045,0.7472587719298245,0.9266555452788318,-0.0010358755866055765,0.5425,0.61,0.0675,55.99710941314697
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.4,,1,10,0.1,0.7,1,2,2,1,400,400,0.9614450294300108,0.9059828860515,0.9768070853459966,0.9494281906286018,0.046404267279904515,0.03967116223297942,0.003988794417203498,0.008518637445525485,0.9276315789473685,0.9707860899025992,0.00043311497392175397,0.5425,0.5675,0.025,57.91552543640137
9,model.3.conv.weight,bullet_wake,gaussian,0.73,,1,10,0.1,0.7,1,4,2,1,400,400,0.93300369043976,0.8100881533213774,0.9566166432639903,0.8923058205890183,0.07432404834013716,0.08388250841536397,0.00934592378938154,0.017695132891602145,0.8163377192982456,0.9388528447884779,0.0056345395552806375,0.5425,0.5625,0.02,54.832077980041504
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.21,,1,10,0.1,0.7,1,3,2,1,400,400,0.9808606389846131,0.9528776727457394,0.9889695850296409,0.9753324401289294,0.01785953905005768,0.01975974357540845,0.0019957822455014644,0.004330917500723306,0.9802631578947368,0.9826623874240452,0.0017164376378059384,0.5425,0.565,0.0225,53.2463583946228
