scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.94,,1,10,0.1,0.7,1,16,2,1,400,400,0.6608429895756012,0.401114541960642,0.7337851331067294,0.5691265827636814,0.580712266699198,0.41299642944331544,0.0532317913252195,0.076944825827309,0.4928728070175438,0.8728957900875494,0.035192314417738665,0.5425,0.9975,0.455,67.68791103363037
2,model.1.conv.weight,shattered_glass,gaussian,0.18,,1,10,0.1,0.7,1,18,2,1,400,400,0.9408553653556382,0.8656933311580233,0.9628906885820737,0.9261994183711155,0.12416376493900733,0.06088674799751386,0.006931204348231052,0.012495089787042293,0.9183114035087718,0.9623115187758332,-0.008526615503228906,0.5425,0.5975,0.055,67.0429196357727
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.69,,1,10,0.1,0.7,1,11,2,1,400,400,0.9177327480093115,0.7880591368178598,0.9473949306966861,0.8778989150107516,0.1108032331994988,0.09143948357775812,0.0101669267494754,0.019786818855215462,0.7933114035087719,0.9308668886887208,0.015813259943447646,0.5425,0.57,0.0275,66.0341796875
4,model.2.cv2.weight,shattered_glass,gaussian,0.1,,1,10,0.1,0.7,1,3,2,1,400,400,0.9753670941581075,0.9458919658470082,0.985412843865471,0.9715810360219618,0.02947070756040583,0.02157032522580132,0.0021503998459203237,0.004407596542130985,0.944078947368421,0.9810730954759741,0.003985642570338837,0.5425,0.57,0.0275,65.28690004348755
5,model.2.cv3.weight,shattered_glass,gaussian,0.24,,1,10,0.1,0.7,1,20,2,1,400,400,0.9487644279789036,0.8783968789571523,0.967596758805399,0.9336459638164689,0.09923157043096255,0.05410022835866581,0.005738876684851458,0.010739346235148996,0.930921052631579,0.9596010257327366,0.0017069877376632086,0.5425,0.59,0.0475,65.91016912460327
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.89,,1,10,0.1,0.7,1,9,2,1,400,400,0.7619085366067802,0.5271935852796443,0.825603243485636,0.6801817295917822,0.6229505181888713,0.2874162069447085,0.04346225949537203,0.05401037464760921,0.5400219298245613,0.8880199404926234,0.01943605989729825,0.5425,0.59,0.0475,63.353371381759644
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.76,,1,10,0.1,0.7,1,10,2,1,400,400,0.9177380683373721,0.7985346672576782,0.9459835599391262,0.8850300707966963,0.17416280574935722,0.09572949329937945,0.01036771570570556,0.01882508081141533,0.850328947368421,0.9329422633860996,-0.0069341226548388386,0.5425,0.6075,0.065,68.3006501197815
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.22,,1,10,0.1,0.7,1,14,2,1,400,400,0.9758137477607491,0.9434565873951405,0.9860526581447627,0.97024758587337,0.024695067000351373,0.024887530313700695,0.0025600953025011488,0.004985559983032425,0.9671052631578947,0.9838709983582998,-0.0003099244012928651,0.5425,0.5625,0.02,62.00012469291687
9,model.3.conv.weight,shattered_glass,gaussian,0.81,,1,10,0.1,0.7,1,14,2,1,400,400,0.9198844267496885,0.7955418386016647,0.9469427958095165,0.8832106111837522,0.14651520360047887,0.09120460577554536,0.009692505839117179,0.018550594625728646,0.8256578947368421,0.9337031768452853,0.007121202678309946,0.5425,0.57,0.0275,64.64823246002197
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.76,,1,10,0.1,0.7,1,20,2,1,400,400,0.9388030933496211,0.8453505541703947,0.9600548110328424,0.9140020088030861,0.11750806471681799,0.06676453321518214,0.007450101739559038,0.013891223699781486,0.8936403508771928,0.9428155428157166,-0.0025888244345994064,0.5425,0.59,0.0475,66.47034788131714
