scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.29,,1,10,0.1,0.7,1,3,2,1,331,331,0.9976160786188478,0.9877760540229183,0.9984965713984177,0.993584602491573,0.0017470382636913793,0.0031161112399140435,0.0006490498657581132,0.00066558860669881,0.9984756097560976,0.995190398743361,0.00015402206681608185,1.353474320241692,1.3685800604229608,0.015105740181268883,57.7641761302948
2,model.1.conv.weight,single,gaussian,0.29,,1,10,0.1,0.7,1,16,2,1,331,331,0.9992461807962671,0.9958326360605722,0.9995236347548007,0.9978246964976201,0.0004936489002894673,0.0012242886905570454,0.00017668413643709877,0.00020568152604856906,0.9984756097560976,0.9985508432233237,0.00012050635234369494,1.353474320241692,1.350453172205438,-0.0030211480362537764,59.39906096458435
3,model.2.cv1.conv.weight,single,gaussian,0.63,,1,10,0.1,0.7,1,17,2,1,331,331,0.9974907877706144,0.9859515730259767,0.9984121424163768,0.9926238226783232,0.0017768559080605826,0.003964542969238088,0.0006379576443337334,0.0006419473038470938,0.9961890243902439,0.9924055300713553,6.617858884780385e-05,1.353474320241692,1.3685800604229608,0.015105740181268883,58.474220275878906
4,model.2.cv2.weight,single,gaussian,0.33,,1,10,0.1,0.7,1,5,2,1,331,331,0.9976802874158155,0.9884593212160672,0.9985393139226137,0.9939501024199117,0.001672035076066069,0.0032594744357504687,0.0006028914730014601,0.0006026374098475644,0.9984756097560976,0.9936725323247474,0.00010992895993517664,1.353474320241692,1.3716012084592144,0.01812688821752266,58.289907455444336
5,model.2.cv3.weight,single,gaussian,0.94,,1,10,0.1,0.7,1,11,2,1,331,331,0.984935942593955,0.936244602732824,0.9903174645510396,0.9655110321647432,0.011839905457969913,0.017534529706454204,0.004270494369564837,0.0038339347894661884,0.9897865853658536,0.978519071287256,0.00019828776821372945,1.353474320241692,1.3685800604229608,0.015105740181268883,58.19804620742798
6,model.2.cv4.conv.weight,single,gaussian,0.5,,1,10,0.1,0.7,1,1,2,1,331,331,0.9969027290239291,0.9843695684134147,0.99803482102042,0.9917816227861531,0.0023662962556395117,0.004969884565780335,0.0008587181460890475,0.0008359258800900651,0.9960873983739839,0.992894685229029,-0.00021827993990202263,1.353474320241692,1.3595166163141994,0.006042296072507553,58.75542640686035
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.24,,1,10,0.1,0.7,1,3,2,1,331,331,0.9984060710378213,0.9906313089683483,0.9990002438898086,0.9950939894768922,0.0010022727815186569,0.0025344793681804467,0.0003376187198720788,0.00044100469779962504,0.9978658536585366,0.9965280581386834,0.00032457975837273323,1.353474320241692,1.3595166163141994,0.006042296072507553,58.0567946434021
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.61,,1,10,0.1,0.7,1,1,2,1,331,331,0.9987726058862345,0.9936550011387022,0.9992273253999033,0.9966834117350055,0.0008177644652546716,0.001627188155703216,0.00029190928861601246,0.0003093636113226952,0.9984756097560976,0.9966883372121709,0.00043840593529668277,1.353474320241692,1.3564954682779455,0.0030211480362537764,58.577800035476685
9,model.3.conv.weight,single,gaussian,0.36,,1,10,0.1,0.7,1,11,2,1,331,331,0.9997220830284625,0.9987010268708447,0.9998243284308552,0.9993231046246568,0.00019732027803698543,0.0003948223128088588,7.066573442433602e-05,7.102276028705772e-05,1.0,0.9994724527061954,1.049809824160444e-05,1.353474320241692,1.353474320241692,0.0,58.57161855697632
10,model.4.cv1.conv.weight,single,gaussian,0.36,,1,10,0.1,0.7,1,11,2,1,331,331,0.999316516420468,0.9970600185899947,0.999568371635533,0.9984661468424283,0.0004898334848406175,0.0007818965000115228,0.00018187352857773227,0.00015716268311888256,0.9984756097560976,0.9981789282242942,2.32629387117014e-06,1.353474320241692,1.353474320241692,0.0,59.22951078414917
11,model.4.cv2.weight,single,gaussian,0.69,,1,10,0.1,0.7,1,16,2,1,331,331,0.99846793993286,0.9916064250755197,0.9990267736457599,0.995607265733374,0.0011167870461150486,0.0023562447945269308,0.0004139359811103071,0.00040309532471076995,0.9984756097560976,0.9976251057008417,-3.0036729465170612e-05,1.353474320241692,1.3595166163141994,0.006042296072507553,59.56547832489014
12,model.4.cv3.weight,single,gaussian,0.06,,1,10,0.1,0.7,1,14,2,1,331,331,0.9997806200125118,0.9990724321898261,0.9998620565160377,0.9995168541285969,0.00015696756929760514,0.000290929462061121,5.7880838311995635e-05,5.611356317938294e-05,1.0,0.9995530138927988,1.6748717403024193e-05,1.353474320241692,1.353474320241692,0.0,59.18008065223694
13,model.4.cv4.conv.weight,single,gaussian,0.45,,1,10,0.1,0.7,1,3,2,1,331,331,0.998917331937172,0.9935143380793733,0.9993124771425688,0.9966102883819767,0.0007655404989805864,0.0020864364190429593,0.00027068878267951543,0.0003439811776742427,1.0,0.9972994369129098,-4.152768571686939e-05,1.353474320241692,1.353474320241692,0.0,59.072521924972534
14,model.4.m.0.cv1.conv.weight,single,gaussian,0.8,,1,10,0.1,0.7,1,19,2,1,331,331,0.9983558798030433,0.990543746298289,0.9989596292611177,0.9950462047249349,0.0011303344165537964,0.0029005569931477046,0.00041137712758481905,0.0005332120086614865,0.9969512195121951,0.9950544829533353,0.0003089658067962988,1.353474320241692,1.3564954682779455,0.0030211480362537764,58.33529591560364
