scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.9,,1,10,0.1,0.7,1,10,2,1,331,331,0.987445026436277,0.9399571780049807,0.9919552472562101,0.9674664836130374,0.01022612532276314,0.016412591014057686,0.0036419687771950793,0.003186127098799502,0.980691056910569,0.979581651653597,-0.0010717019514692424,1.353474320241692,1.338368580060423,-0.015105740181268883,62.05716347694397
2,model.1.conv.weight,row,gaussian,0.93,,1,10,0.1,0.7,1,1,2,1,331,331,0.9923396029335483,0.9611986945374932,0.9951395305192284,0.9793270442482204,0.005700606813406896,0.01240910887192943,0.002093002291026042,0.002206569646301931,0.9908536585365854,0.9833203858052327,-0.0012686664344576317,1.353474320241692,1.3776435045317221,0.02416918429003021,63.35943675041199
3,model.2.cv1.conv.weight,row,gaussian,0.57,,1,10,0.1,0.7,1,10,2,1,331,331,0.9972202739506526,0.9838462150815491,0.9982399703577315,0.9915095328388837,0.0018832589609144616,0.004316134279926437,0.0006845556464648399,0.0007842885699455309,0.9939024390243902,0.9912545126809821,-0.00020244530424839117,1.353474320241692,1.353474320241692,0.0,62.4110381603241
4,model.2.cv2.weight,row,gaussian,0.52,,1,10,0.1,0.7,1,6,2,1,331,331,0.9960033558701521,0.9768210177003069,0.9974799370685857,0.9877576671071089,0.0026773972075878733,0.006988380215102448,0.0009432664855848244,0.00120358777427196,0.9939024390243902,0.9904429810552664,0.0008491702248683155,1.353474320241692,1.3625377643504533,0.00906344410876133,59.50307846069336
5,model.2.cv3.weight,row,gaussian,0.1,,1,10,0.1,0.7,1,16,2,1,331,331,0.9986835645210157,0.9931512482703224,0.9991688308397906,0.9964185796371361,0.0009002012689514155,0.0020461302529981252,0.00031743412888864136,0.00037314713936184297,0.9984756097560976,0.99720843959206,5.577941523577139e-05,1.353474320241692,1.3564954682779455,0.0030211480362537764,64.01794505119324
6,model.2.cv4.conv.weight,row,gaussian,0.91,,1,10,0.1,0.7,1,9,2,1,331,331,0.9926162668853937,0.9623638084128547,0.9953153598997868,0.979939496489575,0.005675153347433122,0.012473483540491433,0.0021654611767767187,0.002131380915178084,0.9890752032520326,0.983040366588327,0.00031662123292926854,1.353474320241692,1.3746223564954683,0.021148036253776436,56.718523263931274
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.64,,1,10,0.1,0.7,1,20,2,1,331,331,0.9963956171777225,0.9788268380528506,0.9977212113402313,0.9888222453340937,0.0024882413266793767,0.0062801001896349755,0.0008756744737795497,0.0010849578024042796,0.9944105691056909,0.9889605810850616,1.1491221262187509e-05,1.353474320241692,1.3595166163141994,0.006042296072507553,62.68857979774475
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.68,,1,10,0.1,0.7,1,13,2,1,331,331,0.9965692849342631,0.9806325965804895,0.9978301525477178,0.9898031216912431,0.002337620280665486,0.005093080563155501,0.0008413482602117833,0.0009897739435437204,0.9977134146341463,0.9926906341459693,2.9534643621948688e-05,1.353474320241692,1.353474320241692,0.0,60.85813069343567
9,model.3.conv.weight,row,gaussian,0.52,,1,10,0.1,0.7,1,14,2,1,331,331,0.9984201621179821,0.991796518369757,0.9989959438108025,0.995709407750417,0.0011726289614850032,0.002353745327647357,0.00041209386660596357,0.00044339224627685256,0.9984756097560976,0.9961160075828068,7.753791817562368e-05,1.353474320241692,1.3564954682779455,0.0030211480362537764,64.05777764320374
10,model.4.cv1.conv.weight,row,gaussian,0.86,,1,10,0.1,0.7,1,9,2,1,331,331,0.9974904135549059,0.9867995104760329,0.9984151556666903,0.9930731856624154,0.0017824472712407943,0.0036266492370911627,0.0006576400882091519,0.0006728801810596719,0.9969512195121951,0.992263938341199,0.0002684712349399319,1.353474320241692,1.3746223564954683,0.021148036253776436,63.657333850860596
11,model.4.cv2.weight,row,gaussian,0.57,,1,10,0.1,0.7,1,16,2,1,331,331,0.9980518195485979,0.986946841595726,0.9987686026487749,0.9931530135141966,0.0013222664762498788,0.004131477070505468,0.0004851484316336582,0.0006660683263268211,0.9984756097560976,0.9957031976704189,0.00017801797910919036,1.353474320241692,1.3564954682779455,0.0030211480362537764,62.98834729194641
