scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.7,,1,10,0.1,0.7,1,3,2,1,331,331,0.9933303712394173,0.9695310197883495,0.9957765440373966,0.9837940443740266,0.0052751625047440095,0.006948398522548921,0.0019385374931269316,0.0013964238540489853,0.9944105691056911,0.9886375611875114,0.00039806224829782314,1.353474320241692,1.3746223564954683,0.021148036253776436,54.4942684173584
2,model.1.conv.weight,column,gaussian,0.12,,1,10,0.1,0.7,1,8,2,1,331,331,0.9995677710491728,0.9976659228430131,0.9997275775293877,0.9987829664981678,0.00028902590889685247,0.0007361513263677587,0.00010235791578753037,0.00011978811804742497,1.0,0.999145905455438,0.0003103034873682309,1.353474320241692,1.353474320241692,0.0,52.31526565551758
3,model.2.cv1.conv.weight,column,gaussian,0.05,,1,10,0.1,0.7,1,10,2,1,331,331,0.9998112571459877,0.9989370367200404,0.999881374677793,0.9994461372369373,0.00011806942239936089,0.00031517072592448906,3.975842058481703e-05,5.3683088537722104e-05,1.0,0.9996051648616548,7.419444136018675e-06,1.353474320241692,1.353474320241692,0.0,53.97334170341492
4,model.2.cv2.weight,column,gaussian,0.55,,1,10,0.1,0.7,1,2,2,1,331,331,0.9969541032766827,0.9816033727509474,0.9980819197549436,0.9903112734643224,0.0021260617216181223,0.00602829007684511,0.0007543884693988713,0.0009714451079999262,0.9972560975609757,0.9902236365932761,-0.00023698994541555883,1.353474320241692,1.3625377643504533,0.00906344410876133,52.7777042388916
5,model.2.cv3.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,1,2,1,331,331,0.9940795229192328,0.9723314525147553,0.9962585819761891,0.9853406942196893,0.004502382662159009,0.007431384742966937,0.0015958858249756197,0.0015047529007231597,0.9832317073170732,0.9895419812062279,-0.00016231906194628384,1.353474320241692,1.353474320241692,0.0,55.60127782821655
6,model.2.cv4.conv.weight,column,gaussian,0.17,,1,10,0.1,0.7,1,13,2,1,331,331,0.9982180853922165,0.9921440073060813,0.9988744761405506,0.9958880581451238,0.001345780606805986,0.0023816254788762126,0.0004789656781621368,0.0004238548117262465,0.9969512195121951,0.9958717166499153,-8.707881064676656e-05,1.353474320241692,1.350453172205438,-0.0030211480362537764,52.47610330581665
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,11,2,1,331,331,0.9991507787166181,0.9948621875723503,0.9994656036382265,0.9973165800308426,0.00054688111016025,0.0015443445205063308,0.00018242379368306052,0.0002628782877125908,0.9984756097560976,0.9971911527579879,9.361143882681684e-05,1.353474320241692,1.350453172205438,-0.0030211480362537764,61.72889852523804
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.09,,1,10,0.1,0.7,1,10,2,1,331,331,0.9998479724448656,0.9990576843173289,0.9999043548604506,0.9995091348879781,9.569528281755158e-05,0.0002784767005700431,3.3009296141859626e-05,5.5015272895623024e-05,1.0,0.9997665825080339,-1.9665450100007096e-05,1.353474320241692,1.353474320241692,0.0,63.290223598480225
9,model.3.conv.weight,column,gaussian,0.42,,1,10,0.1,0.7,1,2,2,1,331,331,0.999495766230063,0.9970634063312671,0.9996819589558208,0.9984683053265986,0.0003307233687595152,0.0008011769376376611,0.00011857476975212343,0.00014657578016150487,0.9984756097560976,0.999170221291422,-2.1179892667909946e-05,1.353474320241692,1.353474320241692,0.0,64.39888215065002
10,model.4.cv1.conv.weight,column,gaussian,0.33,,1,10,0.1,0.7,1,15,2,1,331,331,0.9992276823319812,0.9963370070748848,0.9995140853946151,0.998088793807969,0.0005510651707537798,0.00102578825747242,0.0002011624624285197,0.00019032389361836724,1.0,0.9974422865009648,5.791583136329806e-05,1.353474320241692,1.3625377643504533,0.00906344410876133,62.59223508834839
