scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.13,,1,10,0.1,0.7,1,15,2,1,331,331,0.9903812714956518,0.953396560638973,0.9938489969578315,0.9750668116810489,0.007148487206011888,0.011892489014094895,0.0027305434501768405,0.0024553597757890782,0.9849085365853659,0.9842840366943824,-8.070147104137314e-05,1.353474320241692,1.3685800604229608,0.015105740181268883,55.94357490539551
2,model.1.conv.weight,bullet_wake,gaussian,1.0,,1,10,0.1,0.7,1,15,2,1,331,331,0.9257062241011086,0.6292281133729335,0.9501687043928588,0.768137180920521,0.057417327931299576,0.26151546654634955,0.018064428509283057,0.048788658758628985,0.9238821138211382,0.8845931542762222,0.005310407497837574,1.353474320241692,1.5861027190332326,0.2326283987915408,55.94186472892761
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.72,,1,10,0.1,0.7,1,4,2,1,331,331,0.9806082182583986,0.896291923190354,0.9875114438616753,0.9428053303848485,0.014531443554362904,0.03102960002848471,0.00522084978630253,0.006797580410039303,0.9535569105691056,0.9560422249475625,0.000898272626929813,1.353474320241692,1.3595166163141994,0.006042296072507553,56.25840187072754
4,model.2.cv2.weight,bullet_wake,gaussian,0.3,,1,10,0.1,0.7,1,17,2,1,331,331,0.9871196501785957,0.9356536828236479,0.9917733521271656,0.9653013261507714,0.009576253098353934,0.021212062106256008,0.0035388463789486806,0.0036318155931344405,0.9696646341463415,0.9725244081063018,-0.001171587556905298,1.353474320241692,1.3262839879154078,-0.027190332326283987,56.13222122192383
5,model.2.cv3.weight,bullet_wake,gaussian,1.0,,1,10,0.1,0.7,1,12,2,1,331,331,0.8573975027782984,0.6447138504618752,0.899446488555817,0.7746587481557402,0.11940763137702834,0.2173124285831307,0.03219567711955675,0.038850918432731446,0.9317581300813008,0.9226257814758125,0.0006883949383922008,1.353474320241692,1.4712990936555892,0.11782477341389729,55.865652322769165
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.05,,1,10,0.1,0.7,1,12,2,1,331,331,0.9968259197340507,0.9835372522398117,0.9979961570293937,0.9913511832853278,0.002313885944600798,0.005309132661073961,0.0008415023006466105,0.000876388330633908,0.9969512195121951,0.9928471191869518,0.0003930999011528201,1.353474320241692,1.3716012084592144,0.01812688821752266,56.2156343460083
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.77,,1,10,0.1,0.7,1,3,2,1,331,331,0.9715146784703775,0.8567469917124597,0.9815089579353354,0.9189809265641542,0.02275095377997378,0.04794124185047384,0.007898839537328346,0.011563389968647444,0.9674288617886179,0.9571690214883297,0.0020489521499316866,1.353474320241692,1.3836858006042296,0.030211480362537766,55.57945227622986
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.29,,1,10,0.1,0.7,1,5,2,1,331,331,0.9930842671885985,0.961422450591612,0.9956218597396878,0.9794799436741215,0.004910258439676379,0.01049653110999347,0.0017945122866647484,0.002079538803411347,0.9946646341463414,0.9857778130265754,7.124357531225779e-05,1.353474320241692,1.365558912386707,0.012084592145015106,56.476736545562744
9,model.3.conv.weight,bullet_wake,gaussian,0.65,,1,10,0.1,0.7,1,10,2,1,331,331,0.9787209900511499,0.9080562462720397,0.986300890334041,0.9497683643401071,0.018035425867498175,0.03198203398512395,0.006495974560244242,0.005401264030346167,0.9648882113821139,0.96728659480046,-7.491203454824595e-06,1.353474320241692,1.3413897280966767,-0.012084592145015106,53.65904521942139
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.02,,1,10,0.1,0.7,1,6,2,1,331,331,0.9995496190624937,0.9978521354422322,0.9997152098074509,0.9988803590496256,0.00030711466159222115,0.0006222337424421383,0.00011333585934231151,0.00012033159427122825,1.0,0.9979649879825794,4.6583626994757143e-05,1.353474320241692,1.3564954682779455,0.0030211480362537764,55.52203297615051
