scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.13,,1,10,0.1,0.7,1,18,2,1,331,331,0.9987345020004997,0.9943372258239562,0.999195046042856,0.9970401510878952,0.0009163066053490278,0.0013474363635343585,0.0003344291614537672,0.00026909906104278966,0.9984756097560976,0.9973735938802725,0.00032987945175510115,1.353474320241692,1.3595166163141994,0.006042296072507553,42.708664417266846
2,model.1.conv.weight,column,gaussian,0.37,,1,10,0.1,0.7,1,8,2,1,331,331,0.998712019716842,0.9929024276448832,0.9991878335509291,0.99628889741657,0.0008764263234485079,0.0021700492084081734,0.00031148633752707533,0.0003401366646599576,0.9984756097560976,0.9968529568879101,0.00032510536957562456,1.353474320241692,1.353474320241692,0.0,41.687002658843994
3,model.2.cv1.conv.weight,column,gaussian,0.34,,1,10,0.1,0.7,1,8,2,1,331,331,0.9986184328231973,0.992825876145311,0.9991260258876088,0.996247897355228,0.0009670800343279234,0.001925835652109771,0.00035231981574818116,0.00032160569254691303,1.0,0.9957908016425081,0.00010534747829282187,1.353474320241692,1.3625377643504533,0.00906344410876133,43.74817085266113
4,model.2.cv2.weight,column,gaussian,0.51,,1,10,0.1,0.7,1,12,2,1,331,331,0.9966650961900779,0.9830654256499791,0.9978956867530614,0.991086560096978,0.0024557121017826007,0.005255567170878332,0.0009295908795192068,0.0009373240950613992,0.9923780487804879,0.9922118151710424,0.0001296038474511663,1.353474320241692,1.353474320241692,0.0,41.83273983001709
5,model.2.cv3.weight,column,gaussian,0.53,,1,10,0.1,0.7,1,18,2,1,331,331,0.992500523338725,0.9655753619651621,0.9952438242407888,0.9816869533701651,0.005662837664644657,0.009647599701106638,0.002042078177917533,0.0018940309808434313,0.9909044715447154,0.9873585521387375,0.00013856997153138733,1.353474320241692,1.3595166163141994,0.006042296072507553,43.640427350997925
6,model.2.cv4.conv.weight,column,gaussian,0.89,,1,10,0.1,0.7,1,2,2,1,331,331,0.992475706788419,0.960907486163723,0.9952334195813916,0.9791448803243747,0.0058874449740919385,0.01295113072342222,0.0020966584062187335,0.0023244906289802934,0.989329268292683,0.9814347164659966,-0.001104786798236816,1.353474320241692,1.3746223564954683,0.021148036253776436,43.91793370246887
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.31,,1,10,0.1,0.7,1,18,2,1,331,331,0.9982355457242429,0.9890392417012384,0.9988842513721042,0.994252399172213,0.0010880221224560881,0.0032876921810728586,0.0003850899212552873,0.0004877242009979896,0.9969512195121951,0.9957914650500789,0.00034144796976229037,1.353474320241692,1.3595166163141994,0.006042296072507553,46.738840103149414
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.27,,1,10,0.1,0.7,1,12,2,1,331,331,0.9995511152207259,0.9972539708311077,0.9997173742420646,0.9985678183862219,0.00027359257154742854,0.0007287836951158134,9.134065302845731e-05,0.0001427654481939826,0.9984756097560976,0.9987779007724872,-5.999125873412543e-05,1.353474320241692,1.353474320241692,0.0,43.4698371887207
9,model.3.conv.weight,column,gaussian,0.71,,1,10,0.1,0.7,1,6,2,1,331,331,0.9991711277762566,0.9950173867038263,0.9994783345459912,0.9973984509522266,0.0005483139267786595,0.0014203298958768407,0.0001968763004459625,0.0002688607062278871,1.0,0.9973984124547823,-1.7264011369003513e-05,1.353474320241692,1.353474320241692,0.0,42.4904100894928
10,model.4.cv1.conv.weight,column,gaussian,0.77,,1,10,0.1,0.7,1,4,2,1,331,331,0.99835288129434,0.9915048502148709,0.9989638292030378,0.9955547025792761,0.0011578553789893613,0.0024831808680288473,0.00042071690706662295,0.0004514675678129128,0.9984756097560976,0.9948654909444049,0.00013473468673665348,1.353474320241692,1.3625377643504533,0.00906344410876133,42.29930353164673
11,model.4.cv2.weight,column,gaussian,0.58,,1,10,0.1,0.7,1,10,2,1,331,331,0.9981419173940109,0.990447493114044,0.9988220838550957,0.9949980896654084,0.0014036178949521046,0.002711512769407507,0.0005240088984188451,0.0004989160806874875,0.9984756097560976,0.997513643140352,-0.00015884903903172267,1.353474320241692,1.3595166163141994,0.006042296072507553,41.016032695770264
12,model.4.cv3.weight,column,gaussian,0.86,,1,10,0.1,0.7,1,14,2,1,331,331,0.9964772981663604,0.9831051205320227,0.9977686625544335,0.9911156287442998,0.002661367079758367,0.004852938007912851,0.0009549524738621604,0.0009506166006464802,0.9969512195121951,0.9911604941497002,0.00013446030244836964,1.353474320241692,1.365558912386707,0.012084592145015106,43.61080074310303
13,model.4.cv4.conv.weight,column,gaussian,0.43,,1,10,0.1,0.7,1,3,2,1,331,331,0.9982342113916662,0.9887667410352475,0.9988791604377503,0.9941131467765828,0.001259251790508623,0.0031950017249890886,0.00044436037613306456,0.0005583286234850145,0.9954268292682927,0.9957270063066144,5.5132292937941665e-05,1.353474320241692,1.3444108761329305,-0.00906344410876133,43.55407905578613
