scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.05,,1,10,0.1,0.7,1,1,2,1,331,331,0.9964651815818426,0.9821414996994502,0.9977537362751385,0.9906059868130975,0.0025685644095150527,0.004167309799009836,0.000955518845746213,0.0009033642179070927,0.9951727642276423,0.9924561365287962,-0.00021950729130729426,1.353474320241692,1.353474320241692,0.0,42.332828998565674
2,model.1.conv.weight,bullet_wake,gaussian,0.44,,1,10,0.1,0.7,1,3,2,1,331,331,0.9741794332915122,0.8747828797592277,0.9834038203687101,0.930241397029437,0.020347500982927914,0.042744173535795085,0.0070985323471506245,0.008226610225901829,0.9700203252032519,0.9567214684374249,-0.000678711855338395,1.353474320241692,1.4138972809667674,0.06042296072507553,42.07923436164856
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.55,,1,10,0.1,0.7,1,3,2,1,331,331,0.9865772248839901,0.9226648941587864,0.9914238598410323,0.9579806130781616,0.009525872629618534,0.021651203965391733,0.0034908051063101213,0.00450795496014727,0.9730691056910568,0.9636029955322467,0.0012271263274942334,1.353474320241692,1.3564954682779455,0.0030211480362537764,41.56592869758606
4,model.2.cv2.weight,bullet_wake,gaussian,0.27,,1,10,0.1,0.7,1,15,2,1,331,331,0.988433048495063,0.9418870553006642,0.992616205045644,0.9687650239310804,0.008728555786974252,0.017922095678247825,0.0032215626413517537,0.0030345871549296755,0.9699186991869918,0.9749145475359051,-0.0005462545528246094,1.353474320241692,1.3323262839879153,-0.021148036253776436,41.011223793029785
5,model.2.cv3.weight,bullet_wake,gaussian,0.86,,1,10,0.1,0.7,1,4,2,1,331,331,0.8973372876215377,0.7028857034535808,0.928619644391479,0.8171074602863246,0.08354100612619123,0.15872783253317901,0.025343634714648712,0.030177558172416772,0.9391260162601625,0.9314501841045633,0.002645691817445594,1.353474320241692,1.4410876132930515,0.08761329305135952,41.228161573410034
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.6,,1,10,0.1,0.7,1,9,2,1,331,331,0.9548117803526217,0.825034113570644,0.9702036374017003,0.9002026032483619,0.03731499300196538,0.07431991720305005,0.011678342515094184,0.012321236912983867,0.9238821138211382,0.9434582725788155,0.00036929983956118415,1.353474320241692,1.3172205438066464,-0.03625377643504532,40.81294846534729
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.83,,1,10,0.1,0.7,1,20,2,1,331,331,0.966594219391632,0.8494581968364088,0.9782909827400417,0.9144899220000348,0.027640760593420386,0.05265714243584935,0.00895400543122613,0.01123888051055252,0.9564532520325204,0.9579109984178287,0.002357564688595408,1.353474320241692,1.3716012084592144,0.01812688821752266,41.543248653411865
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.39,,1,10,0.1,0.7,1,14,2,1,331,331,0.9899143624373624,0.9465757322453072,0.9935977249189105,0.9713543949929209,0.0074085295613916845,0.015163806452773928,0.0027025721170400785,0.0028221051078801316,0.9806910569105691,0.9808813359230332,0.00012505681297774206,1.353474320241692,1.3595166163141994,0.006042296072507553,41.341352701187134
9,model.3.conv.weight,bullet_wake,gaussian,0.27,,1,10,0.1,0.7,1,14,2,1,331,331,0.9916493344800436,0.9601469205190367,0.994685621583165,0.9788125057181425,0.006720194123919577,0.013290887604765584,0.0024477185162370546,0.0021773830608380353,0.9916158536585366,0.9834335859337108,0.0005746209293330481,1.353474320241692,1.3716012084592144,0.01812688821752266,42.14988374710083
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.47,,1,10,0.1,0.7,1,16,2,1,331,331,0.9905546199049011,0.9538311178298431,0.9939896292410308,0.975366170643491,0.0072791088634543205,0.013549233692935175,0.002713275459306208,0.002392722374205787,0.9822154471544716,0.976194007076125,-1.7027166845364616e-05,1.353474320241692,1.3806646525679758,0.027190332326283987,41.88916850090027
