scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.44,,1,10,0.1,0.7,1,8,2,1,331,331,0.9558968834229143,0.8343941119523647,0.9711464370688522,0.9052781396789128,0.03926149566735931,0.05998334335016254,0.013306809277555998,0.012386993054645754,0.9541158536585366,0.9517194022212112,-0.0008714856008996168,1.353474320241692,1.3413897280966767,-0.012084592145015106,40.97603130340576
2,model.1.conv.weight,shattered_glass,gaussian,0.85,,1,10,0.1,0.7,1,4,2,1,331,331,0.9392472760261591,0.7016336249160374,0.9599408492862054,0.8199862349911444,0.04647725631971708,0.18662406096238696,0.016397322151032383,0.03538541497651606,0.9296747967479675,0.906008863056715,0.002154365586761148,1.353474320241692,1.5438066465256797,0.1903323262839879,40.52324342727661
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.98,,1,10,0.1,0.7,1,17,2,1,331,331,0.9745661707213865,0.8435939444059092,0.9836196594336517,0.9114637648938759,0.01840890052678637,0.05718136670572463,0.006380598114929523,0.01276787261770719,0.9484247967479676,0.9457767818575709,0.003998108633705884,1.353474320241692,1.3836858006042296,0.030211480362537766,39.983678579330444
4,model.2.cv2.weight,shattered_glass,gaussian,0.77,,1,10,0.1,0.7,1,18,2,1,331,331,0.9669719771073478,0.8390845547300859,0.9787618281909054,0.9086352128586124,0.02591898722296095,0.06065563455075637,0.009229449147891809,0.011783855658556186,0.9439024390243903,0.9382261243626585,0.0020592245790693495,1.353474320241692,1.3474320241691844,-0.006042296072507553,40.66211223602295
5,model.2.cv3.weight,shattered_glass,gaussian,0.72,,1,10,0.1,0.7,1,1,2,1,331,331,0.9189423104329868,0.7554547214739409,0.9450694800992335,0.8534957265227079,0.06648625364406001,0.1159025224392334,0.02156592637100103,0.021727431974681004,0.9350609756097562,0.9372088115670145,0.004422624327976498,1.353474320241692,1.447129909365559,0.09365558912386707,40.44542336463928
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.97,,1,10,0.1,0.7,1,9,2,1,331,331,0.8851578195896185,0.7056115730532226,0.9195331247060233,0.8201371106770529,0.09614293973121539,0.156679487716838,0.02482941162637208,0.026104834653092435,0.9118394308943089,0.9157526049307522,0.002442194049634904,1.353474320241692,1.4018126888217524,0.04833836858006042,41.019784450531006
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.32,,1,10,0.1,0.7,1,14,2,1,331,331,0.9909811782214093,0.9456579203754039,0.994273368985044,0.9708471040390315,0.006139424396033139,0.01579330395621055,0.0020948029910998717,0.002809383179948184,0.984959349593496,0.9805247567866634,-0.0011856019481774267,1.353474320241692,1.3595166163141994,0.006042296072507553,40.21164345741272
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.18,,1,10,0.1,0.7,1,4,2,1,331,331,0.9959061086688812,0.9742106531222113,0.9974154006493616,0.9863819643923372,0.0026431344858319356,0.007400162581163508,0.0009211472043746977,0.0014288226789529214,0.9946646341463414,0.9910616224616523,0.00043066581635455774,1.353474320241692,1.3625377643504533,0.00906344410876133,40.125707387924194
9,model.3.conv.weight,shattered_glass,gaussian,0.25,,1,10,0.1,0.7,1,1,2,1,331,331,0.9932423013946965,0.9641640897620603,0.995708983350303,0.980990239782618,0.005116788730754667,0.011533894955401636,0.0019077861610656574,0.0020401357415857713,0.9904979674796748,0.9830487930841523,1.2213544621987716e-05,1.353474320241692,1.3625377643504533,0.00906344410876133,40.95078682899475
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.9,,1,10,0.1,0.7,1,11,2,1,331,331,0.980228010206677,0.9064337577293838,0.9872745037835315,0.9488415579751498,0.015410823486059285,0.03131359624383141,0.005926076268403658,0.006127889222154976,0.9645833333333333,0.9574379229698426,-0.0001503044978166238,1.353474320241692,1.3987915407854985,0.045317220543806644,40.53347134590149
