scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.43,,1,10,0.1,0.7,1,1,2,1,668,668,0.9861887569109499,0.9857126282703293,0.9904894982325556,0.9925826180398324,0.009513075885085516,0.004425722375654885,0.003284847956401605,0.0006107688108724149,0.99750499001996,0.9944641632055808,0.00017213572314875333,1.465568862275449,1.467065868263473,0.0014970059880239522,96.88820767402649
2,model.1.conv.weight,single,gaussian,0.52,,1,10,0.1,0.7,1,7,2,1,668,668,0.9925951371713958,0.9921934756070167,0.9949132441016849,0.995963172968678,0.0044631498842733364,0.002849156827076128,0.0016765082772987822,0.0003906546440026494,0.999251497005988,0.9976794054943644,-3.584316688145468e-06,1.465568862275449,1.468562874251497,0.0029940119760479044,100.29224944114685
3,model.2.cv1.conv.weight,single,gaussian,0.98,,1,10,0.1,0.7,1,13,2,1,668,668,0.9823706589898009,0.9780054168857826,0.987813753479881,0.9885308619820816,0.010719029341303808,0.007866959714079124,0.004082103555350725,0.001062096968615589,0.9947604790419161,0.9924538752246285,0.0001768276928189748,1.465568862275449,1.468562874251497,0.0029940119760479044,91.05329895019531
4,model.2.cv2.weight,single,gaussian,0.99,,1,10,0.1,0.7,1,20,2,1,668,668,0.9713021040221032,0.9613413636290995,0.9800664952752278,0.9796122116004815,0.01833197160461455,0.015024220846171749,0.006556144579219798,0.002279763078783413,0.997255489021956,0.989091161750034,1.4209751775878632e-05,1.465568862275449,1.467065868263473,0.0014970059880239522,91.15916061401367
5,model.2.cv3.weight,single,gaussian,0.7,,1,10,0.1,0.7,1,13,2,1,668,668,0.9495415717222857,0.930073420670702,0.964670846985259,0.962435592426811,0.03429625981380315,0.030716352021894055,0.011717452908966464,0.004988374191386369,0.9942614770459083,0.9852836867292484,-3.5670242028797946e-05,1.465568862275449,1.471556886227545,0.005988023952095809,98.13106870651245
6,model.2.cv4.conv.weight,single,gaussian,0.71,,1,10,0.1,0.7,1,17,2,1,668,668,0.9826961563552629,0.9787336672329617,0.9880184682297435,0.9888787474097983,0.01155845017090317,0.008323831453332554,0.004031162527102844,0.0011331687341187568,0.996756487025948,0.9934599011273916,-4.1359905413762764e-05,1.465568862275449,1.4625748502994012,-0.0029940119760479044,102.56909322738647
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.79,,1,10,0.1,0.7,1,16,2,1,668,668,0.9711936159529583,0.9633020445692754,0.9799897547431464,0.980667599419562,0.01815123530752634,0.01411597679291917,0.006847570056719449,0.0020033745288084727,0.9940119760479041,0.9902744602984535,0.00014697171435384694,1.465568862275449,1.4595808383233533,-0.005988023952095809,98.79207253456116
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.31,,1,10,0.1,0.7,1,9,2,1,668,668,0.996355968227239,0.9958697592549484,0.9974925993857797,0.9978686793788183,0.002138595326426742,0.0014299844180622199,0.0007633533429735223,0.0002226386815682707,0.99875249500998,0.9987735675421067,1.7389290763470463e-05,1.465568862275449,1.465568862275449,0.0,101.21883463859558
9,model.3.conv.weight,single,gaussian,0.55,,1,10,0.1,0.7,1,4,2,1,668,668,0.9985129001409566,0.9981556002280162,0.998980435839456,0.9990492063486,0.0008168655975003787,0.0006171037581335773,0.0002873428833992931,8.656399157889284e-05,1.0,0.9994978137805076,7.545846902919624e-06,1.465568862275449,1.468562874251497,0.0029940119760479044,99.67890000343323
10,model.4.cv1.conv.weight,single,gaussian,0.83,,1,10,0.1,0.7,1,11,2,1,668,668,0.9953904041694625,0.9935386123167488,0.9968392430547822,0.9966612178918139,0.002612872491925913,0.0021934283582832692,0.0009665698483927663,0.00027271990215558693,0.998003992015968,0.9973799396982924,-7.131257040533952e-05,1.465568862275449,1.470059880239521,0.004491017964071856,93.20769739151001
