scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.5,,1,10,0.1,0.7,1,17,2,1,668,668,0.9736011611523835,0.9720368767397187,0.9816347225802238,0.9853474518038221,0.019339898064665347,0.009032964416082914,0.006688889438989067,0.001243439521575309,0.9932634730538922,0.9891476186360427,0.00028552496415412356,1.465568862275449,1.464071856287425,-0.0014970059880239522,90.95918226242065
2,model.1.conv.weight,row,gaussian,0.84,,1,10,0.1,0.7,1,12,2,1,668,668,0.9659097559110322,0.9621092933673836,0.9762552755019935,0.9800532827124265,0.02254092895767307,0.014289203141454383,0.008090937815308676,0.001991610876844122,0.9927644710578841,0.9887716120291137,0.00011276393504199868,1.465568862275449,1.465568862275449,0.0,95.31005573272705
3,model.2.cv1.conv.weight,row,gaussian,0.93,,1,10,0.1,0.7,1,10,2,1,668,668,0.9788824437527421,0.973148255822849,0.9853979995666217,0.9859597878141266,0.013197703798452615,0.009614836874116761,0.005013967431657979,0.0012904623683889103,0.9950099800399201,0.9904742996671243,0.0002591058225212935,1.465568862275449,1.465568862275449,0.0,96.06167769432068
4,model.2.cv2.weight,row,gaussian,0.62,,1,10,0.1,0.7,1,3,2,1,668,668,0.9749616710899438,0.9682730852977718,0.9826258589725819,0.9833246214303569,0.0163157617405595,0.011771791957982091,0.005908541376746157,0.0017097523402915741,0.997255489021956,0.9911712237490627,0.00013747046926540293,1.465568862275449,1.473053892215569,0.0074850299401197605,87.03399872779846
5,model.2.cv3.weight,row,gaussian,0.73,,1,10,0.1,0.7,1,20,2,1,668,668,0.9543549957751721,0.9369605517970825,0.9680524996243939,0.9661890158072349,0.030423009782395285,0.026461082911577637,0.010361037064966135,0.004368368803037166,0.9947604790419161,0.986186407789023,-4.872035777973323e-05,1.465568862275449,1.465568862275449,0.0,86.22358179092407
6,model.2.cv4.conv.weight,row,gaussian,0.9,,1,10,0.1,0.7,1,8,2,1,668,668,0.971189307347065,0.96128478177216,0.9798993260280214,0.9794705556289695,0.019604096357164293,0.016199239023503877,0.006964992049284087,0.0021454220691618487,0.9932634730538922,0.988277558319107,-0.0001066834730897359,1.465568862275449,1.4565868263473054,-0.008982035928143712,95.13660478591919
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.82,,1,10,0.1,0.7,1,19,2,1,668,668,0.9749283037671477,0.9688470510721772,0.9825982190930699,0.983595406513688,0.016107209100219188,0.012067467910905563,0.006028669222089264,0.0017318298760539328,0.996007984031936,0.9907140703555828,0.00026275123843175923,1.465568862275449,1.4625748502994012,-0.0029940119760479044,96.53540968894958
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.15,,1,10,0.1,0.7,1,8,2,1,668,668,0.9949287509052996,0.9945289113316428,0.9965153002823792,0.9971744262267462,0.003101452357264854,0.001884019338692922,0.0011294303734519047,0.0002866827779498901,1.0,0.9985684213524093,-3.650406758466405e-05,1.465568862275449,1.467065868263473,0.0014970059880239522,95.84476470947266
9,model.3.conv.weight,row,gaussian,0.25,,1,10,0.1,0.7,1,4,2,1,668,668,0.9971276087161844,0.9962425236547268,0.998028067134776,0.9980613290937287,0.001623767371233428,0.0013067070988079111,0.0005753611302408593,0.00017727937155630322,0.9995009980039922,0.998544703655971,3.9824818125266044e-05,1.465568862275449,1.465568862275449,0.0,96.07022547721863
10,model.4.cv1.conv.weight,row,gaussian,0.99,,1,10,0.1,0.7,1,17,2,1,668,668,0.99036053796624,0.985728366487889,0.9933869565674225,0.9925947957431734,0.0059291649513494174,0.0048151256960069526,0.002173531529256277,0.0006223619682398502,0.9962574850299402,0.994414906718298,3.7304060663767714e-06,1.465568862275449,1.4625748502994012,-0.0029940119760479044,97.0607385635376
