scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.06,,1,10,0.1,0.7,1,12,2,1,668,668,0.9839363822500671,0.9829793657969771,0.9889447152237135,0.9911594473840756,0.010660164317816445,0.005507496913005064,0.0037385108969519845,0.0007339967421392999,0.9982534930139719,0.9927988260716736,0.0002490071107646424,1.465568862275449,1.468562874251497,0.0029940119760479044,79.70065569877625
2,model.1.conv.weight,bullet_wake,gaussian,0.8,,1,10,0.1,0.7,1,3,2,1,668,668,0.7683864532456949,0.7198548515560115,0.8208116537984802,0.8346226504469534,0.15041416440844918,0.1619874539947735,0.04897581730489039,0.025138795100610192,0.9738023952095808,0.9068578644218797,0.00833930443979785,1.465568862275449,1.4790419161676647,0.01347305389221557,81.34425163269043
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.72,,1,10,0.1,0.7,1,2,2,1,668,668,0.9199776157373839,0.8820273654631335,0.9432724591073619,0.9352589663036914,0.052077173755924695,0.046827851377203356,0.017988863694094012,0.0074117955725115595,0.9835329341317365,0.9639465380720273,0.00408612630383935,1.465568862275449,1.468562874251497,0.0029940119760479044,79.07789969444275
4,model.2.cv2.weight,bullet_wake,gaussian,0.68,,1,10,0.1,0.7,1,17,2,1,668,668,0.8680582920035808,0.8400225823182057,0.9032418293367774,0.9098954869241775,0.10204387825309973,0.06809469653577165,0.03422274065781797,0.009364029020713243,0.9815369261477047,0.9538389614331508,0.0028925858765186186,1.465568862275449,1.4880239520958083,0.02245508982035928,80.46105170249939
5,model.2.cv3.weight,bullet_wake,gaussian,0.88,,1,10,0.1,0.7,1,19,2,1,668,668,0.6856739472056932,0.635291927682482,0.757763397366389,0.7719434055401846,0.22216285090139684,0.2360766301837926,0.061572207536278206,0.0495032488824388,0.9623253493013971,0.9158184347243264,0.011109291069928197,1.465568862275449,1.4580838323353293,-0.0074850299401197605,80.2453134059906
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.62,,1,10,0.1,0.7,1,6,2,1,668,668,0.85144895742845,0.8076833161753222,0.8903864719552044,0.8906207282789887,0.09988052596883774,0.1032619624827608,0.03351302019367317,0.013799118651240342,0.9730538922155688,0.9463613563609456,0.0036668423674777596,1.465568862275449,1.4491017964071857,-0.016467065868263474,79.4565908908844
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.43,,1,10,0.1,0.7,1,12,2,1,668,668,0.9298210131492881,0.9046378022603747,0.9504310906641226,0.948243885372599,0.04508649138148709,0.04096393269258474,0.01603754251029891,0.00656176584488684,0.9882734530938123,0.9766894169077427,0.0010040908114995785,1.465568862275449,1.4610778443113772,-0.004491017964071856,76.2478597164154
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.27,,1,10,0.1,0.7,1,5,2,1,668,668,0.9638000641725063,0.9518703188119991,0.9748548549120714,0.9745687722667102,0.023825635143483615,0.016573375270331852,0.008635051619431471,0.00277676376405644,0.9950099800399201,0.9879195236576769,-8.106493426416212e-05,1.465568862275449,1.465568862275449,0.0,76.63149857521057
9,model.3.conv.weight,bullet_wake,gaussian,0.61,,1,10,0.1,0.7,1,10,2,1,668,668,0.9460293628300216,0.9169534042036315,0.9622353499703774,0.9554548774526627,0.03670727674722209,0.03652361123771152,0.012646722211060779,0.0042442379989566644,0.9875249500998003,0.975643492446926,0.0012961181843590117,1.465568862275449,1.4595808383233533,-0.005988023952095809,77.00090718269348
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.18,,1,10,0.1,0.7,1,13,2,1,668,668,0.9885298598412806,0.9826813063387905,0.992117653841576,0.9910060909053644,0.007047377072436669,0.0061713573310887915,0.0026316737187529237,0.000758710073035462,0.9987524950099802,0.9933140513128387,3.5792938665953476e-05,1.465568862275449,1.468562874251497,0.0029940119760479044,75.86519479751587
