scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.49,,1,10,0.1,0.7,1,5,2,1,668,668,0.8537351499741049,0.846945068189504,0.8915058010167513,0.9143394791541894,0.11875868665612209,0.058229753241549984,0.03588778880490462,0.008189202006746834,0.9752994011976048,0.9462751075179278,0.004376248729800036,1.465568862275449,1.4820359281437125,0.016467065868263474,99.11018395423889
2,model.1.conv.weight,shattered_glass,gaussian,0.71,,1,10,0.1,0.7,1,12,2,1,668,668,0.7947673110746356,0.7505367394218917,0.8448292186878648,0.8545355672424159,0.14104339941759717,0.13497101137815434,0.0438240959261549,0.019690751670321992,0.9770459081836327,0.9190469292288055,0.006808956694638658,1.465568862275449,1.4625748502994012,-0.0029940119760479044,101.24080967903137
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.54,,1,10,0.1,0.7,1,15,2,1,668,668,0.9402437333852321,0.9132685611365237,0.9581142200303282,0.953238560375703,0.03828566911134951,0.03488531610914737,0.014222035268807054,0.0052930866323626195,0.9867764471057884,0.9719174004005577,0.001673938464856671,1.465568862275449,1.4520958083832336,-0.01347305389221557,92.65925908088684
4,model.2.cv2.weight,shattered_glass,gaussian,0.47,,1,10,0.1,0.7,1,15,2,1,668,668,0.9114363416011753,0.8833746911970648,0.9367432251594642,0.9360321086904395,0.06353610227049193,0.048157014321282,0.0221942274246146,0.0065193435370688975,0.9850299401197605,0.9684020684150878,0.0013667997084334939,1.465568862275449,1.4745508982035929,0.008982035928143712,98.23142051696777
5,model.2.cv3.weight,shattered_glass,gaussian,0.56,,1,10,0.1,0.7,1,15,2,1,668,668,0.7992500502978491,0.7541985457576155,0.8508209220214504,0.8555230246386427,0.14217211729797335,0.1364630955122758,0.042343737594375624,0.025559568520463937,0.9775449101796407,0.9480874894740815,0.0024808552822547995,1.465568862275449,1.4610778443113772,-0.004491017964071856,93.65989637374878
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.13,,1,10,0.1,0.7,1,15,2,1,668,668,0.9665350966026325,0.9542184192523901,0.9767713067733526,0.9758473492745146,0.02216828310877414,0.017216166708895725,0.007934283018629178,0.002527150696603063,0.9927644710578841,0.9880155093536643,0.00032559621655298566,1.465568862275449,1.465568862275449,0.0,95.76902985572815
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.24,,1,10,0.1,0.7,1,6,2,1,668,668,0.9594809941599475,0.9491752296934414,0.9717782538480505,0.9731192793639122,0.026158205571062267,0.020125028056261866,0.009878310717341564,0.0029949851761623294,0.9942614770459083,0.986925301675549,2.8533225287934263e-05,1.465568862275449,1.465568862275449,0.0,92.81502389907837
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.78,,1,10,0.1,0.7,1,19,2,1,668,668,0.8763546182629102,0.8304100531069945,0.9106239952945318,0.9041926880282356,0.08054823271889126,0.07862222910048121,0.02592593386464693,0.014099133810097312,0.9885229540918162,0.9625105207075855,0.0007836340355896903,1.465568862275449,1.471556886227545,0.005988023952095809,95.02323150634766
9,model.3.conv.weight,shattered_glass,gaussian,0.53,,1,10,0.1,0.7,1,8,2,1,668,668,0.9530076241389616,0.9263213464126081,0.9672494608964434,0.9606813646969667,0.03145485932803699,0.03188308751899095,0.010944157897229969,0.0038701415143443767,0.9880239520958084,0.9787832314739684,0.0011820507323194646,1.465568862275449,1.4580838323353293,-0.0074850299401197605,95.40166759490967
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.88,,1,10,0.1,0.7,1,6,2,1,668,668,0.9474204861048039,0.9180891976479806,0.9633344382930679,0.956075935565689,0.034472809351648634,0.03305567750820425,0.01226385597354997,0.0038697235430800543,0.9810379241516964,0.9702063801581274,0.0028240374045933555,1.465568862275449,1.464071856287425,-0.0014970059880239522,94.27296757698059
11,model.4.cv2.weight,shattered_glass,gaussian,0.55,,1,10,0.1,0.7,1,12,2,1,668,668,0.9580375136461037,0.9313174519501741,0.97082197757586,0.9634485636274696,0.029058422627221726,0.028024224417372876,0.010301970894595962,0.0031428158274375818,0.9922654690618762,0.9779060235964563,0.0005366525309766361,1.465568862275449,1.4850299401197604,0.019461077844311378,103.36804604530334
12,model.4.cv3.weight,shattered_glass,gaussian,0.61,,1,10,0.1,0.7,1,9,2,1,668,668,0.9532323564454154,0.9240473202065116,0.9674790765100849,0.9593905655028558,0.03323365116513867,0.03430332347542048,0.011561757404522664,0.0037835293470861045,0.9872754491017964,0.9695677483331657,0.0021534335767913484,1.465568862275449,1.471556886227545,0.005988023952095809,107.51656222343445
13,model.4.cv4.conv.weight,shattered_glass,gaussian,0.22,,1,10,0.1,0.7,1,2,2,1,668,668,0.9724205850258338,0.9520890259765542,0.9809264980720156,0.9747602771185385,0.018965318484043026,0.021216303549280533,0.006651929725854721,0.002294723343809309,0.9895209580838323,0.9835336107366575,0.0006029892140281891,1.465568862275449,1.4580838323353293,-0.0074850299401197605,109.04201936721802
14,model.4.m.0.cv1.conv.weight,shattered_glass,gaussian,0.7,,1,10,0.1,0.7,1,14,2,1,668,668,0.9577605323270383,0.9463158422188436,0.9706147559854309,0.9715959858084497,0.027782529143133602,0.018404488400921324,0.009998169138410212,0.0024518554691743337,0.9905189620758482,0.9770695785146036,0.0015512831553727566,1.465568862275449,1.470059880239521,0.004491017964071856,107.18515634536743
15,model.4.m.0.cv2.conv.weight,shattered_glass,gaussian,0.66,,1,10,0.1,0.7,1,18,2,1,668,668,0.9732277073530364,0.9545361119128504,0.9815205083809471,0.9760542801404751,0.017064701324026803,0.01819431935048767,0.006174416323907684,0.0020225988788484584,0.9922654690618763,0.9838819491738331,0.0004956285337250152,1.465568862275449,1.465568862275449,0.0,110.77310371398926
16,model.4.m.1.cv1.conv.weight,shattered_glass,gaussian,0.45,,1,10,0.1,0.7,1,5,2,1,668,668,0.9744875169990241,0.9605224193207803,0.9823696080693562,0.9792660078135152,0.016084622846057585,0.01455669460254629,0.005858176238816962,0.001795834507516684,0.9940119760479041,0.9842638477623582,0.0003624544767086615,1.465568862275449,1.4625748502994012,-0.0029940119760479044,108.16536068916321
17,model.4.m.1.cv2.conv.weight,shattered_glass,gaussian,0.88,,1,10,0.1,0.7,1,1,2,1,668,668,0.9698434292802728,0.9477088483772818,0.9791631079971912,0.9723756636330558,0.019897936807799346,0.0203642806003611,0.007008053199801716,0.002363864488684121,0.9910179640718563,0.976945778210006,0.0012491951192805393,1.465568862275449,1.471556886227545,0.005988023952095809,107.29106163978577
18,model.4.m.2.cv1.conv.weight,shattered_glass,gaussian,0.12,,1,10,0.1,0.7,1,6,2,1,668,668,0.9922789398923418,0.9888889192420608,0.9946967078388919,0.9942467735088587,0.004889439303956508,0.004043257642351493,0.001761029416749618,0.0004678177030138156,0.9985029940119761,0.9951743167079612,0.00015680407157201253,1.465568862275449,1.465568862275449,0.0,107.52760243415833
19,model.4.m.2.cv2.conv.weight,shattered_glass,gaussian,0.96,,1,10,0.1,0.7,1,9,2,1,668,668,0.9657917328656743,0.9454798697930757,0.9763148438647197,0.971164725694038,0.023919864971227923,0.021749811045289977,0.00841752152056932,0.0025617262453883965,0.9862774451097805,0.974821995326621,0.0009644854732021363,1.465568862275449,1.470059880239521,0.004491017964071856,108.58728694915771
20,model.5.conv.weight,shattered_glass,gaussian,0.86,,1,10,0.1,0.7,1,2,2,1,668,668,0.9653536117752859,0.9599610922398485,0.9759981096942062,0.9789799824314962,0.025899761469304013,0.017704683644319045,0.0090213956323302,0.0020846453662907746,0.9942614770459082,0.9877437724473472,0.00014204913359916138,1.465568862275449,1.4745508982035929,0.008982035928143712,113.62625646591187
21,model.6.cv1.conv.weight,shattered_glass,gaussian,0.6,,1,10,0.1,0.7,1,15,2,1,668,668,0.9676960990088492,0.9654986855512848,0.97763415084871,0.9819314113695566,0.02499718043483972,0.015437776456580139,0.00870610998783643,0.0018541142364865684,0.995259481037924,0.9911804773999069,-0.00016477248239184092,1.465568862275449,1.4625748502994012,-0.0029940119760479044,109.66857123374939
22,model.6.cv2.weight,shattered_glass,gaussian,0.42,,1,10,0.1,0.7,1,14,2,1,668,668,0.9840298985764272,0.9832496989458864,0.9890077893549826,0.9913046096472253,0.010757720905984092,0.006146462466909756,0.00398692645623689,0.0007852049653166987,0.995259481037924,0.9939017188317048,0.00014810760072367395,1.465568862275449,1.4610778443113772,-0.004491017964071856,107.26811528205872
