scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.59,,1,10,0.1,0.7,1,16,2,1,668,668,0.9812892416440114,0.9803396854961685,0.9870825399551371,0.9897600848136977,0.013308700227912262,0.006306016407753959,0.004578266323384487,0.0008469808197853189,0.9957584830339321,0.9920380722411617,0.0003043620395446252,1.465568862275449,1.471556886227545,0.005988023952095809,89.58093929290771
2,model.1.conv.weight,single,gaussian,0.62,,1,10,0.1,0.7,1,11,2,1,668,668,0.9911253778021671,0.9908694794032765,0.993895509753878,0.9952748763698623,0.00543806348101437,0.003230508306149183,0.002055182846360249,0.00043651011824639296,0.9982534930139721,0.9975407506504695,-4.665174348625595e-05,1.465568862275449,1.467065868263473,0.0014970059880239522,83.92332124710083
3,model.2.cv1.conv.weight,single,gaussian,0.85,,1,10,0.1,0.7,1,8,2,1,668,668,0.9845924367101289,0.98096481165461,0.9893791379955091,0.9900904039325449,0.00942774964879403,0.0066797266310736165,0.0036782277751750635,0.0009271119307690512,0.995259481037924,0.9935882971166612,-3.79883541080528e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,83.65894651412964
4,model.2.cv2.weight,single,gaussian,0.01,,1,10,0.1,0.7,1,1,2,1,668,668,0.9996239559509377,0.9995596376664546,0.999742123529906,0.9997732367449398,0.00019706177787100259,0.00018670399867217534,7.15545064072835e-05,2.9106599402394173e-05,1.0,0.9999134431401652,5.354305465302305e-07,1.465568862275449,1.465568862275449,0.0,94.47414708137512
5,model.2.cv3.weight,single,gaussian,0.55,,1,10,0.1,0.7,1,20,2,1,668,668,0.9604906223141433,0.9448426677522062,0.9724459284706984,0.9706637277314417,0.02611397154576797,0.023132280841964233,0.008931854566224898,0.003793106382302034,0.996007984031936,0.9877520992816565,0.00011699777579831028,1.465568862275449,1.4760479041916168,0.010479041916167664,94.16025042533875
6,model.2.cv4.conv.weight,single,gaussian,0.03,,1,10,0.1,0.7,1,16,2,1,668,668,0.9991412712117944,0.9990368852002209,0.9994111270419137,0.9995037611382586,0.0004744139691640641,0.0003653997357034924,0.0001703201598363099,5.2378121035681205e-05,0.9995009980039922,0.9997683992821299,-8.193660757974712e-06,1.465568862275449,1.464071856287425,-0.0014970059880239522,84.78683567047119
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.73,,1,10,0.1,0.7,1,4,2,1,668,668,0.9734794220007401,0.9663331029533146,0.9815933249635821,0.9822893648849021,0.01631609976296692,0.0129422420990099,0.0062120877154760576,0.001864341383415086,0.99750499001996,0.9909413275039362,0.0001003513644317429,1.465568862275449,1.468562874251497,0.0029940119760479044,88.42502880096436
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.18,,1,10,0.1,0.7,1,3,2,1,668,668,0.9978782873583324,0.9976147512731962,0.9985442137780052,0.9987703277319439,0.0011480911518467337,0.0008110236892795829,0.0004144032115432536,0.00012530675221504464,1.0,0.9994911848309036,-2.200404802958171e-06,1.465568862275449,1.468562874251497,0.0029940119760479044,84.14182186126709
9,model.3.conv.weight,single,gaussian,0.6,,1,10,0.1,0.7,1,10,2,1,668,668,0.998343554737844,0.9979713250236362,0.9988619705729483,0.9989542417155926,0.0009055671318309177,0.0007290731692973227,0.00032331967363314023,9.509763067186945e-05,0.9990019960079841,0.9994438196311216,2.0097086053646487e-06,1.465568862275449,1.465568862275449,0.0,95.37331795692444
10,model.4.cv1.conv.weight,single,gaussian,0.92,,1,10,0.1,0.7,1,1,2,1,668,668,0.9947943696669941,0.992842646416924,0.9964274857394614,0.9963001700023428,0.0029825719799066045,0.0024227597288216138,0.0010967679951592068,0.0003058853017953711,0.9987524950099802,0.9973740464228831,-5.4932699469987026e-05,1.465568862275449,1.467065868263473,0.0014970059880239522,92.61282277107239
11,model.4.cv2.weight,single,gaussian,0.24,,1,10,0.1,0.7,1,10,2,1,668,668,0.9981584655932825,0.9974912977649539,0.9987384569919106,0.998706586883497,0.0010507859289326795,0.0009408649625564506,0.00037426300407755714,0.00011382409971790068,0.9995009980039922,0.9991524371944979,4.2022798887032e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,93.66333341598511
12,model.4.cv3.weight,single,gaussian,0.53,,1,10,0.1,0.7,1,12,2,1,668,668,0.9944290869659841,0.9921872033523176,0.9961770773913678,0.9959597740819421,0.003323489611248443,0.003104100833062966,0.0011729367921454762,0.00037054561445858765,0.9987524950099802,0.9968450058868784,-4.7909159086897455e-05,1.465568862275449,1.468562874251497,0.0029940119760479044,85.77044224739075
13,model.4.cv4.conv.weight,single,gaussian,0.03,,1,10,0.1,0.7,1,17,2,1,668,668,0.9997183913281368,0.9995999272691458,0.9998069580865561,0.9997939673869901,0.0001606939784257418,0.00018435493873406546,5.5824270208345885e-05,2.278286228173942e-05,1.0,0.9998921224486804,6.193945745746067e-08,1.465568862275449,1.465568862275449,0.0,91.05053949356079
14,model.4.m.0.cv1.conv.weight,single,gaussian,0.54,,1,10,0.1,0.7,1,3,2,1,668,668,0.9956458087305817,0.9950612925525353,0.997014815930653,0.9974498649097415,0.002531943103519794,0.0017154276394024844,0.000925671534108656,0.00022027293606281822,0.9975049900199602,0.9980502993820195,4.441356528067066e-05,1.465568862275449,1.4610778443113772,-0.004491017964071856,84.2399673461914
15,model.4.m.0.cv2.conv.weight,single,gaussian,0.47,,1,10,0.1,0.7,1,11,2,1,668,668,0.9990763367839434,0.9988157783910557,0.999368447761456,0.9993898764050796,0.0005149078295286176,0.0004438958495961313,0.00018490984678688904,5.86550151192221e-05,0.9990019960079841,0.9996287239020218,1.7727771680987996e-06,1.465568862275449,1.464071856287425,-0.0014970059880239522,100.89139080047607
16,model.4.m.1.cv1.conv.weight,single,gaussian,0.35,,1,10,0.1,0.7,1,18,2,1,668,668,0.9973736805337317,0.99649163796416,0.998198945865369,0.9981899661325372,0.0014389119947165153,0.0012012027896389642,0.0005206405780191487,0.00014924176654908863,0.9987524950099802,0.9986471043464666,1.813341935951553e-05,1.465568862275449,1.465568862275449,0.0,103.62331509590149
17,model.4.m.1.cv2.conv.weight,single,gaussian,0.15,,1,10,0.1,0.7,1,12,2,1,668,668,0.9997609902877727,0.999652540057591,0.9998364960934024,0.9998210844468833,0.0001322794669476582,0.00014848711625001405,4.762653159466544e-05,2.1061162578256546e-05,0.9995009980039922,0.9998805074694151,-1.4595553546608533e-07,1.465568862275449,1.464071856287425,-0.0014970059880239522,102.01205039024353
18,model.4.m.2.cv1.conv.weight,single,gaussian,0.46,,1,10,0.1,0.7,1,14,2,1,668,668,0.9966234487778619,0.9955121092462532,0.9976837482880856,0.9976834206190048,0.0020215593454053775,0.0016492327454803492,0.0007201162532662874,0.00019899671288950877,0.9995009980039922,0.9979226666385542,-7.721470918008191e-06,1.465568862275449,1.465568862275449,0.0,103.24175381660461
19,model.4.m.2.cv2.conv.weight,single,gaussian,0.64,,1,10,0.1,0.7,1,1,2,1,668,668,0.999027129495931,0.9986022701037736,0.9993334418670577,0.9992798268340589,0.0005521906373411096,0.0005275729122491165,0.00019399432040496202,6.611448808072948e-05,0.9987524950099802,0.9994041324107946,3.2143083637108064e-07,1.465568862275449,1.464071856287425,-0.0014970059880239522,99.58077144622803
20,model.5.conv.weight,single,gaussian,0.5,,1,10,0.1,0.7,1,2,2,1,668,668,0.9996852564284849,0.9997155946161451,0.9997846321424075,0.9998535573197077,0.0001867662708287945,0.00012695669397060267,6.680600808900464e-05,1.8789224271862138e-05,1.0,0.9999217929210729,3.769309696799028e-07,1.465568862275449,1.467065868263473,0.0014970059880239522,92.24217510223389
21,model.6.cv1.conv.weight,single,gaussian,0.49,,1,10,0.1,0.7,1,20,2,1,668,668,0.9988225890654485,0.9989109034818475,0.9991934618657203,0.9994389412334636,0.0006989877246650157,0.0004862664218278191,0.00024795376347738535,5.99226226428671e-05,1.0,0.999770309129161,3.479882152732499e-06,1.465568862275449,1.465568862275449,0.0,102.59346675872803
22,model.6.cv2.weight,single,gaussian,0.96,,1,10,0.1,0.7,1,4,2,1,668,668,0.9982594744391341,0.998468069587054,0.9988051564405964,0.9992105430965521,0.0010088281594242963,0.0005869184566720366,0.0003699783836793359,7.59750633311388e-05,0.999251497005988,0.9994172778523374,1.3630502595159108e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,93.61959457397461
23,model.6.cv3.weight,single,gaussian,0.23,,1,10,0.1,0.7,1,9,2,1,668,668,0.999064086161146,0.9992748968452054,0.9993591925839049,0.9996265366141773,0.0005649290802975893,0.00028153498548243877,0.0002008839965167881,3.872690872856468e-05,1.0,0.9997838467151342,7.392879493698151e-07,1.465568862275449,1.467065868263473,0.0014970059880239522,90.92125630378723
