scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.99,,1,10,0.1,0.7,1,3,2,1,668,668,0.9447538981529131,0.9437649790687674,0.9609623150566041,0.9699910957800741,0.04379173500542715,0.01791401563274342,0.014578461724577964,0.00252066192055137,0.9935129740518962,0.978639462721086,0.0010089956357807457,1.465568862275449,1.4760479041916168,0.010479041916167664,80.55313229560852
2,model.1.conv.weight,row,gaussian,0.05,,1,10,0.1,0.7,1,12,2,1,668,668,0.9975906576051857,0.9977839857520358,0.9983473585008008,0.998857676564251,0.0013218000246229763,0.0007916433690169363,0.00048333304501251164,0.00011055905554099491,0.9987524950099802,0.9994432531341821,-6.348288761165567e-06,1.465568862275449,1.464071856287425,-0.0014970059880239522,77.162278175354
3,model.2.cv1.conv.weight,row,gaussian,0.8,,1,10,0.1,0.7,1,14,2,1,668,668,0.9817233112877439,0.9767529977054211,0.9873854597593555,0.9878702138402418,0.011674739912512694,0.008500562975002495,0.004336926216672142,0.0011206583256298285,0.995259481037924,0.9913252476982014,0.00020931488620544862,1.465568862275449,1.467065868263473,0.0014970059880239522,80.59613704681396
4,model.2.cv2.weight,row,gaussian,0.51,,1,10,0.1,0.7,1,3,2,1,668,668,0.9792667326568925,0.9737193292883995,0.9856509988306973,0.9862386047439872,0.013260837870571564,0.009675723494408973,0.004823864904090786,0.0014085146340082411,0.998003992015968,0.9927763322483517,0.00010294904430469353,1.465568862275449,1.473053892215569,0.0074850299401197605,80.87539839744568
5,model.2.cv3.weight,row,gaussian,0.52,,1,10,0.1,0.7,1,12,2,1,668,668,0.9660662288219652,0.9533770461182907,0.9763375413489264,0.9752513930244746,0.02241548095449517,0.020215524168282935,0.00794891407453965,0.0031637599197458753,0.9937624750499001,0.9897925299917627,7.937808415133083e-05,1.465568862275449,1.4520958083832336,-0.01347305389221557,78.37442278862
6,model.2.cv4.conv.weight,row,gaussian,0.56,,1,10,0.1,0.7,1,17,2,1,668,668,0.98105446527334,0.9754953483199833,0.98688105890565,0.9871385197608732,0.013045596872690685,0.009776311878849683,0.004591090401019152,0.0013266946848091783,0.9975049900199602,0.9922238321539885,9.013447694911684e-06,1.465568862275449,1.471556886227545,0.005988023952095809,81.38752913475037
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.69,,1,10,0.1,0.7,1,4,2,1,668,668,0.979550359520932,0.973552757789587,0.9858479786044323,0.9861275031860498,0.012541150624210013,0.010544877207155669,0.004745773942422177,0.0014479166474525968,0.9977544910179641,0.9923071006160535,9.087962423731944e-05,1.465568862275449,1.468562874251497,0.0029940119760479044,81.524174451828
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.69,,1,10,0.1,0.7,1,9,2,1,668,668,0.9793807157488414,0.9745916411627473,0.9857436335124652,0.9867257757249769,0.013846339468026419,0.009042055609235804,0.005058670298043576,0.00137812267251111,0.9965069860279441,0.9930552822982003,-0.00011307191468046574,1.465568862275449,1.465568862275449,0.0,81.38254928588867
9,model.3.conv.weight,row,gaussian,0.57,,1,10,0.1,0.7,1,16,2,1,668,668,0.9938480864017553,0.9915044780128468,0.9957754942446227,0.9956055415500281,0.0036998784398953504,0.0028803707052126037,0.001305112647656159,0.00038070447410785686,0.9987524950099802,0.9974456960986,3.9133408707297016e-05,1.465568862275449,1.465568862275449,0.0,81.64718580245972
10,model.4.cv1.conv.weight,row,gaussian,0.54,,1,10,0.1,0.7,1,2,2,1,668,668,0.9944410122484247,0.9920279286523552,0.9961868245684863,0.9958771974029217,0.0031807472759215094,0.002655284234800714,0.0011671844376386171,0.00034301906319830484,0.9982534930139721,0.9966408658676044,9.409285442319937e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,81.45105695724487
11,model.4.cv2.weight,row,gaussian,0.17,,1,10,0.1,0.7,1,13,2,1,668,668,0.9976875050358655,0.9967141196990921,0.9984145001690786,0.9983052750140058,0.0013129852025697093,0.0011983930393132496,0.0004668706724911996,0.00014289427660490512,0.9995009980039922,0.9990223903142049,-8.373352105983948e-07,1.465568862275449,1.467065868263473,0.0014970059880239522,80.72038626670837
12,model.4.cv3.weight,row,gaussian,0.73,,1,10,0.1,0.7,1,8,2,1,668,668,0.9905636830360663,0.9862943494138615,0.9935228257474658,0.9928913626401766,0.006006602519489333,0.005424935203549903,0.002113549304730375,0.0006253335087173149,0.9987524950099802,0.9944221405182293,3.081435958544413e-05,1.465568862275449,1.470059880239521,0.004491017964071856,80.68263602256775
13,model.4.cv4.conv.weight,row,gaussian,0.71,,1,10,0.1,0.7,1,17,2,1,668,668,0.9901116058671523,0.9838390416613747,0.9932110126875546,0.9916073386379187,0.0062868138654009545,0.006546993404578543,0.002217239179182673,0.0007297238386611781,0.9977544910179641,0.9949635705369675,2.846727798322955e-05,1.465568862275449,1.4625748502994012,-0.0029940119760479044,83.13770055770874
