scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.61,,1,10,0.1,0.7,1,11,2,1,668,668,0.9791530361188393,0.9787993034133683,0.9855774406585514,0.9889389632659468,0.015048943234389019,0.006984215477380701,0.005183758690021905,0.0009384534560128769,0.9950099800399201,0.9909614559686827,-1.3915557942228648e-05,1.465568862275449,1.4625748502994012,-0.0029940119760479044,84.95853972434998
2,model.1.conv.weight,column,gaussian,0.61,,1,10,0.1,0.7,1,5,2,1,668,668,0.9887512625348838,0.9878236708884657,0.9922635744667669,0.9936863206347915,0.0071836513055479135,0.004541174667940862,0.0026623398467776303,0.0006024600134973653,0.9990019960079839,0.9961052526703138,-8.170491831745215e-05,1.465568862275449,1.467065868263473,0.0014970059880239522,88.66191816329956
3,model.2.cv1.conv.weight,column,gaussian,0.58,,1,10,0.1,0.7,1,13,2,1,668,668,0.9898783623347933,0.987842722951928,0.9930283296194335,0.9936945105214463,0.0062962694982537796,0.004579045572843528,0.002371416578844273,0.0005597917980638221,0.9982534930139721,0.9955823752069901,0.000129397393403177,1.465568862275449,1.468562874251497,0.0029940119760479044,88.65194153785706
4,model.2.cv2.weight,column,gaussian,0.43,,1,10,0.1,0.7,1,5,2,1,668,668,0.987411356164768,0.983284053344044,0.9913273803906136,0.9912918079593439,0.0076003777012004685,0.006343092566820207,0.0027610258650017355,0.0009085682129806001,0.9962574850299402,0.995609974566691,0.00011420362218173441,1.465568862275449,1.4595808383233533,-0.005988023952095809,88.94318556785583
5,model.2.cv3.weight,column,gaussian,0.14,,1,10,0.1,0.7,1,17,2,1,668,668,0.9894776725637333,0.9857105119450995,0.9927449061292777,0.9925766048739515,0.006289854665408914,0.005593421259552786,0.0023468658937014155,0.0008923766389385965,0.9982534930139721,0.997058977534671,3.011193044647247e-05,1.465568862275449,1.4625748502994012,-0.0029940119760479044,89.30952668190002
6,model.2.cv4.conv.weight,column,gaussian,0.47,,1,10,0.1,0.7,1,16,2,1,668,668,0.9838607499660328,0.9779677164703454,0.9887979414467095,0.9884546372927377,0.009870378244695483,0.008850552725953309,0.003595141430910269,0.0011494429880915874,0.997255489021956,0.9936707050441029,-3.0524604870173745e-05,1.465568862275449,1.465568862275449,0.0,88.75487899780273
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.63,,1,10,0.1,0.7,1,11,2,1,668,668,0.9787384485075069,0.9738475106360087,0.9852823245874038,0.9862967948962629,0.013595799862554797,0.010209880142892303,0.005280281801790711,0.0013939090018375124,0.996756487025948,0.9930899241667784,5.03119044080228e-05,1.465568862275449,1.4745508982035929,0.008982035928143712,80.04703903198242
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.92,,1,10,0.1,0.7,1,18,2,1,668,668,0.990644579530817,0.9888176324114053,0.9935669646684335,0.9942029128417338,0.005888411449745876,0.003988262199512833,0.002125589453071271,0.0006000905109663389,0.9982534930139719,0.9967705699022184,4.525889387863601e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,80.50235629081726
9,model.3.conv.weight,column,gaussian,0.99,,1,10,0.1,0.7,1,6,2,1,668,668,0.9952466870307021,0.9933876451190212,0.9967401161083134,0.9965825858795291,0.0027328297522184785,0.0022882030960108403,0.0009481411470285179,0.0003088201320148139,1.0,0.9981403039571292,1.864666174985691e-05,1.465568862275449,1.470059880239521,0.004491017964071856,90.19192290306091
10,model.4.cv1.conv.weight,column,gaussian,0.99,,1,10,0.1,0.7,1,8,2,1,668,668,0.9929018138922338,0.99020207636711,0.995129625776523,0.9949277291763576,0.004272313417393617,0.0033983474140246665,0.0015726453406459974,0.0004287878088330616,0.999500998003992,0.9957196442875083,9.5879491753207e-05,1.465568862275449,1.470059880239521,0.004491017964071856,88.89212083816528
