scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.29,,1,10,0.1,0.7,1,6,2,1,668,668,0.9121071266492383,0.9114378000763642,0.936881004350998,0.9521447655292385,0.07608126752898489,0.028706631495664037,0.023141467001555345,0.004062667199785098,0.9850299401197605,0.966169838940431,0.0015392361837113925,1.465568862275449,1.468562874251497,0.0029940119760479044,100.5640459060669
2,model.1.conv.weight,bullet_wake,gaussian,0.21,,1,10,0.1,0.7,1,19,2,1,668,668,0.9476697990692211,0.9397034636766989,0.9634297512101124,0.9679852332184905,0.03559926917153582,0.022578743433669203,0.013060360543818006,0.002956601957151248,0.9950099800399201,0.9809234825198997,0.000800754168552315,1.465568862275449,1.4790419161676647,0.01347305389221557,96.468754529953
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.67,,1,10,0.1,0.7,1,13,2,1,668,668,0.9259002536865497,0.8904709540601289,0.9476287963515476,0.9402064106917108,0.04864107255019518,0.04373353739747989,0.017108302541693265,0.006729536633230295,0.9860279441117764,0.9663030713528931,0.003179324534303414,1.465568862275449,1.4790419161676647,0.01347305389221557,103.63112330436707
4,model.2.cv2.weight,bullet_wake,gaussian,0.95,,1,10,0.1,0.7,1,2,2,1,668,668,0.8177571835745984,0.7819727253745252,0.8627007961920239,0.8733894408717275,0.14385560214681464,0.09927126544789461,0.04665238742265841,0.01499556285704063,0.9785429141716566,0.9324265504757802,0.006507178459933656,1.465568862275449,1.4760479041916168,0.010479041916167664,93.7156867980957
5,model.2.cv3.weight,bullet_wake,gaussian,0.81,,1,10,0.1,0.7,1,1,2,1,668,668,0.7078182968088501,0.6601601510019062,0.7767662468229506,0.7900736547328906,0.2072258619340677,0.2118328417239669,0.05875654323596452,0.044271911445916086,0.9695608782435129,0.9240580508541204,0.007345598614858296,1.465568862275449,1.4550898203592815,-0.010479041916167664,101.07615089416504
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.88,,1,10,0.1,0.7,1,19,2,1,668,668,0.7700217488321391,0.7275164559710897,0.8245711761173464,0.8382960728115846,0.16179480108070687,0.17029789377113413,0.04701075656834228,0.024841819478718257,0.969810379241517,0.9272940281979338,0.009168911955789654,1.465568862275449,1.470059880239521,0.004491017964071856,105.9741370677948
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.38,,1,10,0.1,0.7,1,9,2,1,668,668,0.9379693251354158,0.9172341387282482,0.9563223546621863,0.95539977082728,0.04000634380555897,0.033999930777161284,0.014797180165317782,0.0054712373073135855,0.9875249500998003,0.9796693873649348,0.0004906586767313723,1.465568862275449,1.4625748502994012,-0.0029940119760479044,104.18475818634033
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.73,,1,10,0.1,0.7,1,17,2,1,668,668,0.8859424481735698,0.8456424324041119,0.9180339710787004,0.9134861499007088,0.07601792843079125,0.07079771579707869,0.023942955056183383,0.012834356632606033,0.9842814371257484,0.9656490576332677,0.00046395129726794425,1.465568862275449,1.4610778443113772,-0.004491017964071856,99.60402011871338
9,model.3.conv.weight,bullet_wake,gaussian,0.81,,1,10,0.1,0.7,1,6,2,1,668,668,0.9264252593635166,0.8890989996611962,0.9480884408960287,0.9397497770307368,0.053337187152372935,0.05212457198958031,0.017437628642255034,0.005971629321789226,0.9852794411177644,0.9673400063536124,0.0021771268023107345,1.465568862275449,1.4580838323353293,-0.0074850299401197605,96.34208583831787
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.79,,1,10,0.1,0.7,1,15,2,1,668,668,0.9538406825296476,0.9291947816669232,0.9679190425578882,0.9622373082705019,0.03168362048951421,0.027936541324907763,0.011523076425152575,0.003364804113172783,0.9855289421157684,0.9735909009616293,0.0010622632717657947,1.465568862275449,1.467065868263473,0.0014970059880239522,95.29780077934265
