scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.77,,1,10,0.1,0.7,1,5,2,1,668,668,0.7772383426819692,0.7524862980330765,0.8276823604262082,0.8548007988137573,0.15318728598874504,0.12684977595801572,0.05242160027456599,0.01991478016110574,0.9598303393213572,0.9210302922679209,0.010722757078360939,1.465568862275449,1.4565868263473054,-0.008982035928143712,106.25112009048462
2,model.1.conv.weight,shattered_glass,gaussian,0.61,,1,10,0.1,0.7,1,9,2,1,668,668,0.8295024281210933,0.7897571782727927,0.8735443140814048,0.8794956514484079,0.1167307852590932,0.10266813006016826,0.036403010947029676,0.014590938444220323,0.9815369261477047,0.9310702999194939,0.00498047532762834,1.465568862275449,1.501497005988024,0.03592814371257485,110.45192956924438
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.91,,1,10,0.1,0.7,1,10,2,1,668,668,0.8967466926738896,0.8366411338486897,0.9262460276778388,0.9083280341596937,0.06642530328182765,0.0736151989657679,0.022064471571832923,0.012195759184250336,0.9795409181636725,0.9545605536141318,0.005306941284212523,1.465568862275449,1.4595808383233533,-0.005988023952095809,108.25773024559021
4,model.2.cv2.weight,shattered_glass,gaussian,0.57,,1,10,0.1,0.7,1,14,2,1,668,668,0.8915188039014225,0.8605360686169718,0.9214394584873572,0.922524182417424,0.07865112533678671,0.058700797122809616,0.02710856443179434,0.007926934004376494,0.9810379241516964,0.9600016857662838,0.0027744491805811364,1.465568862275449,1.473053892215569,0.0074850299401197605,105.68294882774353
5,model.2.cv3.weight,shattered_glass,gaussian,0.96,,1,10,0.1,0.7,1,13,2,1,668,668,0.6612197665694468,0.609147493965659,0.7389845513356404,0.7531164467948454,0.24007998069832628,0.2628161611984568,0.06618968458808072,0.056289778869558584,0.9585828343313372,0.9086318046779366,0.010111492115993041,1.465568862275449,1.4401197604790419,-0.025449101796407185,108.29737043380737
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.99,,1,10,0.1,0.7,1,12,2,1,668,668,0.7198559100564149,0.6774414421585141,0.783796347770214,0.8032022899324409,0.20484887775481936,0.22186257386352304,0.05518552226907095,0.03531428874323492,0.9570858283433132,0.9157783358708315,0.013815817082005702,1.465568862275449,1.4446107784431137,-0.020958083832335328,105.54092836380005
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.16,,1,10,0.1,0.7,1,4,2,1,668,668,0.9728272097929219,0.9664452355836907,0.9812112338258959,0.9824182305581779,0.01721472358774062,0.013067608903906805,0.006700009744655426,0.0018928158048376394,0.9965069860279441,0.9909571069116127,-1.2941457732708858e-05,1.465568862275449,1.464071856287425,-0.0014970059880239522,104.19935202598572
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.99,,1,10,0.1,0.7,1,8,2,1,668,668,0.8277343029823575,0.7789419033707476,0.8733081732443744,0.8717313116730742,0.11615426460194371,0.11290086201176448,0.03507764430776845,0.021608581684685543,0.9810379241516967,0.9490709838247345,0.0017705789047800851,1.465568862275449,1.4625748502994012,-0.0029940119760479044,105.13951325416565
9,model.3.conv.weight,shattered_glass,gaussian,0.64,,1,10,0.1,0.7,1,10,2,1,668,668,0.9435155550541586,0.9120259108635963,0.9604554700249837,0.9527196503570238,0.03808466666521634,0.039247775712157706,0.013298453830288996,0.004608256649600738,0.9857784431137725,0.973566321674697,0.0012472613664444336,1.465568862275449,1.4625748502994012,-0.0029940119760479044,106.1457736492157
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.42,,1,10,0.1,0.7,1,19,2,1,668,668,0.9748796327207039,0.9598924519521023,0.9826732896339767,0.978926210812451,0.01627160916450895,0.014277964324210633,0.005994983819205828,0.0017899324467226037,0.9927644710578841,0.9846290517561211,0.0002641229854967304,1.465568862275449,1.467065868263473,0.0014970059880239522,106.41321134567261
