scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.68,,1,10,0.1,0.7,1,6,2,1,400,330,0.9847927450067004,0.9758815050589226,0.9902333094289953,0.9873868770408384,0.009576413390382846,0.007861315090664714,0.0028121451834138,0.0017444987413249573,0.9984423676012462,0.9930560489959805,0.0007639842055668341,0.6545454545454545,0.6636363636363637,0.00909090909090909,38.172141790390015
2,model.1.conv.weight,single,gaussian,0.2,,1,10,0.1,0.7,1,17,2,1,400,330,0.997518540197531,0.9965188794604993,0.9984152738756715,0.9982025704310786,0.0013674863465309676,0.0013239876631489633,0.00043805082174995,0.0002596375534678294,1.0,0.9989479177651748,1.5361333190466385e-05,0.6545454545454545,0.6545454545454545,0.0,38.50309729576111
3,model.2.cv1.conv.weight,single,gaussian,0.8,,1,10,0.1,0.7,1,2,2,1,400,330,0.9892205638777484,0.9808039155390743,0.9930883733482242,0.9899928341287162,0.006552249770208227,0.006952416772818466,0.0018874172433189999,0.0014103516005274958,0.9984423676012462,0.9956885581818696,-0.00021650941572456717,0.6545454545454545,0.6575757575757576,0.0030303030303030303,40.05967473983765
4,model.2.cv2.weight,single,gaussian,0.11,,1,10,0.1,0.7,1,7,2,1,400,330,0.9968008805044369,0.9949503489107125,0.9979511371971207,0.9973895557131741,0.0018353020469423426,0.002072069107839176,0.0005991680419359156,0.0004405455448207353,1.0,0.999367625542519,-0.00011135428865379262,0.6545454545454545,0.6545454545454545,0.0,42.97742676734924
5,model.2.cv3.weight,single,gaussian,0.07,,1,10,0.1,0.7,1,12,2,1,400,330,0.9953576847214284,0.9919479714806885,0.9970306629608393,0.9958314055757048,0.0028056360552135614,0.0031607690936359214,0.0007562242668460633,0.0007479485180697808,1.0,0.9988166525542179,-0.0002519379709368554,0.6545454545454545,0.6545454545454545,0.0,42.67080855369568
6,model.2.cv4.conv.weight,single,gaussian,0.55,,1,10,0.1,0.7,1,20,2,1,400,330,0.9898991361757066,0.9831601474529413,0.993515824678782,0.9912233686439214,0.006135192014583282,0.006241755667409076,0.0018408568094849917,0.001241873417002776,0.9953271028037384,0.9966094421109123,2.751001543095782e-06,0.6545454545454545,0.6545454545454545,0.0,41.84722852706909
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.54,,1,10,0.1,0.7,1,18,2,1,400,330,0.9841272714838193,0.9726060729493966,0.9897894633578469,0.9856545543948636,0.009148101804176065,0.012251064719664258,0.0028034273560001636,0.0022800218046927813,0.9984423676012462,0.9947563015690474,0.00015893439266169182,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,43.15232300758362
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.32,,1,10,0.1,0.7,1,6,2,1,400,330,0.9974393107631568,0.9955699193568345,0.998363679106648,0.9977114811387616,0.00128604996047776,0.0016479135916189968,0.0004010555955652382,0.00033572498423513206,1.0,0.998874708778019,-8.845974537442406e-05,0.6545454545454545,0.6545454545454545,0.0,42.5948371887207
9,model.3.conv.weight,single,gaussian,0.48,,1,10,0.1,0.7,1,13,2,1,400,330,0.9990818566989919,0.9983879388154907,0.9994135452837575,0.9991684846565208,0.0004839002834413386,0.0006000707713689924,0.00014081023472563666,0.00010772003580236164,1.0,0.9996846401802847,4.807026401115727e-05,0.6545454545454545,0.6545454545454545,0.0,43.07666039466858
10,model.4.cv1.conv.weight,single,gaussian,0.34,,1,10,0.1,0.7,1,2,2,1,400,330,0.9985782899101385,0.9972970527930256,0.9990927085200845,0.9986051112786435,0.0006974347469463077,0.0009456557744024345,0.00021375947007558073,0.0001873400499483157,1.0,0.9994206439668887,7.696510104004095e-05,0.6545454545454545,0.6545454545454545,0.0,40.43667459487915
