scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.58,,1,10,0.1,0.7,1,16,2,1,400,330,0.9777770282525277,0.9637711238916497,0.9856255785686389,0.9808592378312042,0.013870076244521707,0.012049655179692928,0.004348294528927649,0.0029579301677872456,0.9984423676012462,0.9901751878662645,5.445260310841498e-05,0.6545454545454545,0.6666666666666666,0.012121212121212121,39.06374764442444
2,model.1.conv.weight,row,gaussian,0.22,,1,10,0.1,0.7,1,20,2,1,400,330,0.9932776535502054,0.989146799874794,0.9956969892287885,0.9943749688869321,0.0035371465963232283,0.004093536050363484,0.001198196745262595,0.0008874965224445423,1.0,0.9979846392093789,2.325504925392126e-05,0.6545454545454545,0.6545454545454545,0.0,38.450549364089966
3,model.2.cv1.conv.weight,row,gaussian,0.37,,1,10,0.1,0.7,1,20,2,1,400,330,0.9934853957990628,0.988502624401946,0.9958303412865989,0.9940375705288184,0.0034599926120735744,0.0043878402593127,0.0010401109955640406,0.0007936189106946755,1.0,0.9970065978271568,-0.00014424690762041513,0.6545454545454545,0.6545454545454545,0.0,37.809365034103394
4,model.2.cv2.weight,row,gaussian,0.77,,1,10,0.1,0.7,1,7,2,1,400,330,0.9752109248002467,0.9590342821091656,0.9839310846678059,0.9783132785251368,0.01652352509585947,0.01755881810333804,0.004929645600313283,0.0037682262040787803,0.9906542056074766,0.9930896921165335,0.0001681353779708814,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,42.68211770057678
5,model.2.cv3.weight,row,gaussian,0.92,,1,10,0.1,0.7,1,17,2,1,400,330,0.9420812887215885,0.9154059557810286,0.9618097478845729,0.9539653967660863,0.04163500557954119,0.03835270673183409,0.01224687115425846,0.008216605178806097,0.9953271028037384,0.9864443428639514,0.0011371755637286786,0.6545454545454545,0.6727272727272727,0.01818181818181818,38.003856897354126
6,model.2.cv4.conv.weight,row,gaussian,0.37,,1,10,0.1,0.7,1,2,2,1,400,330,0.9902019317883828,0.9832825472801509,0.9937139489290603,0.9912876788094709,0.006294897341504255,0.006365782549720048,0.0018497809614981104,0.00133240141957854,0.9953271028037384,0.9968102785156738,-0.00019490434343639489,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,40.227527141571045
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.54,,1,10,0.1,0.7,1,19,2,1,400,330,0.9876567353894996,0.9785969719837998,0.9920730041313565,0.9888222182789413,0.006893626453421383,0.009039010124268339,0.0021930839448988456,0.0016058281836876576,0.9984423676012462,0.9955784132547467,-7.880722807946606e-05,0.6545454545454545,0.6545454545454545,0.0,37.72830390930176
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.29,,1,10,0.1,0.7,1,19,2,1,400,330,0.9933946879647824,0.9883068713940651,0.9957690647204823,0.993934658272428,0.003642868372174591,0.004282549872204782,0.0011145573982226224,0.0009615878417089821,1.0,0.9981974666920778,-0.00046555581865280964,0.6545454545454545,0.6575757575757576,0.0030303030303030303,37.73658204078674
9,model.3.conv.weight,row,gaussian,0.39,,1,10,0.1,0.7,1,3,2,1,400,330,0.9966822127813251,0.9940962274406943,0.9978800612166194,0.9969481937130896,0.001711291461120361,0.002136577534206576,0.0005145796741685038,0.00036518317918275597,1.0,0.9987450330242562,-7.429895371291496e-05,0.6545454545454545,0.6545454545454545,0.0,38.605047941207886
10,model.4.cv1.conv.weight,row,gaussian,0.94,,1,10,0.1,0.7,1,1,2,1,400,330,0.9927254003911345,0.9861118852677893,0.9953432788151562,0.9927913424452371,0.004009243880076836,0.004830313176458701,0.0012051296784711077,0.0009148680873055658,1.0,0.9962331125298023,-0.0001494722481457244,0.6545454545454545,0.6545454545454545,0.0,38.37760305404663
11,model.4.cv2.weight,row,gaussian,0.96,,1,10,0.1,0.7,1,19,2,1,400,330,0.9905038390927333,0.9815750039944594,0.993907613396602,0.9904136367151514,0.005598677881253108,0.00678980288674469,0.0016565099460205386,0.0012169071283350478,1.0,0.9961756257067588,5.251433804770497e-05,0.6545454545454545,0.6545454545454545,0.0,38.200817584991455
12,model.4.cv3.weight,row,gaussian,0.88,,1,10,0.1,0.7,1,2,2,1,400,330,0.9912079975071006,0.9836333983577381,0.9943696453789822,0.9914947325738777,0.005318227978562906,0.006374109388317395,0.0014681320805462607,0.0010658945830062565,0.9953271028037384,0.99453342007546,7.767413330376614e-05,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,38.15477395057678
13,model.4.cv4.conv.weight,row,gaussian,0.24,,1,10,0.1,0.7,1,7,2,1,400,330,0.9972914171391256,0.9944026753412835,0.9982705508597635,0.9971076357923286,0.0013519909878854713,0.0021664264841360545,0.0004411522786215572,0.00033017335064209247,1.0,0.9990114588232427,2.4290285377858954e-06,0.6545454545454545,0.6545454545454545,0.0,38.51123523712158
14,model.4.m.0.cv1.conv.weight,row,gaussian,0.16,,1,10,0.1,0.7,1,7,2,1,400,330,0.9988206513705756,0.9979897870712949,0.9992473499206357,0.9989630155458794,0.0005656486953579277,0.0007108424299977019,0.0001810397569446642,0.00012883057312751363,1.0,0.9995331596176945,9.028873525304588e-05,0.6545454545454545,0.6545454545454545,0.0,38.0018527507782
15,model.4.m.0.cv2.conv.weight,row,gaussian,0.94,,1,10,0.1,0.7,1,11,2,1,400,330,0.9951836648142702,0.9905325335817617,0.9969196085647809,0.9950976195432347,0.002572274787794661,0.0033143685085562182,0.0007710518071497987,0.0006103923490182132,1.0,0.9973448196489864,-0.00028732962140413086,0.6545454545454545,0.6545454545454545,0.0,38.86971139907837
16,model.4.m.1.cv1.conv.weight,row,gaussian,0.77,,1,10,0.1,0.7,1,6,2,1,400,330,0.9947021168875839,0.9896281603352545,0.9966120301514317,0.9946251219732996,0.00290023105803551,0.0035593048108120626,0.0008292862120917516,0.0005919448901495203,1.0,0.9965443183142818,0.00024181455837974668,0.6545454545454545,0.6545454545454545,0.0,37.70551681518555
17,model.4.m.1.cv2.conv.weight,row,gaussian,0.4,,1,10,0.1,0.7,1,8,2,1,400,330,0.9980426140985889,0.9961285794626805,0.9987505260128576,0.9980012994540557,0.0009949565248551886,0.0013880483242594114,0.00030889297358295217,0.0002660616802201029,1.0,0.9989637380634142,8.986783547564831e-05,0.6545454545454545,0.6545454545454545,0.0,38.984681606292725
18,model.4.m.2.cv1.conv.weight,row,gaussian,0.87,,1,10,0.1,0.7,1,18,2,1,400,330,0.9941305852260369,0.9888612568523201,0.9962436142220705,0.994223504540886,0.0033546331046332314,0.004146810255067042,0.0010231035586176784,0.0007361306431995924,1.0,0.9961718400690787,-5.8527676115897593e-05,0.6545454545454545,0.6545454545454545,0.0,41.80717849731445
19,model.4.m.2.cv2.conv.weight,row,gaussian,0.75,,1,10,0.1,0.7,1,1,2,1,400,330,0.9966221171823616,0.9930515673216516,0.9978404797164172,0.9964069610038826,0.0017590805212529328,0.0024974030043269434,0.0005477084552066219,0.00047090947851829377,1.0,0.9981513287048103,-6.451186175658324e-05,0.6545454545454545,0.6545454545454545,0.0,38.04907941818237
20,model.5.conv.weight,row,gaussian,0.15,,1,10,0.1,0.7,1,8,2,1,400,330,0.9995921691186088,0.9994461915248984,0.9997398505466996,0.9997146121603239,0.00023168247037195355,0.00024320668458710862,6.709166562662137e-05,4.333407984023579e-05,1.0,0.9999004848463884,-7.386565951172066e-06,0.6545454545454545,0.6545454545454545,0.0,38.77333378791809
21,model.6.cv1.conv.weight,row,gaussian,0.22,,1,10,0.1,0.7,1,14,2,1,400,330,0.9988407152949403,0.9985915378311642,0.9992600430133385,0.9992737855179314,0.0006705269567862691,0.0006153852367891337,0.00020479876683060985,0.00011042138929365222,1.0,0.9997769454929316,-7.812896992930002e-06,0.6545454545454545,0.6545454545454545,0.0,40.19930553436279
22,model.6.cv2.weight,row,gaussian,0.43,,1,10,0.1,0.7,1,5,2,1,400,330,0.9985330022503883,0.9980531153027533,0.9990628761382766,0.9989957454511024,0.0007954217400461328,0.0007845306182455558,0.0002307320771491224,0.0001394128174630787,1.0,0.9992424475255414,5.0602208045412814e-05,0.6545454545454545,0.6545454545454545,0.0,41.882341623306274
23,model.6.cv3.weight,row,gaussian,0.12,,1,10,0.1,0.7,1,19,2,1,400,330,0.9993525517989722,0.9992205201606604,0.9995871840492699,0.9995983297160658,0.00035578810161543265,0.0003150732303800374,0.00010173749478165443,5.706179346539513e-05,1.0,0.9998310693884935,-5.307436175064135e-05,0.6545454545454545,0.6545454545454545,0.0,42.783047676086426
24,model.6.cv4.conv.weight,row,gaussian,0.08,,1,10,0.1,0.7,1,7,2,1,400,330,0.9996137534018654,0.9995009593468105,0.9997536185868683,0.9997428546079288,0.00019581102019472122,0.00022964533170703058,6.257320334854297e-05,3.8360227973139876e-05,1.0,0.9998983735236052,2.9325578071617994e-06,0.6545454545454545,0.6545454545454545,0.0,38.454073667526245
25,model.6.m.0.cv1.conv.weight,row,gaussian,0.36,,1,10,0.1,0.7,1,4,2,1,400,330,0.9983104622686062,0.9978093337369016,0.9989216894455211,0.998870631769687,0.0009401800698114916,0.001042720538516135,0.000297055920604298,0.0001710681951923821,1.0,0.9997122879154585,-5.480336065975677e-05,0.6545454545454545,0.6545454545454545,0.0,38.32552242279053
26,model.6.m.0.cv2.conv.weight,row,gaussian,0.53,,1,10,0.1,0.7,1,19,2,1,400,330,0.9977209840936204,0.9970061408807355,0.9985442659854866,0.9984550507590847,0.0013758671817605272,0.0012345665837330605,0.0003831193697857534,0.00023359944060673358,1.0,0.9995927654694174,3.442330709498991e-05,0.6545454545454545,0.6545454545454545,0.0,41.10230779647827
27,model.6.m.1.cv1.conv.weight,row,gaussian,0.12,,1,10,0.1,0.7,1,16,2,1,400,330,0.9993234159866509,0.9991984298787383,0.99956844265579,0.999586903700716,0.00039627712037033306,0.00038035131684151143,0.0001100644831004313,6.352996274398944e-05,1.0,0.9998791137959726,3.277243483475064e-05,0.6545454545454545,0.6545454545454545,0.0,39.67995619773865
28,model.6.m.1.cv2.conv.weight,row,gaussian,0.54,,1,10,0.1,0.7,1,7,2,1,400,330,0.997868742526199,0.9973487348228921,0.9986393429626242,0.9986321519993294,0.0011998381544462125,0.0010777051857208694,0.0003743181627650812,0.00019892902546872842,1.0,0.9995723023221501,0.00010331030760970072,0.6545454545454545,0.6545454545454545,0.0,38.266563177108765
