scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.45,,1,10,0.1,0.7,1,5,2,1,400,330,0.9887677599455248,0.9825374533125607,0.9927961826542638,0.9909009660298511,0.007007516691865515,0.0062337220406572845,0.0020748783071888118,0.00112313140700087,1.0,0.9953905864853725,2.9192674568509003e-05,0.6545454545454545,0.6606060606060606,0.006060606060606061,48.183064699172974
2,model.1.conv.weight,column,gaussian,0.12,,1,10,0.1,0.7,1,5,2,1,400,330,0.9982041094364481,0.9973394159985837,0.9988529503213958,0.9986269638659669,0.0009161087874380199,0.0010568432414372274,0.0002969864576108679,0.00019918254476079483,1.0,0.9994990793158331,5.5803502460135105e-05,0.6545454545454545,0.6545454545454545,0.0,48.79501724243164
3,model.2.cv1.conv.weight,column,gaussian,0.64,,1,10,0.1,0.7,1,11,2,1,400,330,0.9918625043320476,0.9859004976471204,0.9947821330373482,0.9926747939228364,0.004831858517077348,0.0054886394281000225,0.0014022204266914032,0.001034696182322085,0.9937694704049845,0.9965657295195709,6.820142548968535e-05,0.6545454545454545,0.6484848484848484,-0.006060606060606061,49.984954833984375
4,model.2.cv2.weight,column,gaussian,0.3,,1,10,0.1,0.7,1,2,2,1,400,330,0.99262357601799,0.9876229719701517,0.9952721866379621,0.9935726452458742,0.004476226003010784,0.0047760797118450065,0.0013219782198881037,0.001012978029637131,1.0,0.9977661288601586,0.0003340490324846309,0.6545454545454545,0.6575757575757576,0.0030303030303030303,46.73924016952515
5,model.2.cv3.weight,column,gaussian,0.21,,1,10,0.1,0.7,1,1,2,1,400,330,0.9869069058227968,0.9783525437911489,0.9915857248631913,0.9886915974420042,0.008705527978328782,0.008529652863454949,0.002409535053093254,0.002113688439088654,0.9953271028037384,0.9968460951239477,-0.00017054311359805492,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,49.34626340866089
6,model.2.cv4.conv.weight,column,gaussian,0.29,,1,10,0.1,0.7,1,6,2,1,400,330,0.9921873185761526,0.9857570451381924,0.9949915821242357,0.9925886013199584,0.004385733612484887,0.005400473453896807,0.0012869791400881036,0.0010578092590796467,1.0,0.9971137227856111,9.859012109096919e-05,0.6545454545454545,0.6545454545454545,0.0,45.85730290412903
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.22,,1,10,0.1,0.7,1,1,2,1,400,330,0.9940388156892533,0.9897903283045553,0.9961797409134554,0.9947049312648528,0.0031359966573420283,0.00405253788817742,0.0010015069836272444,0.0008298975105796281,1.0,0.9983820890154794,0.00019304171158145893,0.6545454545454545,0.6575757575757576,0.0030303030303030303,46.34957480430603
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.46,,1,10,0.1,0.7,1,11,2,1,400,330,0.9966869284180543,0.9938463850464917,0.9978811747865651,0.9968172231778339,0.0017949781665844381,0.002178600287241009,0.0005272235230382498,0.0004789063278364335,1.0,0.9988703244943115,9.894324611651935e-05,0.6545454545454545,0.6545454545454545,0.0,50.15761637687683
9,model.3.conv.weight,column,gaussian,0.78,,1,10,0.1,0.7,1,9,2,1,400,330,0.9970482306528774,0.9945663526134904,0.9981132655612904,0.9971913330543261,0.001585262671588962,0.0020074367127262023,0.00046213558195848213,0.00036971429581801206,1.0,0.9990729795438107,0.000218133920821074,0.6545454545454545,0.6545454545454545,0.0,50.07101893424988
10,model.4.cv1.conv.weight,column,gaussian,0.67,,1,10,0.1,0.7,1,5,2,1,400,330,0.9962145063676487,0.9932615174783581,0.9975809200879856,0.9965153437921305,0.0020596603770988236,0.0023435393046216165,0.0006264805394462301,0.0004134655987043998,1.0,0.9981675530519811,-8.229730285216715e-05,0.6545454545454545,0.6545454545454545,0.0,46.77072548866272
11,model.4.cv2.weight,column,gaussian,0.37,,1,10,0.1,0.7,1,8,2,1,400,330,0.9971614558913426,0.9948971474052088,0.9981862934025222,0.9973640750563931,0.0016220976802864382,0.001745782693930854,0.0004881297313095079,0.00032175516518656285,1.0,0.9989087362527104,-2.8499747362463672e-06,0.6545454545454545,0.6545454545454545,0.0,44.94082045555115
