scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.6,,1,10,0.1,0.7,1,6,2,1,400,330,0.8592721854828079,0.8009463337769875,0.9026089184679948,0.8853040316974509,0.10311699962763614,0.0909695835315932,0.0282093705961792,0.015542324086175046,0.9781931464174454,0.949221860794794,0.023019940086773463,0.6545454545454545,0.7848484848484848,0.1303030303030303,39.25033974647522
2,model.1.conv.weight,bullet_wake,gaussian,0.38,,1,10,0.1,0.7,1,11,2,1,400,330,0.9195992454202976,0.877066724727767,0.9467438624977059,0.9325191128795671,0.05601551337751825,0.049202538144045224,0.015228465701076803,0.009922106386572455,0.9906542056074766,0.9691553590994961,0.005823977713314992,0.6545454545454545,0.6696969696969697,0.015151515151515152,39.82426476478577
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.1,,1,10,0.1,0.7,1,19,2,1,400,330,0.9911093648098214,0.9846103798867818,0.9943066123094131,0.992007711522557,0.005385104555819945,0.005595319200024762,0.001485868512968771,0.0009907057818089886,0.9953271028037384,0.9965284131875433,-0.0004960251899205836,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,40.65196490287781
4,model.2.cv2.weight,bullet_wake,gaussian,0.67,,1,10,0.1,0.7,1,12,2,1,400,330,0.8860602846867094,0.8332338081383758,0.9224651358570575,0.9058002736083323,0.0850368784960013,0.07779870043135616,0.0239068093867968,0.015054617295838025,0.9937694704049845,0.9685579633488901,0.005193773149884362,0.6545454545454545,0.706060606060606,0.051515151515151514,40.09195327758789
5,model.2.cv3.weight,bullet_wake,gaussian,0.1,,1,10,0.1,0.7,1,2,2,1,400,330,0.9691700257608571,0.9504137228588192,0.9800437501416144,0.9737285162176537,0.022123739591716554,0.0200078060385685,0.005835434101049699,0.005092364312366757,0.9937694704049845,0.993394501052552,0.00044899213481956805,0.6545454545454545,0.6484848484848484,-0.006060606060606061,36.05254864692688
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.52,,1,10,0.1,0.7,1,11,2,1,400,330,0.8787126045961283,0.8279241868673256,0.9172436399230807,0.9032153329570853,0.08283378430025971,0.09213732676098235,0.025252630396776256,0.015348241641459247,0.9953271028037384,0.9669948487960864,0.0025557461012510442,0.6545454545454545,0.706060606060606,0.051515151515151514,40.450788736343384
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.87,,1,10,0.1,0.7,1,15,2,1,400,330,0.849673043083929,0.8012498876159743,0.8965529397122881,0.8853155364230939,0.10578148948711956,0.08427721401870861,0.03359191126630179,0.019882552649796673,0.9704049844236761,0.971119957904403,0.006778812179198632,0.6545454545454545,0.6878787878787879,0.03333333333333333,40.438637018203735
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.22,,1,10,0.1,0.7,1,13,2,1,400,330,0.9775426208989167,0.9596202623054555,0.9855270434710206,0.9787404390420444,0.013363553555816797,0.015488360703083593,0.003907868912499078,0.0033304635302690536,0.9906542056074766,0.9927117156345139,0.0005422198453789237,0.6545454545454545,0.6484848484848484,-0.006060606060606061,40.74245309829712
9,model.3.conv.weight,bullet_wake,gaussian,0.94,,1,10,0.1,0.7,1,8,2,1,400,330,0.9231648505888536,0.872195945090988,0.948963222536697,0.9300365895774224,0.04759556635716116,0.06576804788170255,0.016109303050739498,0.009194536399208279,0.9797507788161994,0.9752513385954358,0.0027028421560923257,0.6545454545454545,0.6727272727272727,0.01818181818181818,38.95372748374939
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.56,,1,10,0.1,0.7,1,10,2,1,400,330,0.9747195922619415,0.9485595189980277,0.9836776375674314,0.9728019574452634,0.01360419717552461,0.018685706028807914,0.004205107422508274,0.003375478674033862,0.9953271028037384,0.9865234037147069,0.0011575937457674174,0.6545454545454545,0.6818181818181818,0.02727272727272727,41.297680139541626
11,model.4.cv2.weight,bullet_wake,gaussian,0.25,,1,10,0.1,0.7,1,20,2,1,400,330,0.9843203959663406,0.9683101199963431,0.9899199078270132,0.9834162977702098,0.009278069371973612,0.012265741022128579,0.002816468444601326,0.002000960181179608,0.9984423676012462,0.9931616922405279,-0.0006957871613101424,0.6545454545454545,0.6545454545454545,0.0,36.17018103599548
12,model.4.cv3.weight,bullet_wake,gaussian,0.81,,1,10,0.1,0.7,1,4,2,1,400,330,0.9501305577050448,0.904537382050372,0.9674604008200156,0.9484511574178729,0.03209328994219392,0.040823566530159415,0.009817952961205438,0.006947243900688855,0.985981308411215,0.9724398016176329,0.0033200554561464333,0.6545454545454545,0.6848484848484848,0.030303030303030304,40.63074040412903
13,model.4.cv4.conv.weight,bullet_wake,gaussian,0.58,,1,10,0.1,0.7,1,19,2,1,400,330,0.9403038481386258,0.8762609718122186,0.9608319604326022,0.9323902996281372,0.039407665646154624,0.06062033601325024,0.01208326486355337,0.008885652505915049,0.9906542056074766,0.9757992534330057,0.0027327176722340613,0.6545454545454545,0.6878787878787879,0.03333333333333333,40.22785496711731
14,model.4.m.0.cv1.conv.weight,bullet_wake,gaussian,0.79,,1,10,0.1,0.7,1,1,2,1,400,330,0.9662698734805361,0.9379957213654727,0.9781069493687321,0.9670471916007594,0.021208761486486084,0.022826152042483994,0.006299023185134743,0.0044953217631347455,0.9984423676012462,0.9838726211374051,0.0001732319871955943,0.6545454545454545,0.7121212121212122,0.05757575757575758,38.483574867248535
15,model.4.m.0.cv2.conv.weight,bullet_wake,gaussian,0.77,,1,10,0.1,0.7,1,17,2,1,400,330,0.9745061593779092,0.9511461711483341,0.9835315489885206,0.974210528219415,0.01586577496406242,0.01792004535855154,0.00474264199791737,0.003107280850385872,1.0,0.9885191267524553,-0.0013954435182137652,0.6545454545454545,0.6666666666666666,0.012121212121212121,40.77740955352783
16,model.4.m.1.cv1.conv.weight,bullet_wake,gaussian,0.23,,1,10,0.1,0.7,1,12,2,1,400,330,0.9896936299376166,0.9792637555465586,0.9933898623753833,0.9892035302871899,0.00580158724235034,0.007410082751868836,0.0017765566309114798,0.001360168495225743,1.0,0.9949921156944145,-0.0011441006188823428,0.6545454545454545,0.6606060606060606,0.006060606060606061,41.08330178260803
17,model.4.m.1.cv2.conv.weight,bullet_wake,gaussian,0.33,,1,10,0.1,0.7,1,9,2,1,400,330,0.9906353499764056,0.9803836585801805,0.9940012333826606,0.9897921281366662,0.005075333759633009,0.0068062036543937166,0.0014881101475278662,0.0011229574492239813,1.0,0.9936887160454212,1.9346952809723008e-05,0.6545454545454545,0.6545454545454545,0.0,37.422308683395386
18,model.4.m.2.cv1.conv.weight,bullet_wake,gaussian,0.92,,1,10,0.1,0.7,1,15,2,1,400,330,0.9587164756940028,0.9230730923323611,0.973102502827401,0.9588726635366923,0.0248129598744189,0.03241688705892649,0.008074811777612021,0.004884106061081045,0.9953271028037384,0.9779997792602145,0.003435183532174578,0.6545454545454545,0.7090909090909091,0.05454545454545454,36.520528078079224
19,model.4.m.2.cv2.conv.weight,bullet_wake,gaussian,0.1,,1,10,0.1,0.7,1,15,2,1,400,330,0.9967073925852207,0.993933392322288,0.9978971074000814,0.9968655420139074,0.001794948879159991,0.002111146159878386,0.0005539553493527233,0.00037380009951865084,1.0,0.9981794692459878,-0.00010867635037668769,0.6545454545454545,0.6545454545454545,0.0,40.070114850997925
20,model.5.conv.weight,bullet_wake,gaussian,0.13,,1,10,0.1,0.7,1,12,2,1,400,330,0.99540074273913,0.9936986502704312,0.9970589025098334,0.9967437862004231,0.002584058878818846,0.002548722337133589,0.0008259229399558632,0.0004576156305465521,1.0,0.9986904288563773,-0.0003080301195661598,0.6545454545454545,0.6545454545454545,0.0,37.71700191497803
21,model.6.cv1.conv.weight,bullet_wake,gaussian,0.48,,1,10,0.1,0.7,1,14,2,1,400,330,0.9793442280375064,0.9715888338654642,0.9866886435152769,0.9851618995424529,0.013846544139818118,0.013802501847019916,0.0042270817323580515,0.0021599700767228323,0.9953271028037384,0.9952932871376777,-0.00019638848976350168,0.6545454545454545,0.6545454545454545,0.0,39.71731209754944
22,model.6.cv2.weight,bullet_wake,gaussian,0.54,,1,10,0.1,0.7,1,8,2,1,400,330,0.9839187944974294,0.9769665074685197,0.9896724519861905,0.98799881420128,0.01004943875461788,0.009357742427177764,0.0029359754569188022,0.0015408883783731807,1.0,0.9925234852550185,-5.787963807768561e-06,0.6545454545454545,0.6606060606060606,0.006060606060606061,39.605464696884155
