scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.39,,1,10,0.1,0.7,1,15,2,1,330,330,0.9116982381703738,0.8641197454683754,0.9403740609823008,0.9245917078857977,0.061375735419781904,0.04966175482270677,0.017174526177157118,0.010451591107263387,0.9797507788161994,0.9642565873407182,0.012389772633711497,0.6545454545454545,0.7393939393939394,0.08484848484848485,63.53249454498291
2,model.1.conv.weight,shattered_glass,gaussian,0.99,,1,10,0.1,0.7,1,6,2,1,330,330,0.6860068586371931,0.5987920007099344,0.7681592250150104,0.7476255360534452,0.22051330012137463,0.28638283438947437,0.05765413546433094,0.04551962848649673,0.9704049844236761,0.915476928679989,0.0290273165760132,0.6545454545454545,0.7848484848484848,0.1303030303030303,66.80564761161804
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.45,,1,10,0.1,0.7,1,3,2,1,330,330,0.9586454872315908,0.9300896049754467,0.9730851892010282,0.962656590591753,0.02689077219263782,0.025451945562211642,0.008209137943495991,0.004871521104768893,0.9906542056074766,0.9858451641205721,0.0014772097925719973,0.6545454545454545,0.6575757575757576,0.0030303030303030303,66.34764051437378
4,model.2.cv2.weight,shattered_glass,gaussian,0.03,,1,10,0.1,0.7,1,7,2,1,330,330,0.9943010194785387,0.9910086047866539,0.9963537242438516,0.99534474422253,0.003259333407773377,0.0035294842993832893,0.0010100279150745206,0.0007710222990941573,0.9953271028037384,0.9988040241277274,3.3074887892076853e-05,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,66.71409320831299
5,model.2.cv3.weight,shattered_glass,gaussian,0.66,,1,10,0.1,0.7,1,2,2,1,330,330,0.7343441852638456,0.6887891273224332,0.8088094882795224,0.8093685797977069,0.19402043303274707,0.19053222932423725,0.05829285153375574,0.03553630290489197,0.9844236760124612,0.9484975934028625,0.008044277745965533,0.6545454545454545,0.7272727272727273,0.07272727272727272,65.80691480636597
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.23,,1,10,0.1,0.7,1,4,2,1,330,330,0.9523570045291594,0.9221505471830148,0.9687938969072163,0.9582531133581821,0.030711684754136517,0.03274783183587401,0.009805188516993604,0.006500957472988774,0.9937694704049845,0.9862721468641165,-0.00018950247428786587,0.6545454545454545,0.6727272727272727,0.01818181818181818,63.29922366142273
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.99,,1,10,0.1,0.7,1,10,2,1,330,330,0.822143795842584,0.7695443111390419,0.8768738311184637,0.8650585276013029,0.1290200886052965,0.11337710218523471,0.0383615014191786,0.022480720135564954,0.9953271028037384,0.9634404832581771,0.006135045875779153,0.6545454545454545,0.7090909090909091,0.05454545454545454,61.9318950176239
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.42,,1,10,0.1,0.7,1,4,2,1,330,330,0.9472839503808478,0.9148079924232844,0.9654463080848262,0.9540488153087587,0.0321718003240588,0.03367708396382044,0.010160083491246861,0.007251418395499176,0.9890965732087228,0.9872573394820375,0.0002622342896911333,0.6545454545454545,0.6575757575757576,0.0030303030303030303,68.06908917427063
9,model.3.conv.weight,shattered_glass,gaussian,0.67,,1,10,0.1,0.7,1,12,2,1,330,330,0.9481299103454889,0.9094284231648723,0.9660873932818393,0.9512306221921087,0.035762155239108875,0.038231377676937274,0.010313192957000332,0.0060137305448437935,1.0,0.9814894341419791,0.000862564810339907,0.6545454545454545,0.6787878787878788,0.024242424242424242,66.03546524047852
10,model.4.cv1.conv.weight,shattered_glass,gaussian,0.57,,1,10,0.1,0.7,1,10,2,1,330,330,0.9736082669522175,0.9450131272116034,0.9829629897620721,0.9708817013320951,0.015122176266245454,0.02037244627339944,0.004426879689712451,0.003611589537901,1.0,0.9868369627964461,0.0015658361610965193,0.6545454545454545,0.6818181818181818,0.02727272727272727,65.19588708877563
11,model.4.cv2.weight,shattered_glass,gaussian,0.87,,1,10,0.1,0.7,1,6,2,1,330,330,0.9459093105377392,0.8910346604076114,0.9645155277752724,0.9408771344919008,0.034645103171936725,0.04914660363694066,0.010974191078700775,0.00764120228842717,0.9906542056074766,0.9783905679887196,0.003932058858046742,0.6545454545454545,0.6696969696969697,0.015151515151515152,56.070594787597656
12,model.4.cv3.weight,shattered_glass,gaussian,0.49,,1,10,0.1,0.7,1,4,2,1,330,330,0.9677261178203659,0.9397616016346488,0.9790965759119167,0.9680252574898818,0.020199594585239723,0.02484384005765822,0.0061594020281320674,0.004027805403089058,1.0,0.9838451099729983,-0.00010288801520041579,0.6545454545454545,0.6696969696969697,0.015151515151515152,43.93746256828308
13,model.4.cv4.conv.weight,shattered_glass,gaussian,0.72,,1,10,0.1,0.7,1,8,2,1,330,330,0.9294729296576512,0.8492277313545313,0.9535079958395706,0.9165998969327128,0.04702194287168155,0.07782446014525542,0.01411405120067243,0.011737666515896904,0.9937694704049845,0.9717779983657067,0.0012120408631266563,0.6545454545454545,0.693939393939394,0.03939393939393939,60.86865448951721
14,model.4.m.0.cv1.conv.weight,shattered_glass,gaussian,0.44,,1,10,0.1,0.7,1,7,2,1,330,330,0.9797998876301849,0.9635935370044684,0.9869829318558996,0.9808975556378238,0.011533348150293157,0.01426440910188754,0.003706360725865292,0.0024707118540726165,0.9953271028037384,0.989885906191872,-0.00015591805529706354,0.6545454545454545,0.6606060606060606,0.006060606060606061,60.72225618362427
15,model.4.m.0.cv2.conv.weight,shattered_glass,gaussian,0.72,,1,10,0.1,0.7,1,8,2,1,330,330,0.9765710137273859,0.9519492724073071,0.9848903837424182,0.9746357533626282,0.013221090777661168,0.018320426478080843,0.003997298577349732,0.0031785461237035973,1.0,0.9879050402440758,0.00061570377179024,0.6545454545454545,0.6636363636363637,0.00909090909090909,59.11708474159241
16,model.4.m.1.cv1.conv.weight,shattered_glass,gaussian,0.95,,1,10,0.1,0.7,1,17,2,1,330,330,0.9560380670602099,0.917666409950135,0.9713576223316288,0.9558107394252857,0.0265791100888747,0.0329999340764426,0.008679745853600911,0.006099031290904121,0.985981308411215,0.9784264523082811,0.002233778743005665,0.6545454545454545,0.6878787878787879,0.03333333333333333,57.33881688117981
17,model.4.m.1.cv2.conv.weight,shattered_glass,gaussian,0.43,,1,10,0.1,0.7,1,17,2,1,330,330,0.9874104132117536,0.9735247664445079,0.9919212512750596,0.9861792568862957,0.007502638528338205,0.009548045114651061,0.0020877690682197273,0.00163291494255914,0.9953271028037384,0.991690732970111,0.00010120253048032662,0.6545454545454545,0.6606060606060606,0.006060606060606061,58.29628348350525
18,model.4.m.2.cv1.conv.weight,shattered_glass,gaussian,0.89,,1,10,0.1,0.7,1,10,2,1,330,330,0.9601841374677681,0.9252197737343105,0.9741149586762899,0.960021618092899,0.024555653949649335,0.030081182746942377,0.007336076042697096,0.005134866522590051,0.985981308411215,0.9779104558400823,0.0024141208349622635,0.6545454545454545,0.6848484848484848,0.030303030303030304,64.19674587249756
19,model.4.m.2.cv2.conv.weight,shattered_glass,gaussian,0.88,,1,10,0.1,0.7,1,2,2,1,330,330,0.9757546688180556,0.9484937242982844,0.9843741500606611,0.9727721225418539,0.01446916719598481,0.020116625571982166,0.004200997560461865,0.0036427159192673527,0.9984423676012462,0.9847982798781351,0.0012236947768202453,0.6545454545454545,0.6575757575757576,0.0030303030303030303,65.09931492805481
20,model.5.conv.weight,shattered_glass,gaussian,0.78,,1,10,0.1,0.7,1,6,2,1,330,330,0.974310891489757,0.9627753895659575,0.9834287235886315,0.9804673206300497,0.017073609810339917,0.01615528637273447,0.0053937321891636275,0.0025444385541754755,1.0,0.990333513400265,-0.000827856802866095,0.6545454545454545,0.6666666666666666,0.012121212121212121,64.47628784179688
21,model.6.cv1.conv.weight,shattered_glass,gaussian,0.61,,1,10,0.1,0.7,1,16,2,1,330,330,0.9734789936628949,0.9645348445106092,0.982892272661063,0.9814070218710867,0.01886334660007726,0.01593172291556554,0.005668189797174631,0.002630385205494788,0.9953271028037384,0.9935655839193223,0.0002920304385709091,0.6545454545454545,0.6545454545454545,0.0,65.21148443222046
