scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,single,gaussian,0.21,,1,10,0.1,0.7,1,4,2,1,330,330,0.9947602150757038,0.9923532299823726,0.996647972411326,0.996041206430268,0.00312359607483302,0.002449531348054304,0.000933154962221706,0.0005117801825050453,0.9953271028037384,0.9972687774980572,0.00022585328569248064,0.6545454545454545,0.6575757575757576,0.0030303030303030303,76.26059031486511
2,model.1.conv.weight,single,gaussian,0.33,,1,10,0.1,0.7,1,14,2,1,330,330,0.9961479244202099,0.9942987205470615,0.9975368782141076,0.9970525596804464,0.0020408242813056156,0.002176044524209358,0.0006761014938517717,0.00040382208192553637,1.0,0.9987559183921398,-0.00025103424568413945,0.6545454545454545,0.6545454545454545,0.0,75.38373351097107
3,model.2.cv1.conv.weight,single,gaussian,0.69,,1,10,0.1,0.7,1,3,2,1,330,330,0.9907488257318936,0.9834936468477941,0.9940707971029035,0.9914094792663533,0.005630709564586672,0.006002405300374866,0.0015899585666315599,0.0012432162138259746,1.0,0.995974046883182,-0.0005629059403113487,0.6545454545454545,0.6575757575757576,0.0030303030303030303,75.35718417167664
4,model.2.cv2.weight,single,gaussian,0.06,,1,10,0.1,0.7,1,15,2,1,330,330,0.998210233694182,0.9972540723974319,0.9988546686990611,0.9985823874825431,0.0009854918491831357,0.0011060967746928298,0.0003207863553601251,0.0002462157838485324,1.0,0.9990642542408262,1.7130579161124065e-05,0.6545454545454545,0.6545454545454545,0.0,74.86632943153381
5,model.2.cv3.weight,single,gaussian,0.61,,1,10,0.1,0.7,1,4,2,1,330,330,0.9602970104175306,0.9350834126354483,0.9742032963561749,0.9652155674242375,0.029137095613342455,0.02989194033015458,0.007438529189203395,0.006359222669337115,0.985981308411215,0.9918039184987638,0.00032564475073068626,0.6545454545454545,0.6575757575757576,0.0030303030303030303,74.74685215950012
6,model.2.cv4.conv.weight,single,gaussian,0.3,,1,10,0.1,0.7,1,7,2,1,330,330,0.9943110020273304,0.990392447634627,0.9963508646188641,0.9950108376040455,0.003275179781489635,0.0036393831124258984,0.0010589467755425402,0.0007271037670192676,0.9953271028037384,0.9977787862734429,0.00020541752074992338,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,71.69894242286682
7,model.2.m.0.cv1.conv.weight,single,gaussian,0.22,,1,10,0.1,0.7,1,15,2,1,330,330,0.9930862879104154,0.9883762054223766,0.9955783724885714,0.9939715034360895,0.00382759109143728,0.005018174473261312,0.001117825841802776,0.0009197815058126039,1.0,0.997504500028129,0.0001452649215300135,0.6545454545454545,0.6545454545454545,0.0,73.66567277908325
8,model.2.m.0.cv2.conv.weight,single,gaussian,0.83,,1,10,0.1,0.7,1,5,2,1,330,330,0.9937306137164837,0.9887191231627547,0.9959859151119619,0.9941497500879988,0.00325495072012705,0.004256472983716745,0.0010362039090422456,0.0009028220215433163,1.0,0.9979853152857392,0.0001888293714909539,0.6545454545454545,0.6545454545454545,0.0,76.31162643432617
9,model.3.conv.weight,single,gaussian,0.8,,1,10,0.1,0.7,1,2,2,1,330,330,0.9984737302754494,0.9972382862824584,0.9990261653356746,0.9985748002523065,0.0007875037845280995,0.0009923149870516897,0.00023282661892371693,0.00017762009885174363,1.0,0.9992684539976151,-2.9271126164825537e-05,0.6545454545454545,0.6545454545454545,0.0,76.42698335647583
10,model.4.cv1.conv.weight,single,gaussian,0.21,,1,10,0.1,0.7,1,13,2,1,330,330,0.999117366916081,0.9983090041023543,0.9994372656800526,0.9991279030091942,0.00042374001147227217,0.0005962997177972826,0.00012602464177557468,0.00011094365374380708,1.0,0.9996329007490402,4.57541314983665e-05,0.6545454545454545,0.6545454545454545,0.0,75.46960091590881
