scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,row,gaussian,0.23,,1,10,0.1,0.7,1,20,2,1,330,330,0.9914145583224105,0.986116519620163,0.9945020403090464,0.9927799520990193,0.004810550858717308,0.004543921353072012,0.0014578773787817802,0.0009686528309703521,0.9953271028037384,0.9967739202420289,-0.00022908159078380126,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,76.53231310844421
2,model.1.conv.weight,row,gaussian,0.02,,1,10,0.1,0.7,1,14,2,1,330,330,0.9993064910038463,0.9989820962036242,0.9995573739681607,0.9994753102937644,0.00035550331427824326,0.0003944704945858957,0.00011423596887488227,8.257560879123262e-05,1.0,0.9998488976762303,3.196554391926322e-05,0.6545454545454545,0.6545454545454545,0.0,76.81205463409424
3,model.2.cv1.conv.weight,row,gaussian,0.09,,1,10,0.1,0.7,1,4,2,1,330,330,0.9982335309003839,0.9970950995620269,0.9988727448122542,0.9985010842550578,0.0009389020470602547,0.0011651750905178394,0.00027303768259441416,0.00020123645515584342,1.0,0.998913074858092,6.742176608504537e-05,0.6545454545454545,0.6545454545454545,0.0,77.59134888648987
4,model.2.cv2.weight,row,gaussian,0.37,,1,10,0.1,0.7,1,10,2,1,330,330,0.987377480036055,0.9793150477267506,0.9918851370308079,0.9892010121559811,0.007775788800174406,0.008452398593227408,0.0023919887615739487,0.0019208853084464112,0.9953271028037384,0.9961502492334549,-2.661594575932704e-06,0.6545454545454545,0.6545454545454545,0.0,75.91286253929138
5,model.2.cv3.weight,row,gaussian,0.64,,1,10,0.1,0.7,1,19,2,1,330,330,0.9621864022211518,0.9402250271688686,0.9753416622178536,0.9679656563372759,0.02783986915729693,0.0263316195514462,0.0075018935941380625,0.005942987057892627,0.9937694704049845,0.989772831050443,-0.0017776798474396897,0.6545454545454545,0.6606060606060606,0.006060606060606061,75.72168183326721
6,model.2.cv4.conv.weight,row,gaussian,0.96,,1,10,0.1,0.7,1,14,2,1,330,330,0.9745599439715926,0.9580878342048896,0.9834480794808549,0.9777585548317786,0.01731001959157814,0.017720972591736717,0.005237061225479149,0.003622911465260253,0.9953271028037384,0.9919706302256279,-0.00025364486077954885,0.6545454545454545,0.6606060606060606,0.006060606060606061,71.88590168952942
7,model.2.m.0.cv1.conv.weight,row,gaussian,0.59,,1,10,0.1,0.7,1,6,2,1,330,330,0.9857767591605245,0.976539823958005,0.9908402594360071,0.9877333284178034,0.008389157941049276,0.010356179580138106,0.0026698069714249885,0.0018865638804441112,0.9937694704049845,0.9953985691350391,0.0005302959484673442,0.6545454545454545,0.6484848484848484,-0.006060606060606061,75.23401474952698
8,model.2.m.0.cv2.conv.weight,row,gaussian,0.41,,1,10,0.1,0.7,1,11,2,1,330,330,0.9905128913648737,0.9836888578176339,0.9939199845296398,0.991519136586145,0.00578481124793289,0.006386901621575154,0.001665894846961882,0.0013113481436017728,1.0,0.9971569028227499,0.0005332355465844413,0.6545454545454545,0.6575757575757576,0.0030303030303030303,76.49291324615479
9,model.3.conv.weight,row,gaussian,0.32,,1,10,0.1,0.7,1,11,2,1,330,330,0.9973221144199839,0.9951743577961324,0.998288791106656,0.9975069361983432,0.0014034681738771164,0.00163137184347584,0.00039630092971711225,0.00031500568253632106,1.0,0.9991354129953176,-7.784296976071652e-05,0.6545454545454545,0.6545454545454545,0.0,72.41965055465698
10,model.4.cv1.conv.weight,row,gaussian,0.19,,1,10,0.1,0.7,1,12,2,1,330,330,0.9983379998325714,0.9970831404409275,0.9989391651466931,0.9984948505106079,0.0008723502472000822,0.001018508673755289,0.0002601687023082341,0.00020340439853975674,1.0,0.9991735280302827,-6.759788759772279e-05,0.6545454545454545,0.6545454545454545,0.0,77.49018692970276
11,model.4.cv2.weight,row,gaussian,0.43,,1,10,0.1,0.7,1,3,2,1,330,330,0.9956349057375109,0.991549902809973,0.9972120423277867,0.9956266940597495,0.002355384777911746,0.0029520833731439297,0.0007279044470460784,0.0004975024291243348,1.0,0.9982330705332235,-1.2494089818817798e-05,0.6545454545454545,0.6545454545454545,0.0,75.74147605895996
12,model.4.cv3.weight,row,gaussian,0.01,,1,10,0.1,0.7,1,1,2,1,330,330,0.9998845360403014,0.9998017343138467,0.999926381840609,0.999897874939083,6.737431552385315e-05,0.00010019548888118336,1.892951070394806e-05,1.802166431152389e-05,1.0,0.9999574369916292,5.526427539338208e-07,0.6545454545454545,0.6545454545454545,0.0,73.9889349937439
