scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,column,gaussian,0.65,,1,10,0.1,0.7,1,7,2,1,330,330,0.9842520435280442,0.9752324340065043,0.9898726308734016,0.9870299034477164,0.00990940711684379,0.00822584737193643,0.0027753997299434087,0.0017522856320670837,0.9984423676012462,0.9934952023708932,0.00018873532241749986,0.6545454545454545,0.6575757575757576,0.0030303030303030303,75.31225538253784
2,model.1.conv.weight,column,gaussian,0.53,,1,10,0.1,0.7,1,1,2,1,330,330,0.992677878573882,0.9882662391829061,0.9953147435383094,0.993914480710486,0.004156130730481001,0.004742606947341289,0.0013237933734843005,0.0009305962028325318,1.0,0.9978414393288323,-0.0002722177085846755,0.6545454545454545,0.6545454545454545,0.0,73.10975527763367
3,model.2.cv1.conv.weight,column,gaussian,0.38,,1,10,0.1,0.7,1,16,2,1,330,330,0.9948602005959628,0.9914305560786723,0.9967106734961345,0.9955622646261613,0.0029611119208181836,0.0032829185507282518,0.0008857833686387904,0.0006345823407795558,1.0,0.9983742863775413,4.578857592704511e-05,0.6545454545454545,0.6545454545454545,0.0,72.10216760635376
4,model.2.cv2.weight,column,gaussian,0.34,,1,10,0.1,0.7,1,20,2,1,330,330,0.9917062617738693,0.9861778211486887,0.9946778054619766,0.9928115526088876,0.0048469178813919135,0.005378411037988775,0.001557778682233266,0.0011957231311757837,1.0,0.997728404319175,-0.00047952331300836487,0.6545454545454545,0.6606060606060606,0.006060606060606061,71.53627395629883
5,model.2.cv3.weight,column,gaussian,0.76,,1,10,0.1,0.7,1,13,2,1,330,330,0.9508768549735275,0.9244352054004976,0.9676293331158142,0.9591179963548118,0.03451493194716212,0.03455020146800499,0.009994245690867874,0.007994367202364567,0.9890965732087228,0.9907263433033565,0.00057250514345349,0.6545454545454545,0.6545454545454545,0.0,72.98563075065613
6,model.2.cv4.conv.weight,column,gaussian,0.68,,1,10,0.1,0.7,1,19,2,1,330,330,0.9814772727975289,0.9684204205323157,0.9880295259709297,0.9833820919706284,0.011251334485745248,0.013844028480584225,0.0035419729391178508,0.0023070751867106617,1.0,0.9936956349191635,0.00011066614281722694,0.6545454545454545,0.6606060606060606,0.006060606060606061,72.7335090637207
7,model.2.m.0.cv1.conv.weight,column,gaussian,0.2,,1,10,0.1,0.7,1,2,2,1,330,330,0.9944133138362361,0.9905868050135805,0.996423123719126,0.9951213822251611,0.0029878757337965154,0.0038144920067975222,0.0009624100535051388,0.0007542244520348705,1.0,0.9986003928838119,0.00010881788819749778,0.6545454545454545,0.6545454545454545,0.0,72.68018865585327
8,model.2.m.0.cv2.conv.weight,column,gaussian,0.64,,1,10,0.1,0.7,1,18,2,1,330,330,0.9952799237745441,0.9917176404230696,0.9969823269904554,0.9957107510975768,0.0025559472542895827,0.002910618302651972,0.0007602538513204389,0.0006415278450410354,0.9953271028037384,0.9985439800693767,-1.49973774553278e-05,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,72.78394556045532
9,model.3.conv.weight,column,gaussian,0.61,,1,10,0.1,0.7,1,17,2,1,330,330,0.9976465595970474,0.9956939277364975,0.9984964521933493,0.9977762212935551,0.001303913733936548,0.001505377419741048,0.00037734175607394857,0.00028515708964308735,1.0,0.9990917701401814,0.00013958391185118775,0.6545454545454545,0.6545454545454545,0.0,71.8430233001709
10,model.4.cv1.conv.weight,column,gaussian,0.02,,1,10,0.1,0.7,1,20,2,1,330,330,0.9998840602536382,0.9997906939646023,0.9999260606197561,0.9998921563786827,5.7788129239750754e-05,8.962012469848504e-05,1.8359925940024824e-05,1.8709543006894257e-05,1.0,0.9999541516801651,-7.104186625495507e-06,0.6545454545454545,0.6545454545454545,0.0,72.22176623344421
11,model.4.cv2.weight,column,gaussian,0.32,,1,10,0.1,0.7,1,12,2,1,330,330,0.9975743775558839,0.9955370641996084,0.9984501540435469,0.9976946875867466,0.0013805306134437164,0.0016483089944184122,0.0003966507217925191,0.0002785611130269533,1.0,0.9992253466558604,-5.950674275371516e-05,0.6545454545454545,0.6545454545454545,0.0,73.45774555206299
12,model.4.cv3.weight,column,gaussian,0.29,,1,10,0.1,0.7,1,4,2,1,330,330,0.9969081271755844,0.9943735876143925,0.9980248610656659,0.9970927526313185,0.0016971471706369334,0.0022367896626933324,0.000517033074874668,0.0003578490458594556,1.0,0.9987580020479696,0.00035213379659385324,0.6545454545454545,0.6545454545454545,0.0,71.15467834472656
13,model.4.cv4.conv.weight,column,gaussian,0.99,,1,10,0.1,0.7,1,18,2,1,330,330,0.9893378095445012,0.9777680668827206,0.9931635643273284,0.9884157098489161,0.00633287392253355,0.00893041794533376,0.0019057452068366573,0.0014631678429569079,1.0,0.9951238177275733,0.00017617991037457902,0.6545454545454545,0.6575757575757576,0.0030303030303030303,72.90776681900024
14,model.4.m.0.cv1.conv.weight,column,gaussian,0.66,,1,10,0.1,0.7,1,6,2,1,330,330,0.9954747952625154,0.9918990450768344,0.9971084286163466,0.9958077263170615,0.0023367443072882183,0.0029078938124335887,0.0007405850741115026,0.0005209278340396354,1.0,0.997420665909568,0.0003740970869302007,0.6545454545454545,0.6545454545454545,0.0,72.19914412498474
15,model.4.m.0.cv2.conv.weight,column,gaussian,0.95,,1,10,0.1,0.7,1,7,2,1,330,330,0.9983304805441539,0.9967871331889898,0.9989334866730362,0.9983414646828499,0.0008297891819423487,0.0011821943886962873,0.00025513847463889527,0.00020902378428250214,1.0,0.999309989243653,9.877831208000303e-05,0.6545454545454545,0.6545454545454545,0.0,73.52931833267212
16,model.4.m.1.cv1.conv.weight,column,gaussian,0.2,,1,10,0.1,0.7,1,4,2,1,330,330,0.9985524872884608,0.9973440169662261,0.9990764514736901,0.9986297291667423,0.0007197728011091836,0.0009382152630866765,0.0002239547108241558,0.00017511167743332201,1.0,0.9994422046009255,6.325802884740622e-05,0.6545454545454545,0.6545454545454545,0.0,71.05705571174622
17,model.4.m.1.cv2.conv.weight,column,gaussian,0.62,,1,10,0.1,0.7,1,12,2,1,330,330,0.9990165994168051,0.9981671535903894,0.9993724865097239,0.9990549205007603,0.000482275942379045,0.0006831470216906067,0.00015567243138072778,0.00011280450806917919,1.0,0.9995954115628453,-4.4756403593259436e-05,0.6545454545454545,0.6545454545454545,0.0,74.12762665748596
18,model.4.m.2.cv1.conv.weight,column,gaussian,0.72,,1,10,0.1,0.7,1,11,2,1,330,330,0.9951659713612566,0.9907134466509558,0.9969090227400904,0.9951903882386264,0.002576388423530088,0.0034112434179843607,0.0007973421684546458,0.0006030493698199433,1.0,0.9978711284766687,-0.00014043945204060397,0.6545454545454545,0.6545454545454545,0.0,73.88122177124023
19,model.4.m.2.cv2.conv.weight,column,gaussian,0.85,,1,10,0.1,0.7,1,8,2,1,330,330,0.9986917531375732,0.9974680728959507,0.9991662072723579,0.9986940607500304,0.0006656396627191151,0.0009144414703917362,0.00020921071170046843,0.00016239399996828313,1.0,0.9993613620413427,-4.5456897432559005e-05,0.6545454545454545,0.6545454545454545,0.0,74.29763579368591
20,model.5.conv.weight,column,gaussian,0.09,,1,10,0.1,0.7,1,8,2,1,330,330,0.9998809343237717,0.9998551340074724,0.99992406132107,0.9999253913314392,6.498456441257768e-05,7.755773086248185e-05,2.010391875104025e-05,1.539274230629273e-05,1.0,0.999973318844198,2.6168481583164486e-06,0.6545454545454545,0.6545454545454545,0.0,73.46273684501648
