scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,bullet_wake,gaussian,0.32,,1,10,0.1,0.7,1,17,2,1,330,330,0.92893879684944,0.8937753545384755,0.9525290122238602,0.9419378817954333,0.04975866697031588,0.03822059310086261,0.014233613828064698,0.007585898926039439,0.985981308411215,0.9743633348418262,0.0065146128619075015,0.6545454545454545,0.703030303030303,0.048484848484848485,45.568543910980225
2,model.1.conv.weight,bullet_wake,gaussian,0.65,,1,10,0.1,0.7,1,20,2,1,330,330,0.829825689074152,0.7764184163989991,0.8807170736549708,0.87054696210976,0.11497440029345446,0.10513528659428786,0.03221915936432749,0.0182549328241554,0.9766355140186916,0.9427479096767055,0.015477017352455541,0.6545454545454545,0.7181818181818181,0.06363636363636363,47.44931936264038
3,model.2.cv1.conv.weight,bullet_wake,gaussian,0.4,,1,10,0.1,0.7,1,16,2,1,330,330,0.9658414953809398,0.9382061339505209,0.9778804042531051,0.9671161814473687,0.021554923509133135,0.02430920900963376,0.006225588050220851,0.004417787505312668,0.9953271028037384,0.9873008599303698,0.0006473373172801799,0.6545454545454545,0.6727272727272727,0.01818181818181818,46.9614531993866
4,model.2.cv2.weight,bullet_wake,gaussian,0.3,,1,10,0.1,0.7,1,15,2,1,330,330,0.949396650063334,0.919318777461711,0.9668438557627024,0.9565881258402342,0.03333823688506402,0.03656927920578126,0.010664910360065581,0.007376196630847014,1.0,0.9852925578938837,-0.0005184742520531388,0.6545454545454545,0.6727272727272727,0.01818181818181818,48.50837850570679
5,model.2.cv3.weight,bullet_wake,gaussian,0.72,,1,10,0.1,0.7,1,5,2,1,330,330,0.7114088500022216,0.6701357122018587,0.7907018616428414,0.7938903452407523,0.21896549436524218,0.20774184156047415,0.05831845436209134,0.03746026306926323,0.9844236760124612,0.9476102507227405,0.006379779057480148,0.6545454545454545,0.7090909090909091,0.05454545454545454,42.84470009803772
6,model.2.cv4.conv.weight,bullet_wake,gaussian,0.18,,1,10,0.1,0.7,1,15,2,1,330,330,0.9617639169298531,0.9375944466921724,0.9751669304624148,0.9667763723870845,0.025996385100907033,0.025293843936403406,0.007923500894508226,0.005159677299968786,0.9937694704049845,0.9873287460893533,-0.0004796380168395423,0.6545454545454545,0.6696969696969697,0.015151515151515152,42.95345664024353
7,model.2.m.0.cv1.conv.weight,bullet_wake,gaussian,0.67,,1,10,0.1,0.7,1,19,2,1,330,330,0.8916900968864026,0.8449722566381803,0.9270333952539882,0.9129753835925154,0.07522359548178759,0.06654498023082123,0.023583267650425725,0.014417873053866588,0.9750778816199378,0.9751111862191744,0.0044542973121387535,0.6545454545454545,0.6575757575757576,0.0030303030303030303,43.229146242141724
8,model.2.m.0.cv2.conv.weight,bullet_wake,gaussian,0.5,,1,10,0.1,0.7,1,10,2,1,330,330,0.9386891619540068,0.9008504125273451,0.9596513040262056,0.9460874805111261,0.03927375849606165,0.04066212893998327,0.011881221156329518,0.008698300873162774,0.9844236760124612,0.9844680852234646,0.0004184627419964397,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,49.05643701553345
9,model.3.conv.weight,bullet_wake,gaussian,0.82,,1,10,0.1,0.7,1,2,2,1,330,330,0.936467760109247,0.8901452115281465,0.9580975726910723,0.9403421008850336,0.03904933672276802,0.050578349762574915,0.013024981654793615,0.0076585451492661325,0.9953271028037384,0.9776225439819372,0.00014984668327236008,0.6545454545454545,0.6818181818181818,0.02727272727272727,49.172017335891724
10,model.4.cv1.conv.weight,bullet_wake,gaussian,0.64,,1,10,0.1,0.7,1,12,2,1,330,330,0.9701602605533906,0.9412421825608264,0.9806883704082848,0.9688244780616576,0.017194597332683633,0.021900569266260207,0.005281035046422086,0.003738953507304351,0.9937694704049845,0.985694857270505,-0.0002757282883908267,0.6545454545454545,0.6636363636363637,0.00909090909090909,47.26759910583496
11,model.4.cv2.weight,bullet_wake,gaussian,0.27,,1,10,0.1,0.7,1,3,2,1,330,330,0.9830975016939602,0.9659975518769538,0.9891336234869629,0.9821914093761613,0.00995902810291408,0.0131811680031791,0.0030848184820273065,0.002076266652148382,0.9953271028037384,0.992973721456453,-4.355551118208954e-05,0.6545454545454545,0.6545454545454545,0.0,49.31285905838013
12,model.4.cv3.weight,bullet_wake,gaussian,0.26,,1,10,0.1,0.7,1,16,2,1,330,330,0.983239941628507,0.9664278355857134,0.9892243655481868,0.9824130887727021,0.010015375481424196,0.01387517405497342,0.0030365533849294932,0.0023277750504186825,0.9984423676012462,0.9899228534130292,0.0009104888015818374,0.6545454545454545,0.6545454545454545,0.0,44.038854122161865
13,model.4.cv4.conv.weight,bullet_wake,gaussian,0.85,,1,10,0.1,0.7,1,1,2,1,330,330,0.9084351357251378,0.815978533930737,0.9388709765209727,0.8965538186279968,0.061239019822861236,0.10007994088557712,0.018538485317515837,0.014653319584496964,0.9844236760124612,0.9638904631137848,0.006098511800946783,0.6545454545454545,0.703030303030303,0.048484848484848485,49.41930651664734
14,model.4.m.0.cv1.conv.weight,bullet_wake,gaussian,0.07,,1,10,0.1,0.7,1,6,2,1,330,330,0.9964829081435636,0.9937760102055849,0.9977515663063906,0.9967829798441528,0.0018367113625401403,0.002153531398957428,0.0005529883022778986,0.0004088974467408976,1.0,0.9982384074699843,2.8928260194178315e-05,0.6545454545454545,0.6545454545454545,0.0,48.46554780006409
15,model.4.m.0.cv2.conv.weight,bullet_wake,gaussian,0.19,,1,10,0.1,0.7,1,7,2,1,330,330,0.9935121265365296,0.9871890469110521,0.9958488639661773,0.9933578076294893,0.00346952223873126,0.004538551225356151,0.0010205077830011567,0.0008337840300839989,1.0,0.9968534828717834,0.0002957593614809981,0.6545454545454545,0.6545454545454545,0.0,44.59348773956299
16,model.4.m.1.cv1.conv.weight,bullet_wake,gaussian,0.38,,1,10,0.1,0.7,1,4,2,1,330,330,0.98341918680889,0.966719625439475,0.9893323799945734,0.9825646041951989,0.009722791567813074,0.011262163517182377,0.00303368105254054,0.002217045122318109,0.9953271028037384,0.9916950049161539,0.00027020431833461227,0.6545454545454545,0.6666666666666666,0.012121212121212121,43.710115909576416
17,model.4.m.1.cv2.conv.weight,bullet_wake,gaussian,0.71,,1,10,0.1,0.7,1,6,2,1,330,330,0.9805356064903058,0.9584164408288526,0.9874665992462834,0.9781268131784404,0.011342680515709365,0.015228172056903012,0.0033603577806288185,0.002553986530235619,1.0,0.9889079427979073,0.0014021777753889376,0.6545454545454545,0.6606060606060606,0.006060606060606061,44.5182101726532
18,model.4.m.2.cv1.conv.weight,bullet_wake,gaussian,0.76,,1,10,0.1,0.7,1,15,2,1,330,330,0.9663292862275918,0.9367762686622206,0.9781522923751325,0.9664222342005325,0.020243620690074782,0.026016288944261775,0.006602381545590903,0.004008044435632707,0.9953271028037384,0.9815456983815524,0.002277502105083078,0.6545454545454545,0.6909090909090909,0.03636363636363636,48.47484803199768
19,model.4.m.2.cv2.conv.weight,bullet_wake,gaussian,0.57,,1,10,0.1,0.7,1,16,2,1,330,330,0.9832424869543319,0.9674475973335754,0.9892157863853412,0.9829559121058654,0.010396140735178708,0.012159012399297599,0.0033573792231852235,0.0021982793655983056,1.0,0.9906196367703495,-0.0009536571406129735,0.6545454545454545,0.6666666666666666,0.012121212121212121,50.78066921234131
20,model.5.conv.weight,bullet_wake,gaussian,0.72,,1,10,0.1,0.7,1,20,2,1,330,330,0.9760571914784457,0.9660367458637596,0.9845733261148253,0.9822093846531788,0.01585158084706142,0.014805600605341042,0.004847783759021854,0.002415950929589595,1.0,0.9910431512605364,-0.0010082993737633727,0.6545454545454545,0.6666666666666666,0.012121212121212121,45.92908573150635
21,model.6.cv1.conv.weight,bullet_wake,gaussian,0.75,,1,10,0.1,0.7,1,15,2,1,330,330,0.9681897538047584,0.956235434151842,0.9793891587973035,0.9769727591874499,0.021664034823114558,0.021576157391854953,0.006541116387374062,0.0033079020270825915,1.0,0.9921194717891492,-0.0025653940309245263,0.6545454545454545,0.6666666666666666,0.012121212121212121,45.291569232940674
22,model.6.cv2.weight,bullet_wake,gaussian,0.91,,1,10,0.1,0.7,1,3,2,1,330,330,0.9731260283302907,0.9623535806576229,0.9826284345431688,0.9802366750307759,0.01714146054128509,0.014509500952306464,0.005366911639713627,0.00262091044898415,0.9953271028037384,0.9891735087724546,0.0003470883869415905,0.6545454545454545,0.6606060606060606,0.006060606060606061,47.314417600631714
23,model.6.cv3.weight,bullet_wake,gaussian,0.44,,1,10,0.1,0.7,1,18,2,1,330,330,0.980471851580397,0.9735599853753362,0.9874542279011461,0.9862028341594937,0.013016731962570312,0.010697151419447354,0.0039028894011434627,0.001770357586927902,0.9937694704049845,0.9928867942850355,0.0005589082767146294,0.6545454545454545,0.6515151515151515,-0.0030303030303030303,44.01879930496216
24,model.6.cv4.conv.weight,bullet_wake,gaussian,0.33,,1,10,0.1,0.7,1,19,2,1,330,330,0.9827638225157629,0.9734544610281415,0.9889142431666139,0.9861444642691458,0.010210342855946752,0.011105633095177536,0.0031309715459833408,0.0017403088010334996,1.0,0.9934095551848782,-0.0005086673383029451,0.6545454545454545,0.6575757575757576,0.0030303030303030303,49.549020290374756
25,model.6.m.0.cv1.conv.weight,bullet_wake,gaussian,0.06,,1,10,0.1,0.7,1,16,2,1,330,330,0.9972859250776555,0.996749049783754,0.9982679160437115,0.9983225555372484,0.00164462669924886,0.0013355966980405376,0.00047189507349146455,0.00025028371086052665,1.0,0.9995542749808957,0.00010686583608110374,0.6545454545454545,0.6545454545454545,0.0,48.90474891662598
26,model.6.m.0.cv2.conv.weight,bullet_wake,gaussian,0.39,,1,10,0.1,0.7,1,1,2,1,330,330,0.984863433813072,0.9801806808010648,0.9902840019149834,0.9896880297942058,0.010623384751079426,0.008787948346724228,0.0030512226701595114,0.001458737865632048,0.9953271028037384,0.9966171633842777,0.0001590831179014394,0.6545454545454545,0.6545454545454545,0.0,44.54411554336548
27,model.6.m.1.cv1.conv.weight,bullet_wake,gaussian,0.16,,1,10,0.1,0.7,1,4,2,1,330,330,0.9922261272748554,0.9899317441491786,0.995025706825058,0.99478694141905,0.005284494767046556,0.004311714839440532,0.0015269482375362487,0.000742330351530825,1.0,0.9980343687014416,-0.0004512439264315311,0.6545454545454545,0.6545454545454545,0.0,48.20127034187317
28,model.6.m.1.cv2.conv.weight,bullet_wake,gaussian,0.6,,1,10,0.1,0.7,1,12,2,1,330,330,0.9795812604618068,0.9743084455712798,0.9868609386182559,0.9865933716062841,0.014206291577375005,0.010335197199691643,0.004264617378263408,0.001974308966688111,1.0,0.9941132098343515,-0.0019780058541401897,0.6545454545454545,0.6575757575757576,0.0030303030303030303,47.47710657119751
