scenario_idx,target_tensor,fault_type,noise_model,intensity,bit_index,n_bitflips,repeats,keep_prob,row_span,inject_every,seed,min_seg_len,fault_start,fault_end,frames_in_window,mean_iou_da,mean_iou_ll,mean_pearson_da,mean_pearson_ll,mean_area_diff_da,mean_area_diff_ll,mean_pos_shift_da,mean_pos_shift_ll,det_consistency_rate,mean_det_iou,mean_det_conf_drop,mean_det_count_g,mean_det_count_f,mean_det_count_diff,runtime_sec
1,model.0.conv.conv.weight,shattered_glass,gaussian,0.27,,1,10,0.1,0.7,1,16,2,1,330,330,0.9399929677769523,0.9053583654407541,0.960217230545356,0.9486427599757958,0.03957767810495225,0.03143832785009324,0.011305807014218565,0.00706242582282043,0.9937694704049845,0.9740094434767262,0.005639833463749415,0.6545454545454545,0.7212121212121212,0.06666666666666667,39.06927943229675
2,model.1.conv.weight,shattered_glass,gaussian,0.14,,1,10,0.1,0.7,1,8,2,1,330,330,0.9728665898086648,0.9567519693510315,0.9824666597160151,0.9772143500572136,0.016582746284973568,0.016659331033369643,0.005645762812731233,0.0037303599493809874,0.9953271028037384,0.9908176500099554,0.0006690067304691798,0.6545454545454545,0.6606060606060606,0.006060606060606061,40.533695459365845
3,model.2.cv1.conv.weight,shattered_glass,gaussian,0.3,,1,10,0.1,0.7,1,5,2,1,330,330,0.9737027619341482,0.9542955967844007,0.9830172836687648,0.9758911949807362,0.01563596655164325,0.017406734308001538,0.004763035741163123,0.003096424859415409,0.9953271028037384,0.9888579034842608,0.0011125546012872448,0.6545454545454545,0.6575757575757576,0.0030303030303030303,38.281577825546265
4,model.2.cv2.weight,shattered_glass,gaussian,0.92,,1,10,0.1,0.7,1,9,2,1,330,330,0.8377231182847319,0.776915475064701,0.8860448830591512,0.8708121590518286,0.12011329711398443,0.10733837333195763,0.036591838558956646,0.018792705654567563,0.9828660436137071,0.9512228711521457,0.009995028164714434,0.6545454545454545,0.7303030303030303,0.07575757575757576,40.53941249847412
5,model.2.cv3.weight,shattered_glass,gaussian,0.61,,1,10,0.1,0.7,1,8,2,1,330,330,0.7571514195570989,0.7133664634027678,0.826981217644012,0.8269532924170021,0.1743270163460437,0.17063847892548578,0.05228329537472045,0.03133748444959686,0.9797507788161994,0.9550472466718583,0.004379170281546456,0.6545454545454545,0.7090909090909091,0.05454545454545454,38.18442511558533
6,model.2.cv4.conv.weight,shattered_glass,gaussian,0.75,,1,10,0.1,0.7,1,3,2,1,330,330,0.7942242885744659,0.7431214018087947,0.8522916128494789,0.8469945007169756,0.1596582906106039,0.1651615822230849,0.039814246849477625,0.024392646115430773,0.9766355140186916,0.9556399194057287,0.008113436484070676,0.6545454545454545,0.7454545454545455,0.09090909090909091,38.16148352622986
7,model.2.m.0.cv1.conv.weight,shattered_glass,gaussian,0.22,,1,10,0.1,0.7,1,3,2,1,330,330,0.968972107133485,0.9503063877299096,0.9799338337181746,0.9737131316083447,0.01990270484581872,0.021525899620336842,0.0060611978211057484,0.004297034860850699,0.9906542056074766,0.9917720967681152,-9.268330140683639e-05,0.6545454545454545,0.6575757575757576,0.0030303030303030303,37.00042104721069
8,model.2.m.0.cv2.conv.weight,shattered_glass,gaussian,0.77,,1,10,0.1,0.7,1,11,2,1,330,330,0.879695854339826,0.8279191844946262,0.9180759922031256,0.9020977501045443,0.07876560744898002,0.06983326647811651,0.02484125988586236,0.017156515728822583,0.9890965732087228,0.9751206830425082,0.003293307603530164,0.6545454545454545,0.6606060606060606,0.006060606060606061,37.10752487182617
9,model.3.conv.weight,shattered_glass,gaussian,0.97,,1,10,0.1,0.7,1,1,2,1,330,330,0.9184544295745872,0.8668133512211966,0.9458213585110209,0.9269016952904442,0.0588549664538566,0.06617661915224858,0.0161123082178953,0.009029843734648315,0.9906542056074766,0.975038820842527,-0.001415714996415864,0.6545454545454545,0.6909090909090909,0.03636363636363636,37.40894794464111
10,model.4.cv1.conv.weight,shattered_glass,gaussian,1.0,,1,10,0.1,0.7,1,3,2,1,330,330,0.9528763424420418,0.9044535316593373,0.9692614580351477,0.9483852470527133,0.028170436870842495,0.03980700083450617,0.008479126881375013,0.006584225838029175,0.985981308411215,0.975287786309753,0.002190233171456986,0.6545454545454545,0.7,0.045454545454545456,39.067538261413574
11,model.4.cv2.weight,shattered_glass,gaussian,0.65,,1,10,0.1,0.7,1,9,2,1,330,330,0.9599782496371824,0.9185889866835318,0.9739565179702058,0.9563830560439031,0.024738511935899064,0.03371365649863271,0.007726353740831418,0.005069662967301127,0.985981308411215,0.9841660102961752,0.0006829126374604766,0.6545454545454545,0.6606060606060606,0.006060606060606061,40.76399898529053
12,model.4.cv3.weight,shattered_glass,gaussian,0.59,,1,10,0.1,0.7,1,6,2,1,330,330,0.9619602988448659,0.9270782326121673,0.9753138312769276,0.9610589092082054,0.0238196216046163,0.03165972663300931,0.007335536283231696,0.005201171735732843,0.9984423676012462,0.9793406489575021,0.0019208497811700697,0.6545454545454545,0.6696969696969697,0.015151515151515152,41.13146996498108
13,model.4.cv4.conv.weight,shattered_glass,gaussian,0.47,,1,10,0.1,0.7,1,16,2,1,330,330,0.9537280433829571,0.9018728241998535,0.9698109911907314,0.9470494124950656,0.029881613445831484,0.046382808968994806,0.009070422088993476,0.0066444773938684094,0.9890965732087228,0.9806952236114808,-3.997011567061802e-05,0.6545454545454545,0.6696969696969697,0.015151515151515152,40.998494386672974
